participant,ROI,direction,model,held_out_r
subj01,V1,simple_to_naturalistic,O0,0.5220271199941635
subj01,V1,simple_to_naturalistic,O1,0.5676047553618749
subj01,V1,simple_to_naturalistic,O2,0.5194907039403915
subj01,V1,simple_to_naturalistic,O3,0.6235254629950223
subj01,V1,simple_to_naturalistic,O4,0.5218389029015588
subj01,V1,naturalistic_to_simple,O0,0.5179541856050491
subj01,V1,naturalistic_to_simple,O1,0.5086136410633723
subj01,V1,naturalistic_to_simple,O2,0.5179759313662847
subj01,V1,naturalistic_to_simple,O3,0.5487363511512394
subj01,V1,naturalistic_to_simple,O4,0.5336767223129254
subj01,V2,simple_to_naturalistic,O0,0.12390395905822515
subj01,V2,simple_to_naturalistic,O1,0.14604414626955986
subj01,V2,simple_to_naturalistic,O2,-0.12312028308709462
subj01,V2,simple_to_naturalistic,O3,0.20341337072966112
subj01,V2,simple_to_naturalistic,O4,0.12339528488298075
subj01,V2,naturalistic_to_simple,O0,0.8862780431906382
subj01,V2,naturalistic_to_simple,O1,0.8787651658058167
subj01,V2,naturalistic_to_simple,O2,0.8864222566286722
subj01,V2,naturalistic_to_simple,O3,0.8354894539288716
subj01,V2,naturalistic_to_simple,O4,0.9017794567300159
subj01,V3,simple_to_naturalistic,O0,0.24619403978188834
subj01,V3,simple_to_naturalistic,O1,0.12858884409070015
subj01,V3,simple_to_naturalistic,O2,0.24631484597921371
subj01,V3,simple_to_naturalistic,O3,0.014848180096068633
subj01,V3,simple_to_naturalistic,O4,0.2441533892730358
subj01,V3,naturalistic_to_simple,O0,0.9404620826244354
subj01,V3,naturalistic_to_simple,O1,0.9409087697664896
subj01,V3,naturalistic_to_simple,O2,0.9197006523609161
subj01,V3,naturalistic_to_simple,O3,0.8896000921357321
subj01,V3,naturalistic_to_simple,O4,0.9441616788690409
subj01,hV4,simple_to_naturalistic,O0,0.5905755708614985
subj01,hV4,simple_to_naturalistic,O1,0.6087182909250259
subj01,hV4,simple_to_naturalistic,O2,0.5905979176362356
subj01,hV4,simple_to_naturalistic,O3,0.47459796845046154
subj01,hV4,simple_to_naturalistic,O4,0.5904904798823721
subj01,hV4,naturalistic_to_simple,O0,0.7770872116088867
subj01,hV4,naturalistic_to_simple,O1,0.7600942750771841
subj01,hV4,naturalistic_to_simple,O2,0.7771222591400146
subj01,hV4,naturalistic_to_simple,O3,0.6893425609529635
subj01,hV4,naturalistic_to_simple,O4,0.7773879685703399
subj01,ventral,simple_to_naturalistic,O0,0.3414611866076787
subj01,ventral,simple_to_naturalistic,O1,0.3291720896959305
subj01,ventral,simple_to_naturalistic,O2,0.3413325274984042
subj01,ventral,simple_to_naturalistic,O3,0.3983835284832713
subj01,ventral,simple_to_naturalistic,O4,0.3419103068665475
subj01,ventral,naturalistic_to_simple,O0,0.7666836082935333
subj01,ventral,naturalistic_to_simple,O1,0.7770623763402303
subj01,ventral,naturalistic_to_simple,O2,0.7666959265867869
subj01,ventral,naturalistic_to_simple,O3,0.7712812603701967
subj01,ventral,naturalistic_to_simple,O4,0.7640981738964139
