participant,ROI,classification,final_rank,supported_rank,identity_deviation,out_of_span_fraction,residual_frobenius,residual_rank,off_diagonal_mixing,rotation_frobenius,fraction_contracted,fraction_expanded,stability,stability_cosine
subj01,V1,FULL_CROSS_VOXEL_OPERATOR_NEEDED,1,12,1.024731511269946,0.20420768337796114,3.5497740195606053,12,0.9526837729186081,4.39417272784566,1.0,0.0,OPERATOR_STABILITY_MODERATE,0.6580594925791441
subj01,V2,FULL_CROSS_VOXEL_OPERATOR_NEEDED,7,12,1.0066452074452652,0.2826314318504775,3.487121226394163,12,0.9771538784318574,5.07939735135037,1.0,0.0,OPERATOR_STABILITY_MODERATE,0.6304353466819076
subj01,V3,FULL_CROSS_VOXEL_OPERATOR_NEEDED,5,12,0.9863775080419013,0.18374143954521346,3.4169118574159776,12,0.8836669429436664,4.116623708460499,1.0,0.0,OPERATOR_STABILITY_MODERATE,0.7623451797376103
subj01,hV4,DIAGONAL_REWEIGHTING_SUFFICIENT,2,12,0.9879209912687578,0.02409973036393879,3.4222586400591037,12,0.9191403625375772,4.477693615527501,1.0,0.0,OPERATOR_STABILITY_MODERATE,0.5256965265559737
subj01,ventral,FULL_CROSS_VOXEL_OPERATOR_NEEDED,2,12,0.9950807736489096,0.7766661847673153,3.4470608533210667,12,0.7537559898230811,4.936589867792036,1.0,0.0,OPERATOR_STABILITY_MODERATE,0.7622109362537389
subj01,lateral,FULL_CROSS_VOXEL_OPERATOR_NEEDED,1,12,1.0421541444871398,0.6609664883514665,3.6101280388139054,12,0.8572947549834875,4.941610093500025,1.0,0.0,OPERATOR_STABILITY_MODERATE,0.6478548920892533
subj01,parietal,GLOBAL_GAIN_SUFFICIENT,2,12,1.073336684619173,0.412580633662959,3.718147276041711,12,0.9003636078358107,4.900066792249227,1.0,0.0,OPERATOR_STABILITY_MODERATE,0.6788931109624965
subj02,V1,FULL_CROSS_VOXEL_OPERATOR_NEEDED,2,12,1.0042775137417217,0.12298416649575569,3.4789192949587764,12,0.9393999127301683,4.9523824538983305,1.0,0.0,OPERATOR_STABILITY_MODERATE,0.5283995401725183
subj02,V2,FULL_CROSS_VOXEL_OPERATOR_NEEDED,3,12,0.9970350950329198,0.09572129987487986,3.4538308210624056,12,0.8961516957967574,4.770423552872262,1.0,0.0,OPERATOR_STABILITY_MODERATE,0.7489488135943264
subj02,V3,FULL_CROSS_VOXEL_OPERATOR_NEEDED,2,12,0.9993406123203508,0.08731611242670237,3.461817367078179,12,0.842301780444307,4.415661093632813,1.0,0.0,OPERATOR_STABILITY_MODERATE,0.7278178263759972
subj02,hV4,NO_REUSABLE_OPERATOR_EVIDENCE,2,10,1.0035523216139715,3.457764943466544e-15,3.1735108866691486,10,0.922673601686249,4.508310769569268,1.0,0.0,OPERATOR_STABILITY_MODERATE,0.5058319738584401
subj02,ventral,FULL_CROSS_VOXEL_OPERATOR_NEEDED,4,12,1.0042908749553972,0.5615584425103441,3.478965579559819,12,0.6733664453973693,4.705538434822075,1.0,0.0,OPERATOR_STABILITY_MODERATE,0.7898067437776359
subj02,lateral,FULL_CROSS_VOXEL_OPERATOR_NEEDED,2,12,1.3554471522019034,0.3521078110175601,4.695406584902237,12,0.9901049585811451,5.225964342106854,0.9166666666666666,0.08333333333333333,OPERATOR_STABILITY_MODERATE,0.7598875094436518
subj02,parietal,FULL_CROSS_VOXEL_OPERATOR_NEEDED,4,12,1.0206135834777517,0.2518841504258696,3.535509099500674,12,0.8789245117976148,4.787371601253244,1.0,0.0,OPERATOR_STABILITY_MODERATE,0.7512189961446788
subj03,V1,FULL_CROSS_VOXEL_OPERATOR_NEEDED,3,12,1.062869200416062,0.03537186488146812,3.6818868477580957,12,0.9479363501389994,5.359615894893658,1.0,0.0,OPERATOR_STABILITY_MODERATE,0.7362485332346075
subj03,V2,FULL_CROSS_VOXEL_OPERATOR_NEEDED,3,12,1.3035707593898935,0.04418271387220897,4.515701492000022,12,0.9876518998320801,4.746785691927992,0.9166666666666666,0.08333333333333333,OPERATOR_STABILITY_MODERATE,0.5888242117762225
subj03,V3,NO_REUSABLE_OPERATOR_EVIDENCE,3,12,1.0110510899816492,0.10709444913202708,3.502383891983989,12,0.5441898080842054,4.813766868745675,1.0,0.0,OPERATOR_STABILITY_MODERATE,0.6182116017454387
subj03,hV4,LOW_RANK_DEFORMATION_SUFFICIENT,3,9,1.460425207169602,4.604542188659474e-15,4.381275621508806,9,0.9473842136210564,4.407405605105058,0.7777777777777778,0.2222222222222222,OPERATOR_STABILITY_MODERATE,0.6226914681128711
subj03,ventral,FULL_CROSS_VOXEL_OPERATOR_NEEDED,2,12,1.105089324357775,0.4548324598638925,3.828141644670885,12,0.9800203774983592,4.910102990729577,0.9166666666666666,0.08333333333333333,OPERATOR_STABILITY_MODERATE,0.6311248289378122
subj03,lateral,FULL_CROSS_VOXEL_OPERATOR_NEEDED,1,12,1.16952112274268,0.3588508051644314,4.05133993751625,12,0.9715159184633886,5.032626914248002,0.9166666666666666,0.08333333333333333,OPERATOR_STABILITY_HIGH,0.8386161041303587
subj03,parietal,FULL_CROSS_VOXEL_OPERATOR_NEEDED,1,12,1.3819704719513852,0.09149011988372516,4.787286058036159,12,0.9488528373340036,5.007907710699377,0.9166666666666666,0.08333333333333333,OPERATOR_STABILITY_MODERATE,0.7799559418476552
subj04,V1,DIAGONAL_REWEIGHTING_SUFFICIENT,5,12,1.0196552821684646,0.09343508275318546,3.5321894464469663,12,0.7145694486780986,4.922969914776035,1.0,0.0,OPERATOR_STABILITY_MODERATE,0.6542228693797428
subj04,V2,DIAGONAL_REWEIGHTING_SUFFICIENT,2,12,1.0453533692129955,0.04412599596462194,3.6212102296861106,12,0.8935340685825109,5.042590977221057,1.0,0.0,OPERATOR_STABILITY_MODERATE,0.5184456365170221
subj04,V3,FULL_CROSS_VOXEL_OPERATOR_NEEDED,8,11,1.0347016647953424,0.06417052449198397,3.431717284669034,11,0.7875427062535965,4.393309589880903,1.0,0.0,OPERATOR_STABILITY_MODERATE,0.7821731068094124
subj04,hV4,DIAGONAL_REWEIGHTING_SUFFICIENT,5,10,1.3401413687273145,2.6669358220497555e-15,4.237899163186228,10,0.9768004975082016,4.150164219118507,0.8,0.2,OPERATOR_STABILITY_MODERATE,0.5403820039038638
subj04,ventral,FULL_CROSS_VOXEL_OPERATOR_NEEDED,4,12,1.1258483401438548,0.5775075309322938,3.9000529834934325,12,0.8977372487017824,4.816381085608621,1.0,0.0,OPERATOR_STABILITY_MODERATE,0.6289882443773326
subj04,lateral,DIAGONAL_REWEIGHTING_SUFFICIENT,3,12,1.3806660564258206,0.32184968790902563,4.782767430188341,12,0.9779648909623533,5.095287810216038,0.9166666666666666,0.08333333333333333,OPERATOR_STABILITY_MODERATE,0.6090275807610526
subj04,parietal,FULL_CROSS_VOXEL_OPERATOR_NEEDED,1,12,1.0534095102477894,0.5031980915510524,3.649117520355631,12,0.9113738136740844,4.974806324908731,1.0,0.0,OPERATOR_STABILITY_MODERATE,0.615740357402346
subj05,V1,DIAGONAL_REWEIGHTING_SUFFICIENT,1,12,1.2690319008942663,0.024647679474361073,4.396055378647742,12,0.9813302346756918,4.812892225988311,0.9166666666666666,0.08333333333333333,OPERATOR_STABILITY_MODERATE,0.6638883203676251
subj05,V2,NO_REUSABLE_OPERATOR_EVIDENCE,5,12,0.9798610073375629,0.049884682987124736,3.3943380372061926,12,0.5619792388448597,4.506286144881576,1.0,0.0,OPERATOR_STABILITY_MODERATE,0.7079900894077894
subj05,V3,FULL_CROSS_VOXEL_OPERATOR_NEEDED,1,12,1.056842775624996,0.12733008495873485,3.6610107002805474,12,0.8865183905212172,5.021872152748393,0.9166666666666666,0.08333333333333333,OPERATOR_STABILITY_HIGH,0.8210931666766013
subj05,hV4,NO_REUSABLE_OPERATOR_EVIDENCE,3,11,0.9958904350473414,6.213158276608484e-15,3.3029949944697425,11,0.8371494743915087,4.463451557526975,1.0,0.0,OPERATOR_STABILITY_LOW,0.41744433737579334
subj05,ventral,FULL_CROSS_VOXEL_OPERATOR_NEEDED,1,12,1.006076646260182,0.6989005747787778,3.4851516727099616,12,0.7337282982926813,4.954817238820893,1.0,0.0,OPERATOR_STABILITY_HIGH,0.8453598669265088
subj05,lateral,FULL_CROSS_VOXEL_OPERATOR_NEEDED,1,12,1.0211367804714246,0.7759041441187634,3.5373215070189623,12,0.9381672455665941,4.73159986511177,1.0,0.0,OPERATOR_STABILITY_MODERATE,0.7403510754256942
subj05,parietal,FULL_CROSS_VOXEL_OPERATOR_NEEDED,1,12,1.0142494828772763,0.6770059285700147,3.513463450543274,12,0.9402180257954801,5.086281633247932,1.0,0.0,OPERATOR_STABILITY_MODERATE,0.7475423169531376
subj06,V1,NO_REUSABLE_OPERATOR_EVIDENCE,1,12,0.9999176818644521,0.12073468255669745,3.4638163945820684,12,0.9977555278158251,4.891302460214196,1.0,0.0,OPERATOR_STABILITY_MODERATE,0.5439631181273192
subj06,V2,NO_REUSABLE_OPERATOR_EVIDENCE,4,12,1.0011715097358067,0.22596504226252587,3.4681597816583762,12,0.8629502997198054,4.674836849056294,1.0,0.0,OPERATOR_STABILITY_MODERATE,0.579548347134979
subj06,V3,FULL_CROSS_VOXEL_OPERATOR_NEEDED,4,12,1.009684998259556,0.3171990842270932,3.4976513704746313,12,0.8597303940877408,4.678285362903974,1.0,0.0,OPERATOR_STABILITY_MODERATE,0.6908488699584324
subj06,hV4,FULL_CROSS_VOXEL_OPERATOR_NEEDED,1,10,1.0146718156269174,2.9468692958518107e-15,3.2086740538705976,10,0.891581743317487,4.5355797096732875,1.0,0.0,OPERATOR_STABILITY_MODERATE,0.7186044658359552
subj06,ventral,FULL_CROSS_VOXEL_OPERATOR_NEEDED,2,12,1.0792736862545462,0.44747843521111647,3.7387136526267524,12,0.7511410465250605,4.960268726971409,0.9166666666666666,0.08333333333333333,OPERATOR_STABILITY_MODERATE,0.7776431140791628
subj06,lateral,DIAGONAL_REWEIGHTING_SUFFICIENT,1,12,1.11534643755192,0.33301520921003297,3.863673326415642,12,0.9715933615633963,5.453778683235072,0.9166666666666666,0.08333333333333333,OPERATOR_STABILITY_MODERATE,0.7078593020395457
subj06,parietal,FULL_CROSS_VOXEL_OPERATOR_NEEDED,1,12,1.1135177423718965,0.27444857360331426,3.857338540602626,12,0.8509027278442705,4.851385356111369,0.9166666666666666,0.08333333333333333,OPERATOR_STABILITY_MODERATE,0.7301980706295992
