outer_fold,role,identity,family
0,test,A:E,simple
0,test,B:B,naturalistic
0,train,A:H,simple
0,train,A:L,simple
0,train,A:P,simple
0,train,A:R,simple
0,train,A:V,simple
0,train,B:C,naturalistic
0,train,B:D,naturalistic
0,train,B:K,naturalistic
0,train,B:T,naturalistic
0,train,B:W,naturalistic
1,test,A:H,simple
1,test,B:C,naturalistic
1,train,A:E,simple
1,train,A:L,simple
1,train,A:P,simple
1,train,A:R,simple
1,train,A:V,simple
1,train,B:B,naturalistic
1,train,B:D,naturalistic
1,train,B:K,naturalistic
1,train,B:T,naturalistic
1,train,B:W,naturalistic
2,test,A:L,simple
2,test,B:D,naturalistic
2,train,A:E,simple
2,train,A:H,simple
2,train,A:P,simple
2,train,A:R,simple
2,train,A:V,simple
2,train,B:B,naturalistic
2,train,B:C,naturalistic
2,train,B:K,naturalistic
2,train,B:T,naturalistic
2,train,B:W,naturalistic
3,test,A:P,simple
3,test,B:K,naturalistic
3,train,A:E,simple
3,train,A:H,simple
3,train,A:L,simple
3,train,A:R,simple
3,train,A:V,simple
3,train,B:B,naturalistic
3,train,B:C,naturalistic
3,train,B:D,naturalistic
3,train,B:T,naturalistic
3,train,B:W,naturalistic
4,test,A:R,simple
4,test,B:T,naturalistic
4,train,A:E,simple
4,train,A:H,simple
4,train,A:L,simple
4,train,A:P,simple
4,train,A:V,simple
4,train,B:B,naturalistic
4,train,B:C,naturalistic
4,train,B:D,naturalistic
4,train,B:K,naturalistic
4,train,B:W,naturalistic
5,test,A:V,simple
5,test,B:W,naturalistic
5,train,A:E,simple
5,train,A:H,simple
5,train,A:L,simple
5,train,A:P,simple
5,train,A:R,simple
5,train,B:B,naturalistic
5,train,B:C,naturalistic
5,train,B:D,naturalistic
5,train,B:K,naturalistic
5,train,B:T,naturalistic
