outer_fold,inner_fold,role,identity,family
0,0,test,A:H,simple
0,0,test,B:C,naturalistic
0,0,train,A:L,simple
0,0,train,A:P,simple
0,0,train,A:R,simple
0,0,train,A:V,simple
0,0,train,B:D,naturalistic
0,0,train,B:K,naturalistic
0,0,train,B:T,naturalistic
0,0,train,B:W,naturalistic
0,1,test,A:L,simple
0,1,test,B:D,naturalistic
0,1,train,A:H,simple
0,1,train,A:P,simple
0,1,train,A:R,simple
0,1,train,A:V,simple
0,1,train,B:C,naturalistic
0,1,train,B:K,naturalistic
0,1,train,B:T,naturalistic
0,1,train,B:W,naturalistic
0,2,test,A:P,simple
0,2,test,B:K,naturalistic
0,2,train,A:H,simple
0,2,train,A:L,simple
0,2,train,A:R,simple
0,2,train,A:V,simple
0,2,train,B:C,naturalistic
0,2,train,B:D,naturalistic
0,2,train,B:T,naturalistic
0,2,train,B:W,naturalistic
0,3,test,A:R,simple
0,3,test,B:T,naturalistic
0,3,train,A:H,simple
0,3,train,A:L,simple
0,3,train,A:P,simple
0,3,train,A:V,simple
0,3,train,B:C,naturalistic
0,3,train,B:D,naturalistic
0,3,train,B:K,naturalistic
0,3,train,B:W,naturalistic
0,4,test,A:V,simple
0,4,test,B:W,naturalistic
0,4,train,A:H,simple
0,4,train,A:L,simple
0,4,train,A:P,simple
0,4,train,A:R,simple
0,4,train,B:C,naturalistic
0,4,train,B:D,naturalistic
0,4,train,B:K,naturalistic
0,4,train,B:T,naturalistic
1,0,test,A:E,simple
1,0,test,B:B,naturalistic
1,0,train,A:L,simple
1,0,train,A:P,simple
1,0,train,A:R,simple
1,0,train,A:V,simple
1,0,train,B:D,naturalistic
1,0,train,B:K,naturalistic
1,0,train,B:T,naturalistic
1,0,train,B:W,naturalistic
1,1,test,A:L,simple
1,1,test,B:D,naturalistic
1,1,train,A:E,simple
1,1,train,A:P,simple
1,1,train,A:R,simple
1,1,train,A:V,simple
1,1,train,B:B,naturalistic
1,1,train,B:K,naturalistic
1,1,train,B:T,naturalistic
1,1,train,B:W,naturalistic
1,2,test,A:P,simple
1,2,test,B:K,naturalistic
1,2,train,A:E,simple
1,2,train,A:L,simple
1,2,train,A:R,simple
1,2,train,A:V,simple
1,2,train,B:B,naturalistic
1,2,train,B:D,naturalistic
1,2,train,B:T,naturalistic
1,2,train,B:W,naturalistic
1,3,test,A:R,simple
1,3,test,B:T,naturalistic
1,3,train,A:E,simple
1,3,train,A:L,simple
1,3,train,A:P,simple
1,3,train,A:V,simple
1,3,train,B:B,naturalistic
1,3,train,B:D,naturalistic
1,3,train,B:K,naturalistic
1,3,train,B:W,naturalistic
1,4,test,A:V,simple
1,4,test,B:W,naturalistic
1,4,train,A:E,simple
1,4,train,A:L,simple
1,4,train,A:P,simple
1,4,train,A:R,simple
1,4,train,B:B,naturalistic
1,4,train,B:D,naturalistic
1,4,train,B:K,naturalistic
1,4,train,B:T,naturalistic
2,0,test,A:E,simple
2,0,test,B:B,naturalistic
2,0,train,A:H,simple
2,0,train,A:P,simple
2,0,train,A:R,simple
2,0,train,A:V,simple
2,0,train,B:C,naturalistic
2,0,train,B:K,naturalistic
2,0,train,B:T,naturalistic
2,0,train,B:W,naturalistic
2,1,test,A:H,simple
2,1,test,B:C,naturalistic
2,1,train,A:E,simple
2,1,train,A:P,simple
2,1,train,A:R,simple
2,1,train,A:V,simple
2,1,train,B:B,naturalistic
2,1,train,B:K,naturalistic
2,1,train,B:T,naturalistic
2,1,train,B:W,naturalistic
2,2,test,A:P,simple
2,2,test,B:K,naturalistic
2,2,train,A:E,simple
2,2,train,A:H,simple
2,2,train,A:R,simple
2,2,train,A:V,simple
2,2,train,B:B,naturalistic
2,2,train,B:C,naturalistic
2,2,train,B:T,naturalistic
2,2,train,B:W,naturalistic
2,3,test,A:R,simple
2,3,test,B:T,naturalistic
2,3,train,A:E,simple
2,3,train,A:H,simple
2,3,train,A:P,simple
2,3,train,A:V,simple
2,3,train,B:B,naturalistic
2,3,train,B:C,naturalistic
2,3,train,B:K,naturalistic
2,3,train,B:W,naturalistic
2,4,test,A:V,simple
