participant,ROI,outer_fold,model,identity,family,held_out_r,lam,rank,normalized_mse,cosine,explained_variance,centroid_norm_ratio
subj01,V1,0,O0,A:E,simple,0.4798598885536194,0.0,1,2.0097768306732178,0.5652596950531006,0.030879616737365723,1.7182103395462036
subj01,V1,0,O0,B:B,naturalistic,0.48673129081726074,0.0,1,0.3169775903224945,0.8350784182548523,0.1556606888771057,0.9548008441925049
subj01,V1,0,O1,A:E,simple,0.5075569748878479,0.0,1,2.277819871902466,0.5669236183166504,0.10304325819015503,1.8315273523330688
subj01,V1,0,O1,B:B,naturalistic,0.5178882479667664,0.0,1,0.312526136636734,0.8296409845352173,0.1846785545349121,0.8584545850753784
subj01,V1,0,O2,A:E,simple,0.5144491195678711,5.428675439323859,1,2.398228406906128,0.5830721259117126,-0.015447854995727539,1.901481032371521
subj01,V1,0,O2,B:B,naturalistic,0.6893206834793091,5.428675439323859,1,0.20551210641860962,0.8914706707000732,0.45451873540878296,0.9067036509513855
subj01,V1,0,O3,A:E,simple,0.27204463183266375,0.8286427728546842,7,5.923086425135482,0.4713218727792573,-1.437277351994152,2.739632043910248
subj01,V1,0,O3,B:B,naturalistic,0.6837834312905521,0.8286427728546842,7,0.29503382571058157,0.867650535302292,0.21101494200928816,1.0863998362124303
subj01,V1,0,O4,A:E,simple,0.34339624655332734,1.2067926406393288,3,5.45279149768109,0.5003043944726389,-0.8830331631180273,2.66896671439881
subj01,V1,0,O4,B:B,naturalistic,0.8933592135113623,1.2067926406393288,3,0.08137417946720789,0.960816734978425,0.7980335126843734,1.0282181833285382
subj01,V1,1,O0,A:H,simple,0.6516324877738953,0.0,1,0.5932711958885193,0.7633047103881836,0.41843903064727783,1.1827154159545898
subj01,V1,1,O0,B:C,naturalistic,0.7027885913848877,0.0,1,0.15831874310970306,0.9314665198326111,0.276145875453949,0.7703812122344971
subj01,V1,1,O1,A:H,simple,0.7507750391960144,0.0,1,0.6062771081924438,0.7928571701049805,0.5631262063980103,1.2775214910507202
subj01,V1,1,O1,B:C,naturalistic,0.7075271010398865,0.0,1,0.25980937480926514,0.8929427862167358,0.2710323929786682,0.6538691520690918
subj01,V1,1,O2,A:H,simple,0.8124550580978394,3.727593720314938,1,0.5674828886985779,0.8280764222145081,0.660082221031189,1.331259846687317
subj01,V1,1,O2,B:C,naturalistic,0.8156856298446655,3.727593720314938,1,0.21139054000377655,0.9131812453269958,0.4509074091911316,0.7003656625747681
subj01,V1,1,O3,A:H,simple,0.7412861077464701,1.7575106248547894,1,2.144393534104562,0.78741351371997,-2.0613207694869105,2.11572578610422
subj01,V1,1,O3,B:C,naturalistic,0.5057176254715069,1.7575106248547894,1,0.493138212456656,0.7211695231627231,-1.8416390864672447,0.8361636184463292
subj01,V1,1,O4,A:H,simple,0.8642356913349437,35.564803062231285,2,0.5108371421617293,0.8652983877750039,0.7445937438441153,1.374786788278397
subj01,V1,1,O4,B:C,naturalistic,0.8039319922294995,35.564803062231285,2,0.22771769051369434,0.904005553994652,0.4067654848414334,0.6920062972984583
subj01,V1,2,O0,A:L,simple,0.7371008992195129,0.0,1,0.25005388259887695,0.9312537908554077,0.4906746745109558,0.5887811779975891
subj01,V1,2,O0,B:D,naturalistic,0.7976384162902832,0.0,1,0.10211481153964996,0.9538190960884094,0.5933772325515747,1.0628405809402466
subj01,V1,2,O1,A:L,simple,0.7376219034194946,0.0,1,0.23932503163814545,0.9317094087600708,0.49294495582580566,0.60397869348526
subj01,V1,2,O1,B:D,naturalistic,0.7878443002700806,0.0,1,0.10296771675348282,0.9513922333717346,0.5794894695281982,1.04147469997406
subj01,V1,2,O2,A:L,simple,0.8173608183860779,7.9060432109076855,1,0.21332508325576782,0.9509916305541992,0.5909919738769531,0.607902467250824
subj01,V1,2,O2,B:D,naturalistic,0.7978885769844055,7.9060432109076855,1,0.10798093676567078,0.9545281529426575,0.5926817655563354,1.092748761177063
subj01,V1,2,O3,A:L,simple,0.5558700863434292,0.8286427728546842,7,0.4356916395534857,0.7796089139707223,0.24803547571482054,0.5710862893818481
subj01,V1,2,O3,B:D,naturalistic,0.1420243037212099,0.8286427728546842,7,1.3830671413730296,0.4549224648322948,-4.35433701873537,1.2230511240718234
subj01,V1,2,O4,A:L,simple,0.8886799430819966,16.768329368110066,1,0.20805560208242885,0.9679354287510739,0.6998182382345102,0.5872064337008412
subj01,V1,2,O4,B:D,naturalistic,0.7998762363250398,16.768329368110066,1,0.10109255843969658,0.9543576177999301,0.5981198053661894,1.0634035440112657
subj01,V1,3,O0,A:P,simple,0.8968397974967957,0.0,1,0.1660386025905609,0.9142054319381714,0.6810512542724609,0.8716593384742737
subj01,V1,3,O0,B:K,naturalistic,0.8120147585868835,0.0,1,0.1433987021446228,0.9358888864517212,0.6593455076217651,1.0747652053833008
subj01,V1,3,O1,A:P,simple,0.9019606709480286,0.0,1,0.16253246366977692,0.9157458543777466,0.6911016702651978,0.8822354078292847
subj01,V1,3,O1,B:K,naturalistic,0.807856023311615,0.0,1,0.15521186590194702,0.9350627064704895,0.6517220735549927,1.1069753170013428
subj01,V1,3,O2,A:P,simple,0.9062114357948303,3.727593720314938,1,0.16258502006530762,0.9154651165008545,0.6942617893218994,0.8897472023963928
subj01,V1,3,O2,B:K,naturalistic,0.7519437074661255,3.727593720314938,1,0.19372615218162537,0.9203302264213562,0.5554594993591309,1.1221565008163452
subj01,V1,3,O3,A:P,simple,0.457945475084812,5.428675439323859,2,0.8355990790575653,0.6805221243824877,-0.6614586154512576,1.227065299444504
subj01,V1,3,O3,B:K,naturalistic,0.4569980859075808,5.428675439323859,2,0.7565427395563604,0.7689313410855261,-1.0806665360804621,1.3586754830854166
subj01,V1,3,O4,A:P,simple,0.9510443568724591,35.564803062231285,1,0.1225073696005573,0.9380021471368883,0.7696230626126632,0.8894698596933607
subj01,V1,3,O4,B:K,naturalistic,0.7600567263225203,35.564803062231285,1,0.17517998942318022,0.9227081782772052,0.5721819058330528,1.0857125206551161
subj01,V1,4,O0,A:R,simple,0.6281484365463257,0.0,1,0.34020698070526123,0.8878602981567383,0.3945668339729309,0.5293874144554138
subj01,V1,4,O0,B:T,naturalistic,0.6971176862716675,0.0,1,0.4429706335067749,0.7706044316291809,0.4843909740447998,0.9624424576759338
subj01,V1,4,O1,A:R,simple,0.624657392501831,0.0,1,0.3354255259037018,0.8893462419509888,0.3901926279067993,0.533871591091156
subj01,V1,4,O1,B:T,naturalistic,0.7082436084747314,0.0,1,0.4125244617462158,0.7821981310844421,0.5002739429473877,0.9382697343826294
subj01,V1,4,O2,A:R,simple,0.6561827063560486,3.727593720314938,1,0.3540910482406616,0.8774053454399109,0.4299083948135376,0.5253668427467346
subj01,V1,4,O2,B:T,naturalistic,0.7976359724998474,3.727593720314938,1,0.3151977062225342,0.8465824723243713,0.6354647874832153,1.0251871347427368
subj01,V1,4,O3,A:R,simple,0.10541937588008345,2.559547922699533,7,0.7732385642485625,0.47693618027207924,-0.4700655784323968,0.45035358931229297
subj01,V1,4,O3,B:T,naturalistic,0.8409227920853508,2.559547922699533,7,1.2253202432058539,0.8583668268595211,0.4303862766082047,1.839240852524636
subj01,V1,4,O4,A:R,simple,0.7310589377594269,5.428675439323859,1,0.3186242448489903,0.9054018756851788,0.5315998425156165,0.5334116689381024
subj01,V1,4,O4,B:T,naturalistic,0.9339664765976319,5.428675439323859,1,0.21300608995698067,0.9200601822309384,0.8716954987194224,1.1640209269392092
subj01,V1,5,O0,A:V,simple,0.826347827911377,0.0,1,0.11772023141384125,0.9526262879371643,0.6768020391464233,0.793827474117279
subj01,V1,5,O0,B:W,naturalistic,0.8007311224937439,0.0,1,0.2366177886724472,0.8828508853912354,0.6295759677886963,1.009513258934021
subj01,V1,5,O1,A:V,simple,0.8314856290817261,0.0,1,0.10687314718961716,0.953701913356781,0.6894347071647644,0.8255589008331299
subj01,V1,5,O1,B:W,naturalistic,0.8093835115432739,0.0,1,0.23606759309768677,0.8869269490242004,0.6468771696090698,1.0376149415969849
subj01,V1,5,O2,A:V,simple,0.8550487160682678,2.559547922699533,1,0.10177923738956451,0.9603481888771057,0.7219769358634949,0.8052741885185242
subj01,V1,5,O2,B:W,naturalistic,0.7493839263916016,2.559547922699533,1,0.26570528745651245,0.8693509101867676,0.561540424823761,1.0158987045288086
subj01,V1,5,O3,A:V,simple,0.832119761299963,3.727593720314938,7,0.38169006890896917,0.904520980840448,-0.311634026262946,1.3515649349889984
subj01,V1,5,O3,B:W,naturalistic,0.6367958475924759,3.727593720314938,7,0.7803725262296013,0.8091569544498701,-0.22397161481157357,1.468783757960779
subj01,V1,5,O4,A:V,simple,0.8707931993372598,51.79474679231202,1,0.09647423052828027,0.9638712383080219,0.7509949017476952,0.8041150381958624
subj01,V1,5,O4,B:W,naturalistic,0.7381585797086546,51.79474679231202,1,0.28315487862642336,0.8600623524776296,0.5432290487550369,1.0112646439916355
subj01,V2,0,O0,A:E,simple,0.7830963134765625,0.0,1,1.7875840663909912,0.14146828651428223,0.6125670671463013,1.0401325225830078
subj01,V2,0,O0,B:B,naturalistic,0.8115724921226501,0.0,1,0.252658873796463,0.8646853566169739,0.6393030285835266,0.8462581634521484
subj01,V2,0,O1,A:E,simple,0.7919058203697205,0.0,1,1.8149044513702393,0.14016316831111908,0.626098096370697,1.05370032787323
subj01,V2,0,O1,B:B,naturalistic,0.8198064565658569,0.0,1,0.23848211765289307,0.8736992478370667,0.6544579267501831,0.8308913111686707
subj01,V2,0,O2,A:E,simple,0.8096166253089905,35.564803062231285,1,1.7976387739181519,0.14133915305137634,0.6512234807014465,1.0455601215362549
subj01,V2,0,O2,B:B,naturalistic,0.8198405504226685,35.564803062231285,1,0.23944316804409027,0.872381865978241,0.6563706398010254,0.8501721024513245
subj01,V2,0,O3,A:E,simple,0.5195905567826037,2.559547922699533,7,4.5745014952604,-0.12034860926431537,0.0116970897901717,1.7741130859825929
subj01,V2,0,O3,B:B,naturalistic,0.7953454709240974,2.559547922699533,7,0.40100472160263567,0.8498529691847608,0.415752724419694,1.200929537620025
subj01,V2,0,O4,A:E,simple,0.8557015315688232,16.768329368110066,2,2.6579481211694893,0.019869391239482156,0.7167746699562794,1.3076360033534282
subj01,V2,0,O4,B:B,naturalistic,0.8782658607787572,16.768329368110066,2,0.17443791818417934,0.9094369920396117,0.7652568249662877,0.9483409640505245
subj01,V2,1,O0,A:H,simple,0.7520643472671509,0.0,1,0.40829670429229736,0.8055623173713684,0.5623902678489685,1.0447845458984375
subj01,V2,1,O0,B:C,naturalistic,0.7998601794242859,0.0,1,0.22654187679290771,0.9148045778274536,0.6385400295257568,0.6629928350448608
subj01,V2,1,O1,A:H,simple,0.7705919742584229,0.0,1,0.46065109968185425,0.8074671030044556,0.5894989967346191,1.1431068181991577
subj01,V2,1,O1,B:C,naturalistic,0.802135169506073,0.0,1,0.26034489274024963,0.9019020199775696,0.642629086971283,0.6302918791770935
subj01,V2,1,O2,A:H,simple,0.7666755318641663,51.79474679231202,1,0.3990590274333954,0.8117514848709106,0.5865454077720642,1.0525825023651123
subj01,V2,1,O2,B:C,naturalistic,0.8223961591720581,51.79474679231202,1,0.21988925337791443,0.9195720553398132,0.6747331619262695,0.6636385321617126
subj01,V2,1,O3,A:H,simple,0.6796359447349094,0.0062505519252739694,7,0.9621463487947731,0.7699681994959305,-0.013717139943321799,1.5149496385411516
subj01,V2,1,O3,B:C,naturalistic,0.8608677735838492,0.0062505519252739694,7,0.25404595900708804,0.8642547579157254,0.5603215537955458,0.895594961482859
subj01,V2,1,O4,A:H,simple,0.8530680795294543,75.43120063354607,1,0.41341944160909316,0.8405316375270211,0.7266139087137993,1.186816028705346
subj01,V2,1,O4,B:C,naturalistic,0.8958635690834491,75.43120063354607,1,0.22780150342217667,0.915202348360123,0.8024149089399997,0.6594743637009057
