participant,ROI,model,held_out_r,classification
subj01,V1,O0,0.7097459336121877,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj01,V1,O1,0.7244000335534414,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj01,V1,O2,0.7636305292447408,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj01,V1,O3,0.5192439603546748,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj01,V1,O4,0.7982131333028435,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj01,V2,O0,0.7512556885679563,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj01,V2,O1,0.7495269005497297,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj01,V2,O2,0.7493643661340078,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj01,V2,O3,0.5545419658479691,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj01,V2,O4,0.8286842126737821,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj01,V3,O0,0.8373283098141352,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj01,V3,O1,0.835455318291982,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj01,V3,O2,0.8291470607121786,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj01,V3,O3,0.6261362064756145,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj01,V3,O4,0.8691833045128669,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj01,hV4,O0,0.777899424235026,DIAGONAL_REWEIGHTING_SUFFICIENT
subj01,hV4,O1,0.7814420213301977,DIAGONAL_REWEIGHTING_SUFFICIENT
subj01,hV4,O2,0.8017552147308985,DIAGONAL_REWEIGHTING_SUFFICIENT
subj01,hV4,O3,0.6951273988548547,DIAGONAL_REWEIGHTING_SUFFICIENT
subj01,hV4,O4,0.8051544472923319,DIAGONAL_REWEIGHTING_SUFFICIENT
subj01,ventral,O0,0.6879696597655615,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj01,ventral,O1,0.6961420302589735,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj01,ventral,O2,0.6657202367981275,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj01,ventral,O3,0.6240202913296253,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj01,ventral,O4,0.743746058048679,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj01,lateral,O0,0.6459035674730936,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj01,lateral,O1,0.6492040430506071,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj01,lateral,O2,0.6606161693731943,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj01,lateral,O3,0.5932885732750377,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj01,lateral,O4,0.718259738689165,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj01,parietal,O0,0.7210652281840643,GLOBAL_GAIN_SUFFICIENT
subj01,parietal,O1,0.7114804238080978,GLOBAL_GAIN_SUFFICIENT
subj01,parietal,O2,0.7104961524407069,GLOBAL_GAIN_SUFFICIENT
subj01,parietal,O3,0.6475492566316535,GLOBAL_GAIN_SUFFICIENT
subj01,parietal,O4,0.7295112740553389,GLOBAL_GAIN_SUFFICIENT
subj02,V1,O0,0.6472952651480833,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,V1,O1,0.6365795433521271,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,V1,O2,0.7135948017239571,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,V1,O3,0.46843892027365364,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,V1,O4,0.7777885793690857,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,V2,O0,0.7243471642335256,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,V2,O1,0.7247914224863052,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,V2,O2,0.7545153498649597,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,V2,O3,0.5286953058400227,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,V2,O4,0.7965274111829385,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,V3,O0,0.5917488957444826,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,V3,O1,0.5887324623763561,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,V3,O2,0.6352113485336304,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,V3,O3,0.5356311720453633,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,V3,O4,0.7638932083054314,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,hV4,O0,0.8646854944527149,NO_REUSABLE_OPERATOR_EVIDENCE
subj02,hV4,O1,0.8648424136141936,NO_REUSABLE_OPERATOR_EVIDENCE
subj02,hV4,O2,0.8646744961539904,NO_REUSABLE_OPERATOR_EVIDENCE
subj02,hV4,O3,0.7251496052383111,NO_REUSABLE_OPERATOR_EVIDENCE
subj02,hV4,O4,0.8562514935827782,NO_REUSABLE_OPERATOR_EVIDENCE
subj02,ventral,O0,0.6353435814380646,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,ventral,O1,0.6422974256177744,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,ventral,O2,0.6424670455356439,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,ventral,O3,0.5912132259863249,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,ventral,O4,0.7402335380016171,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,lateral,O0,0.6472508708635966,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,lateral,O1,0.6364117388923963,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,lateral,O2,0.6673812568187714,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,lateral,O3,0.5924007087695063,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,lateral,O4,0.7562089138251761,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,parietal,O0,0.7666485657294592,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,parietal,O1,0.7502066890398661,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,parietal,O2,0.7796295036872228,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,parietal,O3,0.6971377037849124,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj02,parietal,O4,0.804163012211602,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj03,V1,O0,0.7005051771799723,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj03,V1,O1,0.660724272330602,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj03,V1,O2,0.7135014633337656,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj03,V1,O3,0.48850615954562726,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj03,V1,O4,0.7673426405085295,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj03,V2,O0,0.7236063977082571,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj03,V2,O1,0.6557248259584109,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj03,V2,O2,0.723245789607366,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj03,V2,O3,0.5613161091326401,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj03,V2,O4,0.7653268005908712,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj03,V3,O0,0.7182404597600301,NO_REUSABLE_OPERATOR_EVIDENCE
subj03,V3,O1,0.6411222045620283,NO_REUSABLE_OPERATOR_EVIDENCE
subj03,V3,O2,0.7194820319612821,NO_REUSABLE_OPERATOR_EVIDENCE
subj03,V3,O3,0.5390511698519979,NO_REUSABLE_OPERATOR_EVIDENCE
subj03,V3,O4,0.7018305003122708,NO_REUSABLE_OPERATOR_EVIDENCE
subj03,hV4,O0,0.6368608002861341,LOW_RANK_DEFORMATION_SUFFICIENT
subj03,hV4,O1,0.5529159332315127,LOW_RANK_DEFORMATION_SUFFICIENT
subj03,hV4,O2,0.6369383384784063,LOW_RANK_DEFORMATION_SUFFICIENT
subj03,hV4,O3,0.6920607618788782,LOW_RANK_DEFORMATION_SUFFICIENT
subj03,hV4,O4,0.6626404445027769,LOW_RANK_DEFORMATION_SUFFICIENT
subj03,ventral,O0,0.7007653514544169,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj03,ventral,O1,0.7004959806799889,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj03,ventral,O2,0.7056034182508787,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj03,ventral,O3,0.6140149516530089,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj03,ventral,O4,0.7751198621303309,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj03,lateral,O0,0.6231505970160166,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj03,lateral,O1,0.6199814230203629,FULL_CROSS_VOXEL_OPERATOR_NEEDED
