participant,ROI,outer_fold,identity,family,residual_norm
subj01,V1,0,A:E,simple,4.519948148705559
subj01,V1,0,B:B,naturalistic,0.9936440362572397
subj01,V1,1,A:H,simple,1.889404988997417
subj01,V1,1,B:C,naturalistic,1.9366750981432197
subj01,V1,2,A:L,simple,2.549907769963079
subj01,V1,2,B:D,naturalistic,0.9846460195105669
subj01,V1,3,A:P,simple,1.3360532565872978
subj01,V1,3,B:K,naturalistic,1.2957405858120201
subj01,V1,4,A:R,simple,3.0977582594804143
subj01,V1,4,B:T,naturalistic,1.3931662500343873
subj01,V1,5,A:V,simple,1.605149111936376
subj01,V1,5,B:W,naturalistic,2.1623992465599238
subj01,V2,0,A:E,simple,4.730114082926712
subj01,V2,0,B:B,naturalistic,1.4893768816803723
subj01,V2,1,A:H,simple,2.0005307986503302
subj01,V2,1,B:C,naturalistic,2.340162776439088
subj01,V2,2,A:L,simple,3.4063629402007867
subj01,V2,2,B:D,naturalistic,0.9191867313831484
subj01,V2,3,A:P,simple,1.515289704573163
subj01,V2,3,B:K,naturalistic,1.8520784439986506
subj01,V2,4,A:R,simple,5.0171268541368885
subj01,V2,4,B:T,naturalistic,2.234176191103782
subj01,V2,5,A:V,simple,1.6444231998904297
subj01,V2,5,B:W,naturalistic,1.783348519114076
subj01,V3,0,A:E,simple,3.7370252959512307
subj01,V3,0,B:B,naturalistic,1.8658766389447021
subj01,V3,1,A:H,simple,3.5607608316990165
subj01,V3,1,B:C,naturalistic,1.8640707493484348
subj01,V3,2,A:L,simple,3.117586517901835
subj01,V3,2,B:D,naturalistic,1.4395645852517203
subj01,V3,3,A:P,simple,1.8424666937451295
subj01,V3,3,B:K,naturalistic,1.8508195978036417
subj01,V3,4,A:R,simple,4.045506864477424
subj01,V3,4,B:T,naturalistic,2.1550909578897532
subj01,V3,5,A:V,simple,2.2359039131748526
subj01,V3,5,B:W,naturalistic,2.685197305146235
subj01,hV4,0,A:E,simple,2.445579827412283
subj01,hV4,0,B:B,naturalistic,0.8931505575005806
subj01,hV4,1,A:H,simple,1.7403716239047962
subj01,hV4,1,B:C,naturalistic,1.125950195573054
subj01,hV4,2,A:L,simple,1.3545774536866035
subj01,hV4,2,B:D,naturalistic,1.1537361339166643
subj01,hV4,3,A:P,simple,1.2287777906013255
subj01,hV4,3,B:K,naturalistic,1.5135509900270039
subj01,hV4,4,A:R,simple,2.4596212296247026
subj01,hV4,4,B:T,naturalistic,2.4625643789698155
subj01,hV4,5,A:V,simple,1.4002448579642548
subj01,hV4,5,B:W,naturalistic,1.1192949512933388
subj01,ventral,0,A:E,simple,9.716520199609002
subj01,ventral,0,B:B,naturalistic,8.993072293268849
subj01,ventral,1,A:H,simple,8.75819959952554
subj01,ventral,1,B:C,naturalistic,13.53323241755124
subj01,ventral,2,A:L,simple,8.598256209545708
subj01,ventral,2,B:D,naturalistic,10.37094685631612
subj01,ventral,3,A:P,simple,9.732101103700963
subj01,ventral,3,B:K,naturalistic,10.640209044114489
subj01,ventral,4,A:R,simple,8.790698562893839
subj01,ventral,4,B:T,naturalistic,6.795315869787846
subj01,ventral,5,A:V,simple,11.314746380378804
subj01,ventral,5,B:W,naturalistic,9.128695075298365
subj01,lateral,0,A:E,simple,12.865021396180996
subj01,lateral,0,B:B,naturalistic,7.577609562521477
subj01,lateral,1,A:H,simple,11.894734132131438
subj01,lateral,1,B:C,naturalistic,11.106891803862968
subj01,lateral,2,A:L,simple,16.315280550816826
subj01,lateral,2,B:D,naturalistic,11.32427353547573
subj01,lateral,3,A:P,simple,11.400134580875287
subj01,lateral,3,B:K,naturalistic,7.774521331986174
subj01,lateral,4,A:R,simple,11.078509789112431
subj01,lateral,4,B:T,naturalistic,8.519567354786751
subj01,lateral,5,A:V,simple,9.298872151623769
subj01,lateral,5,B:W,naturalistic,10.104034563736914
subj01,parietal,0,A:E,simple,10.482735812982874
subj01,parietal,0,B:B,naturalistic,10.036908763366977
subj01,parietal,1,A:H,simple,8.781031743397728
subj01,parietal,1,B:C,naturalistic,24.0677520697789
subj01,parietal,2,A:L,simple,5.9114617979735815
subj01,parietal,2,B:D,naturalistic,5.844836699060313
subj01,parietal,3,A:P,simple,5.9730460633051
subj01,parietal,3,B:K,naturalistic,10.254553137971444
subj01,parietal,4,A:R,simple,8.44183276890996
subj01,parietal,4,B:T,naturalistic,3.632253612764405
subj01,parietal,5,A:V,simple,8.505403169806382
subj01,parietal,5,B:W,naturalistic,5.717432867644566
subj02,V1,0,A:E,simple,1.460416039221119
subj02,V1,0,B:B,naturalistic,0.8587581162299971
subj02,V1,1,A:H,simple,1.1663981804858812
subj02,V1,1,B:C,naturalistic,1.0710197191021786
subj02,V1,2,A:L,simple,1.2314178791163717
subj02,V1,2,B:D,naturalistic,1.5003061295716609
