ROI,target_subject,identity_fold,K_selected,selected_margin
ventral,subj01,0,2,1.5263937204544034
ventral,subj01,1,2,1.5746651027019003
ventral,subj01,2,2,1.6148770844563842
ventral,subj01,3,2,1.5160893968373006
ventral,subj01,4,2,1.5699371528146522
ventral,subj01,5,2,1.5529625127491142
ventral,subj02,0,2,1.547983390319028
ventral,subj02,1,2,1.5923000898212194
ventral,subj02,2,2,1.6311817927019936
ventral,subj02,3,2,1.5262749936897309
ventral,subj02,4,2,1.567487218810129
ventral,subj02,5,2,1.5723292897322347
ventral,subj03,0,2,1.5366936788495098
ventral,subj03,1,2,1.5781315822686468
ventral,subj03,2,2,1.5832348029661392
ventral,subj03,3,2,1.5260629956211362
ventral,subj03,4,2,1.5682939265987703
ventral,subj03,5,2,1.559310407058469
ventral,subj04,0,2,1.5106399629797254
ventral,subj04,1,2,1.5818602663863983
ventral,subj04,2,2,1.615157007745334
ventral,subj04,3,2,1.5067457187658875
ventral,subj04,4,2,1.5530620085341589
ventral,subj04,5,2,1.53908718946789
ventral,subj05,0,2,1.5289316734032972
ventral,subj05,1,2,1.5671006558995162
ventral,subj05,2,2,1.6021377766238791
ventral,subj05,3,2,1.5339617447528455
ventral,subj05,4,2,1.5815334144181439
ventral,subj05,5,2,1.5616364675973142
ventral,subj06,0,2,1.5715779959623302
ventral,subj06,1,2,1.600375523085573
ventral,subj06,2,2,1.6070363663403051
ventral,subj06,3,2,1.5463402421974544
ventral,subj06,4,2,1.581795117684773
ventral,subj06,5,2,1.55911332528506
ventral,subj07,0,2,1.5820807556887821
ventral,subj07,1,2,1.6433770177619798
ventral,subj07,2,2,1.6120969409688508
ventral,subj07,3,2,1.5815071342512965
ventral,subj07,4,2,1.6190414889582565
ventral,subj07,5,2,1.611641544396324
ventral,subj08,0,2,1.552672257380826
ventral,subj08,1,2,1.6098702616989613
ventral,subj08,2,2,1.6165518729282278
ventral,subj08,3,2,1.5441576719284058
ventral,subj08,4,2,1.5893702821806073
ventral,subj08,5,2,1.5623003118804524
