ROI,target_subject,identity_fold,K_selected,selected_margin
V1,subj01,0,2,1.1281128270817655
V1,subj01,1,2,1.082959347351321
V1,subj01,2,4,1.1098163140106148
V1,subj01,3,2,1.4190112616334642
V1,subj01,4,2,1.0699269026650915
V1,subj01,5,2,1.4099827543300176
V1,subj02,0,2,1.0734184843028614
V1,subj02,1,2,0.9813191000904355
V1,subj02,2,2,1.068320369853505
V1,subj02,3,2,1.4439549305609294
V1,subj02,4,2,1.0640524715185165
V1,subj02,5,2,1.3636643950162188
V1,subj03,0,2,1.0067137231983776
V1,subj03,1,2,0.9718555490120447
V1,subj03,2,2,1.0454323107110604
V1,subj03,3,2,1.4038008032100542
V1,subj03,4,2,0.937784641502159
V1,subj03,5,2,1.4041883349551687
V1,subj04,0,2,1.1265708736809237
V1,subj04,1,2,1.0495988806443555
V1,subj04,2,2,1.0968031942844392
V1,subj04,3,2,1.4091484607330391
V1,subj04,4,2,1.106268318902169
V1,subj04,5,2,1.4361450916156173
V1,subj05,0,2,1.0412532671221666
V1,subj05,1,2,0.9952264256509287
V1,subj05,2,2,1.037023047411016
V1,subj05,3,2,1.4146537342241832
V1,subj05,4,2,1.010234466620854
V1,subj05,5,2,1.4070548555015454
V1,subj06,0,2,1.2579841411007302
V1,subj06,1,2,1.1960620785664235
V1,subj06,2,2,1.15391609520219
V1,subj06,3,2,1.4552268410101532
V1,subj06,4,2,1.2341312161513738
V1,subj06,5,2,1.545281928458384
V1,subj07,0,2,1.0934870136901735
V1,subj07,1,2,1.1025839147823198
V1,subj07,2,2,1.1319463624485901
V1,subj07,3,2,1.4205437740044935
V1,subj07,4,2,1.0706954314173864
V1,subj07,5,2,1.419101486674377
V1,subj08,0,2,1.0853047396987676
V1,subj08,1,2,0.9930031427847488
V1,subj08,2,4,1.0573027738436525
V1,subj08,3,2,1.4278449107493674
V1,subj08,4,2,1.0570027749985456
V1,subj08,5,2,1.365792220804308
V3,subj01,0,2,1.5173823384834186
V3,subj01,1,2,1.5665048119478993
V3,subj01,2,2,1.5014092825353145
V3,subj01,3,2,1.6997181334665843
V3,subj01,4,2,1.538718778666641
V3,subj01,5,2,1.5210592910647391
V3,subj02,0,2,1.4685243867337703
V3,subj02,1,2,1.4990930517603245
V3,subj02,2,2,1.448626755098147
V3,subj02,3,2,1.7061634410970978
V3,subj02,4,2,1.565820314841611
V3,subj02,5,2,1.5355583790423615
V3,subj03,0,2,1.3999727155846944
V3,subj03,1,2,1.4441945908591152
V3,subj03,2,2,1.3681230055301317
V3,subj03,3,2,1.6253960537724197
V3,subj03,4,2,1.4925928853718298
V3,subj03,5,2,1.4579822057059832
V3,subj04,0,2,1.501094087106841
V3,subj04,1,2,1.5607504382729531
V3,subj04,2,2,1.4565430187753268
V3,subj04,3,2,1.6499138917241778
V3,subj04,4,2,1.586552133012031
V3,subj04,5,2,1.528374714085034
V3,subj05,0,2,1.412736033967563
V3,subj05,1,2,1.5023153248642171
V3,subj05,2,2,1.3503386660878147
V3,subj05,3,2,1.6940822592005134
V3,subj05,4,2,1.5071480003967217
V3,subj05,5,2,1.460899193584919
V3,subj06,0,2,1.4821972439331668
V3,subj06,1,2,1.553362521269758
V3,subj06,2,2,1.419826563820243
V3,subj06,3,2,1.737643159713064
V3,subj06,4,2,1.5648185706032174
V3,subj06,5,2,1.4807143265381455
V3,subj07,0,2,1.4293015011187111
V3,subj07,1,2,1.5081781617232732
V3,subj07,2,2,1.424552553572825
V3,subj07,3,2,1.6257041336170264
V3,subj07,4,2,1.495886619761586
V3,subj07,5,2,1.492067907431296
V3,subj08,0,2,1.4613701292446681
V3,subj08,1,2,1.502693109959364
V3,subj08,2,2,1.3946291096508503
V3,subj08,3,2,1.64875364197152
V3,subj08,4,2,1.5261082232530627
V3,subj08,5,2,1.4833669632673263
