ROI,target_subject,identity_fold,target_imagery_rows_used_for_SRM,target_imagery_rows_used_for_lambda,target_imagery_rows_used_for_Tshared,test_identity_rows_used_for_SRM,test_identity_rows_used_for_lambda,test_identity_imagery_rows_used_for_Tshared,target_vision_only_calibration
ventral,subj01,0,0,0,0,0,0,0,True
ventral,subj01,1,0,0,0,0,0,0,True
ventral,subj01,2,0,0,0,0,0,0,True
ventral,subj01,3,0,0,0,0,0,0,True
ventral,subj01,4,0,0,0,0,0,0,True
ventral,subj01,5,0,0,0,0,0,0,True
ventral,subj02,0,0,0,0,0,0,0,True
ventral,subj02,1,0,0,0,0,0,0,True
ventral,subj02,2,0,0,0,0,0,0,True
ventral,subj02,3,0,0,0,0,0,0,True
ventral,subj02,4,0,0,0,0,0,0,True
ventral,subj02,5,0,0,0,0,0,0,True
ventral,subj03,0,0,0,0,0,0,0,True
ventral,subj03,1,0,0,0,0,0,0,True
ventral,subj03,2,0,0,0,0,0,0,True
ventral,subj03,3,0,0,0,0,0,0,True
ventral,subj03,4,0,0,0,0,0,0,True
ventral,subj03,5,0,0,0,0,0,0,True
ventral,subj04,0,0,0,0,0,0,0,True
ventral,subj04,1,0,0,0,0,0,0,True
ventral,subj04,2,0,0,0,0,0,0,True
ventral,subj04,3,0,0,0,0,0,0,True
ventral,subj04,4,0,0,0,0,0,0,True
ventral,subj04,5,0,0,0,0,0,0,True
ventral,subj05,0,0,0,0,0,0,0,True
ventral,subj05,1,0,0,0,0,0,0,True
ventral,subj05,2,0,0,0,0,0,0,True
ventral,subj05,3,0,0,0,0,0,0,True
ventral,subj05,4,0,0,0,0,0,0,True
ventral,subj05,5,0,0,0,0,0,0,True
ventral,subj06,0,0,0,0,0,0,0,True
ventral,subj06,1,0,0,0,0,0,0,True
ventral,subj06,2,0,0,0,0,0,0,True
ventral,subj06,3,0,0,0,0,0,0,True
ventral,subj06,4,0,0,0,0,0,0,True
ventral,subj06,5,0,0,0,0,0,0,True
ventral,subj07,0,0,0,0,0,0,0,True
ventral,subj07,1,0,0,0,0,0,0,True
ventral,subj07,2,0,0,0,0,0,0,True
ventral,subj07,3,0,0,0,0,0,0,True
ventral,subj07,4,0,0,0,0,0,0,True
ventral,subj07,5,0,0,0,0,0,0,True
ventral,subj08,0,0,0,0,0,0,0,True
ventral,subj08,1,0,0,0,0,0,0,True
ventral,subj08,2,0,0,0,0,0,0,True
ventral,subj08,3,0,0,0,0,0,0,True
ventral,subj08,4,0,0,0,0,0,0,True
ventral,subj08,5,0,0,0,0,0,0,True
lateral,subj01,0,0,0,0,0,0,0,True
lateral,subj01,1,0,0,0,0,0,0,True
lateral,subj01,2,0,0,0,0,0,0,True
lateral,subj01,3,0,0,0,0,0,0,True
lateral,subj01,4,0,0,0,0,0,0,True
lateral,subj01,5,0,0,0,0,0,0,True
lateral,subj02,0,0,0,0,0,0,0,True
lateral,subj02,1,0,0,0,0,0,0,True
lateral,subj02,2,0,0,0,0,0,0,True
lateral,subj02,3,0,0,0,0,0,0,True
lateral,subj02,4,0,0,0,0,0,0,True
lateral,subj02,5,0,0,0,0,0,0,True
lateral,subj03,0,0,0,0,0,0,0,True
lateral,subj03,1,0,0,0,0,0,0,True
lateral,subj03,2,0,0,0,0,0,0,True
lateral,subj03,3,0,0,0,0,0,0,True
lateral,subj03,4,0,0,0,0,0,0,True
lateral,subj03,5,0,0,0,0,0,0,True
lateral,subj04,0,0,0,0,0,0,0,True
lateral,subj04,1,0,0,0,0,0,0,True
lateral,subj04,2,0,0,0,0,0,0,True
lateral,subj04,3,0,0,0,0,0,0,True
lateral,subj04,4,0,0,0,0,0,0,True
lateral,subj04,5,0,0,0,0,0,0,True
lateral,subj05,0,0,0,0,0,0,0,True
lateral,subj05,1,0,0,0,0,0,0,True
lateral,subj05,2,0,0,0,0,0,0,True
lateral,subj05,3,0,0,0,0,0,0,True
lateral,subj05,4,0,0,0,0,0,0,True
lateral,subj05,5,0,0,0,0,0,0,True
lateral,subj06,0,0,0,0,0,0,0,True
lateral,subj06,1,0,0,0,0,0,0,True
lateral,subj06,2,0,0,0,0,0,0,True
lateral,subj06,3,0,0,0,0,0,0,True
lateral,subj06,4,0,0,0,0,0,0,True
lateral,subj06,5,0,0,0,0,0,0,True
lateral,subj07,0,0,0,0,0,0,0,True
lateral,subj07,1,0,0,0,0,0,0,True
lateral,subj07,2,0,0,0,0,0,0,True
lateral,subj07,3,0,0,0,0,0,0,True
lateral,subj07,4,0,0,0,0,0,0,True
lateral,subj07,5,0,0,0,0,0,0,True
lateral,subj08,0,0,0,0,0,0,0,True
lateral,subj08,1,0,0,0,0,0,0,True
lateral,subj08,2,0,0,0,0,0,0,True
lateral,subj08,3,0,0,0,0,0,0,True
lateral,subj08,4,0,0,0,0,0,0,True
lateral,subj08,5,0,0,0,0,0,0,True
parietal,subj01,0,0,0,0,0,0,0,True
parietal,subj01,1,0,0,0,0,0,0,True
parietal,subj01,2,0,0,0,0,0,0,True
parietal,subj01,3,0,0,0,0,0,0,True
parietal,subj01,4,0,0,0,0,0,0,True
parietal,subj01,5,0,0,0,0,0,0,True
parietal,subj02,0,0,0,0,0,0,0,True
parietal,subj02,1,0,0,0,0,0,0,True
parietal,subj02,2,0,0,0,0,0,0,True
parietal,subj02,3,0,0,0,0,0,0,True
parietal,subj02,4,0,0,0,0,0,0,True
parietal,subj02,5,0,0,0,0,0,0,True
parietal,subj03,0,0,0,0,0,0,0,True
parietal,subj03,1,0,0,0,0,0,0,True
parietal,subj03,2,0,0,0,0,0,0,True
parietal,subj03,3,0,0,0,0,0,0,True
parietal,subj03,4,0,0,0,0,0,0,True
parietal,subj03,5,0,0,0,0,0,0,True
parietal,subj04,0,0,0,0,0,0,0,True
parietal,subj04,1,0,0,0,0,0,0,True
parietal,subj04,2,0,0,0,0,0,0,True
parietal,subj04,3,0,0,0,0,0,0,True
parietal,subj04,4,0,0,0,0,0,0,True
parietal,subj04,5,0,0,0,0,0,0,True
parietal,subj05,0,0,0,0,0,0,0,True
parietal,subj05,1,0,0,0,0,0,0,True
parietal,subj05,2,0,0,0,0,0,0,True
parietal,subj05,3,0,0,0,0,0,0,True
parietal,subj05,4,0,0,0,0,0,0,True
parietal,subj05,5,0,0,0,0,0,0,True
parietal,subj06,0,0,0,0,0,0,0,True
parietal,subj06,1,0,0,0,0,0,0,True
parietal,subj06,2,0,0,0,0,0,0,True
parietal,subj06,3,0,0,0,0,0,0,True
parietal,subj06,4,0,0,0,0,0,0,True
parietal,subj06,5,0,0,0,0,0,0,True
parietal,subj07,0,0,0,0,0,0,0,True
parietal,subj07,1,0,0,0,0,0,0,True
parietal,subj07,2,0,0,0,0,0,0,True
parietal,subj07,3,0,0,0,0,0,0,True
parietal,subj07,4,0,0,0,0,0,0,True
parietal,subj07,5,0,0,0,0,0,0,True
parietal,subj08,0,0,0,0,0,0,0,True
parietal,subj08,1,0,0,0,0,0,0,True
parietal,subj08,2,0,0,0,0,0,0,True
parietal,subj08,3,0,0,0,0,0,0,True
parietal,subj08,4,0,0,0,0,0,0,True
parietal,subj08,5,0,0,0,0,0,0,True
