target_subject,identity_fold,role_identity,identity,family
subj01,0,test,A:E,simple
subj01,0,test,B:B,naturalistic
subj01,0,train,A:H,simple
subj01,0,train,A:L,simple
subj01,0,train,A:P,simple
subj01,0,train,A:R,simple
subj01,0,train,A:V,simple
subj01,0,train,B:C,naturalistic
subj01,0,train,B:D,naturalistic
subj01,0,train,B:K,naturalistic
subj01,0,train,B:T,naturalistic
subj01,0,train,B:W,naturalistic
subj01,1,test,A:H,simple
subj01,1,test,B:C,naturalistic
subj01,1,train,A:E,simple
subj01,1,train,A:L,simple
subj01,1,train,A:P,simple
subj01,1,train,A:R,simple
subj01,1,train,A:V,simple
subj01,1,train,B:B,naturalistic
subj01,1,train,B:D,naturalistic
subj01,1,train,B:K,naturalistic
subj01,1,train,B:T,naturalistic
subj01,1,train,B:W,naturalistic
subj01,2,test,A:L,simple
subj01,2,test,B:D,naturalistic
subj01,2,train,A:E,simple
subj01,2,train,A:H,simple
subj01,2,train,A:P,simple
subj01,2,train,A:R,simple
subj01,2,train,A:V,simple
subj01,2,train,B:B,naturalistic
subj01,2,train,B:C,naturalistic
subj01,2,train,B:K,naturalistic
subj01,2,train,B:T,naturalistic
subj01,2,train,B:W,naturalistic
subj01,3,test,A:P,simple
subj01,3,test,B:K,naturalistic
subj01,3,train,A:E,simple
subj01,3,train,A:H,simple
subj01,3,train,A:L,simple
subj01,3,train,A:R,simple
subj01,3,train,A:V,simple
subj01,3,train,B:B,naturalistic
subj01,3,train,B:C,naturalistic
subj01,3,train,B:D,naturalistic
subj01,3,train,B:T,naturalistic
subj01,3,train,B:W,naturalistic
subj01,4,test,A:R,simple
subj01,4,test,B:T,naturalistic
subj01,4,train,A:E,simple
subj01,4,train,A:H,simple
subj01,4,train,A:L,simple
subj01,4,train,A:P,simple
subj01,4,train,A:V,simple
subj01,4,train,B:B,naturalistic
subj01,4,train,B:C,naturalistic
subj01,4,train,B:D,naturalistic
subj01,4,train,B:K,naturalistic
subj01,4,train,B:W,naturalistic
subj01,5,test,A:V,simple
subj01,5,test,B:W,naturalistic
subj01,5,train,A:E,simple
subj01,5,train,A:H,simple
subj01,5,train,A:L,simple
subj01,5,train,A:P,simple
subj01,5,train,A:R,simple
subj01,5,train,B:B,naturalistic
subj01,5,train,B:C,naturalistic
subj01,5,train,B:D,naturalistic
subj01,5,train,B:K,naturalistic
subj01,5,train,B:T,naturalistic
subj02,0,test,A:E,simple
subj02,0,test,B:B,naturalistic
subj02,0,train,A:H,simple
subj02,0,train,A:L,simple
subj02,0,train,A:P,simple
subj02,0,train,A:R,simple
subj02,0,train,A:V,simple
