target_subject,ROI,G_shared,G_beyond_gain
subj01,ventral,0.00701420815092674,0.01659203834689695
subj01,lateral,0.005230237249588761,0.008027007323062213
subj01,parietal,-0.004778321409072139,-0.008279514386103212
subj02,ventral,0.02444643473228522,0.03599004913407771
subj02,lateral,0.004490154785097174,0.0012853026753222262
subj02,parietal,0.0006463758100662941,-0.005667842234214712
subj03,ventral,-0.0008770267764850251,0.005739936723982414
subj03,lateral,-0.007051741994993672,-0.0013256048886480163
subj03,parietal,-0.014669871544655906,-0.003068413430200453
subj04,ventral,0.021982399973355566,0.02677871193111721
subj04,lateral,0.004756895853193425,0.002425298743557754
subj04,parietal,0.0031101748631135935,0.017592674173777925
subj05,ventral,0.004924720353880807,0.008070891923705026
subj05,lateral,0.003607574572026114,0.006169497688471655
subj05,parietal,-0.003596290874047466,0.021786431543466062
subj06,ventral,0.027722835707333415,0.030724003767139445
subj06,lateral,-0.0017037437192916431,-0.0046494589412560865
subj06,parietal,0.0019782426649882583,0.016120444218707997
subj07,ventral,0.017352702354077338,0.022748033987509797
subj07,lateral,0.0006427835671054307,0.001161300592541395
subj07,parietal,-0.01224543141144814,-0.02644348938582641
subj08,ventral,0.01379218348192196,0.01330680795835476
subj08,lateral,0.003953075970382772,0.008283285581987383
subj08,parietal,-0.0044429562825856845,0.0010205252876978876
