ROI,target_subject,identity_fold,oracle_pattern_r,oracle_nmse,imagery_projection_energy
ventral,subj01,0,0.1521493941545486,0.6790386438369751,0.3209614157676697
ventral,subj01,1,0.1219308394938707,0.7152957916259766,0.2847040593624115
ventral,subj01,2,0.1773083433508873,0.735608696937561,0.2643913030624389
ventral,subj01,3,0.1341366618871688,0.663568377494812,0.336431622505188
ventral,subj01,4,0.0560633968561887,0.676375687122345,0.3236243426799774
ventral,subj01,5,0.0738672595471143,0.6574599742889404,0.3425400853157043
ventral,subj02,0,0.0707109458744525,0.7000216245651245,0.2999783754348755
ventral,subj02,1,0.2052012011408805,0.6188762187957764,0.3811238408088684
ventral,subj02,2,0.0919428393244743,0.6457799673080444,0.3542199730873108
ventral,subj02,3,0.0263548754155635,0.6236456036567688,0.3763543963432312
ventral,subj02,4,0.1567470803856849,0.7783133387565613,0.2216867506504058
ventral,subj02,5,0.1807034984230995,0.5816434025764465,0.4183565974235534
ventral,subj03,0,0.3396361693739891,0.5338418483734131,0.4661580920219421
ventral,subj03,1,0.1414483040571212,0.6443009972572327,0.3556990027427673
ventral,subj03,2,-0.0484030712395906,0.5780100226402283,0.4219898581504822
ventral,subj03,3,-0.0680481549352407,0.519188404083252,0.4808116853237152
ventral,subj03,4,0.0931198881007731,0.6520153284072876,0.3479846715927124
ventral,subj03,5,0.2367719486355781,0.7388246655464172,0.2611753046512604
ventral,subj04,0,0.1604036949574947,0.6712996959686279,0.3287002444267273
ventral,subj04,1,0.2418262585997581,0.7348707318305969,0.2651292979717254
ventral,subj04,2,0.1712799593806266,0.7339333295822144,0.2660665810108185
ventral,subj04,3,0.1805461645126342,0.7312179803848267,0.2687819898128509
ventral,subj04,4,0.0858829747885465,0.5710879564285278,0.4289120435714721
ventral,subj04,5,0.1758036212995648,0.5832058191299438,0.4167941212654114
ventral,subj05,0,0.1869420930743217,0.9686460494995116,0.0313538536429405
ventral,subj05,1,0.0888397321105003,0.8581002950668335,0.1418996602296829
ventral,subj05,2,0.2615827247500419,0.969956874847412,0.0300431437790393
ventral,subj05,3,0.3206612020730972,0.8122246861457825,0.1877753734588623
ventral,subj05,4,0.1769674271345138,0.9803695678710938,0.0196304321289062
ventral,subj05,5,0.3092104941606521,0.9336110949516296,0.0663888975977897
ventral,subj06,0,0.0892865508794784,0.8447976112365723,0.1552024483680725
ventral,subj06,1,0.2226070687174797,0.8997125625610352,0.1002873703837394
ventral,subj06,2,0.025649219751358,0.8424884080886841,0.1575116366147995
ventral,subj06,3,0.0800349712371826,0.9520708918571472,0.0479291565716266
ventral,subj06,4,0.2925372570753097,0.8266719579696655,0.1733280420303344
ventral,subj06,5,0.1860768049955368,0.8095502853393555,0.1904497295618057
ventral,subj07,0,0.0921066557057201,0.8922255635261536,0.1077745035290718
ventral,subj07,1,0.2494460493326187,0.8188050985336304,0.1811948120594024
ventral,subj07,2,0.2549363598227501,0.7426669597625732,0.2573330104351043
ventral,subj07,3,0.0547585077583789,0.8781691789627075,0.1218307465314865
ventral,subj07,4,0.0978927444666624,0.8488668203353882,0.1511332094669342
ventral,subj07,5,-0.0177272893488407,0.8705282211303711,0.1294717937707901
ventral,subj08,0,0.0496941525489091,0.8766422271728516,0.1233578249812126
ventral,subj08,1,0.0116053074598312,0.902634859085083,0.0973651483654975
ventral,subj08,2,0.2643313929438591,0.8196136355400085,0.1803862452507019
ventral,subj08,3,0.07201685057953,0.8008501529693604,0.199149876832962
ventral,subj08,4,0.2968983128666878,0.865384578704834,0.1346154510974884
ventral,subj08,5,-0.0034764893352985,0.9057720899581908,0.0942278876900672
lateral,subj01,0,0.1258981861174106,0.5457141995429993,0.4542857408523559
lateral,subj01,1,0.0820693746209144,0.5284065008163452,0.4715934693813324
lateral,subj01,2,-0.0139591693878173,0.5840370655059814,0.4159629344940185
lateral,subj01,3,0.0824100337922573,0.5193130970001221,0.4806870222091675
lateral,subj01,4,0.0924909077584743,0.5999447107315063,0.4000553488731384
lateral,subj01,5,-0.0347494571469724,0.6153603792190552,0.3846396207809448
lateral,subj02,0,0.2162946015596389,0.6887078881263733,0.3112921118736267
lateral,subj02,1,0.3306857645511627,0.5859202742576599,0.4140797853469848
lateral,subj02,2,0.3167415559291839,0.6674171686172485,0.3325828909873962
lateral,subj02,3,0.1427140976302325,0.6407749652862549,0.3592250347137451
lateral,subj02,4,0.1236140802502632,0.9047316908836364,0.0952682346105575
lateral,subj02,5,0.0184564590454101,0.7752252817153931,0.2247747927904129
lateral,subj03,0,0.3104021102190017,0.4876298904418945,0.5123699903488159
lateral,subj03,1,0.0574011839926242,0.4539045989513397,0.5460954308509827
lateral,subj03,2,0.1956183016300201,0.3810210227966308,0.6189789772033691
lateral,subj03,3,0.1722639054059982,0.5134720206260681,0.4865279495716095
lateral,subj03,4,0.1888896226882934,0.6094905138015747,0.3905095160007477
lateral,subj03,5,0.1901694498956203,0.5727213621139526,0.4272787570953369
lateral,subj04,0,0.3052403926849365,0.4562743306159973,0.5437257289886475
lateral,subj04,1,0.2752526700496673,0.7380855083465576,0.2619145512580871
lateral,subj04,2,0.3589020818471908,0.653644323348999,0.3463557064533233
lateral,subj04,3,0.2531548328697681,0.5344141721725464,0.4655857682228088
lateral,subj04,4,0.1244223527610302,0.574974775314331,0.4250251650810241
lateral,subj04,5,0.253374882042408,0.7102883458137512,0.2897116243839264
lateral,subj05,0,0.1327638328075409,0.9187343120574952,0.0812656283378601
lateral,subj05,1,0.3643572628498077,0.728522002696991,0.2714779675006866
lateral,subj05,2,0.3670819401741028,0.8726781606674194,0.1273218393325805
lateral,subj05,3,0.3188099041581154,0.5168572664260864,0.483142614364624
lateral,subj05,4,0.3077759146690368,0.9680371284484864,0.0319628380239009
lateral,subj05,5,0.3121572285890579,0.8651554584503174,0.1348444819450378
lateral,subj06,0,-0.0030069127678871,0.664165735244751,0.3358343839645386
lateral,subj06,1,0.1130937002599239,0.7798078060150146,0.2201921194791793
lateral,subj06,2,-0.0252439528703689,0.6689804792404175,0.3310194611549377
lateral,subj06,3,0.1652011638507247,0.8368403911590576,0.1631595939397812
lateral,subj06,4,-0.0264772400259971,0.9108343124389648,0.0891655683517456
lateral,subj06,5,0.0576488019432872,0.7568024396896362,0.2431975305080413
lateral,subj07,0,0.0162321366369724,0.7329135537147522,0.2670863568782806
lateral,subj07,1,0.2367432340979576,0.6715908646583557,0.3284091353416443
lateral,subj07,2,0.1185997389256954,0.8304021954536438,0.1695977002382278
lateral,subj07,3,-0.0090957358479499,0.7944566011428833,0.2055433988571167
lateral,subj07,4,0.0905425418168306,0.7726612091064453,0.2273387610912323
lateral,subj07,5,0.1350201442837715,0.7254762649536133,0.2745236754417419
lateral,subj08,0,0.1365725509822368,0.8166505098342896,0.1833494752645492
lateral,subj08,1,0.0797922387719154,0.9451911449432372,0.0548090189695358
