ROI,target_subject,identity_fold,vision_contrast_retention,imagery_contrast_retention,cross_state_retention_gap
ventral,subj01,0,0.5187540054321289,0.0799072235822677,0.4388467818498611
ventral,subj01,1,0.5043226480484009,0.000680276483763,0.5036423715646379
ventral,subj01,2,0.4884906113147735,0.0105235436931252,0.4779670676216483
ventral,subj01,3,0.2175249755382537,0.0229273289442062,0.1945976465940475
ventral,subj01,4,0.645995557308197,0.1730308979749679,0.472964659333229
ventral,subj01,5,0.6261807680130005,0.3454755246639251,0.2807052433490753
ventral,subj02,0,0.5644822716712952,0.1977081596851349,0.3667741119861603
ventral,subj02,1,0.4886807799339294,0.2321021854877472,0.2565785944461822
ventral,subj02,2,0.4431034922599792,0.0033552323002368,0.4397482599597424
ventral,subj02,3,0.5538437962532043,0.1498227417469024,0.4040210545063019
ventral,subj02,4,0.6380758881568909,0.1135148853063583,0.5245610028505325
ventral,subj02,5,0.7492484450340271,0.1001216322183609,0.6491268128156662
ventral,subj03,0,0.7502468228340149,0.1408137679100036,0.6094330549240112
ventral,subj03,1,0.8080522418022156,0.2813188731670379,0.5267333686351776
ventral,subj03,2,0.5467206239700317,0.1258778274059295,0.4208427965641022
ventral,subj03,3,0.5425940155982971,0.0174014195799827,0.5251925960183144
ventral,subj03,4,0.8067224621772766,0.1173635870218277,0.6893588751554489
ventral,subj03,5,0.5936330556869507,0.0341813154518604,0.5594517402350903
ventral,subj04,0,0.6191526651382446,0.0445356741547584,0.5746169909834862
ventral,subj04,1,0.704221248626709,0.0052684205584228,0.6989528280682862
ventral,subj04,2,0.7420908808708191,0.0636602640151977,0.6784306168556213
ventral,subj04,3,0.6662058234214783,0.018694132566452,0.6475116908550262
ventral,subj04,4,0.6940785050392151,0.2353589832782745,0.4587195217609405
ventral,subj04,5,0.7039056420326233,0.0073554497212171,0.6965501923114061
ventral,subj05,0,0.3502527177333832,0.0268261842429637,0.3234265334904194
ventral,subj05,1,0.427022248506546,0.1851273775100708,0.2418948709964752
ventral,subj05,2,0.312150627374649,0.0333929657936096,0.2787576615810394
ventral,subj05,3,0.5676158666610718,0.0139369340613484,0.5536789325997233
ventral,subj05,4,0.6657148003578186,0.0620910488069057,0.6036237515509129
ventral,subj05,5,0.5356994867324829,0.0258212760090827,0.5098782107234001
ventral,subj06,0,0.5977094173431396,0.2156199514865875,0.3820894658565521
ventral,subj06,1,0.6541813611984253,0.1987236738204956,0.4554576873779297
ventral,subj06,2,0.5206890106201172,0.2201136797666549,0.3005753308534622
ventral,subj06,3,0.5639278292655945,0.0879345163702964,0.475993312895298
ventral,subj06,4,0.6103591322898865,0.167641595005989,0.4427175372838974
ventral,subj06,5,0.4323543906211853,0.1858605593442917,0.2464938312768936
ventral,subj07,0,0.3680115640163421,0.0927719101309776,0.2752396538853645
ventral,subj07,1,0.4564883708953857,0.073981799185276,0.3825065717101097
ventral,subj07,2,0.1105248406529426,0.0509643033146858,0.0595605373382568
ventral,subj07,3,0.284413993358612,0.1092918440699577,0.1751221492886543
ventral,subj07,4,0.4728168845176697,0.0632629096508026,0.409553974866867
ventral,subj07,5,0.513405442237854,0.0376337654888629,0.475771676748991
ventral,subj08,0,0.378460943698883,0.1063726767897605,0.2720882669091224
ventral,subj08,1,0.5739967823028564,0.07724629342556,0.4967504888772964
ventral,subj08,2,0.4099538624286651,0.1703657209873199,0.2395881414413452
ventral,subj08,3,0.4826498031616211,0.1991546303033828,0.2834951728582382
ventral,subj08,4,0.7340994477272034,0.1796078085899353,0.5544916391372681
