ROI,target_subject,identity_fold,shared_contrast_capture,shared_contrast_cosine
ventral,subj01,0,0.3169654106868086,0.5981461779943079
ventral,subj01,1,-131.89503118754354,0.7442976554427442
ventral,subj01,2,-3.3369348793133966,-0.5468445360632662
ventral,subj01,3,-0.0224829428961825,0.2164050540911425
ventral,subj01,4,-1.14267625489425,-0.9573541962697464
ventral,subj01,5,-0.625410820332007,-0.8685704097332104
ventral,subj02,0,0.2185349370719171,0.4686881200030341
ventral,subj02,1,0.4204888290786995,0.6758089161837225
ventral,subj02,2,-10.102902063226765,-0.4558859955515404
ventral,subj02,3,0.4738210342043697,0.9296813029048748
ventral,subj02,4,0.0619448821726096,0.3827925724598349
ventral,subj02,5,0.1066554156837085,0.4559060450298116
ventral,subj03,0,-0.2044587836626947,0.012690540473898
ventral,subj03,1,-1.4134439182892864,-0.9941723160413296
ventral,subj03,2,-1.2698573827619968,-0.9859378600841204
ventral,subj03,3,0.9103998676053228,0.9998872418860568
ventral,subj03,4,-1.3427320937476763,0.0082057838763519
ventral,subj03,5,-3.0182219280283853,-0.5867155403349573
ventral,subj04,0,0.0596225168069218,0.2738524302951019
ventral,subj04,1,-7.56122603610172,0.6362113683636226
ventral,subj04,2,0.5768599511075754,0.7747795635487988
ventral,subj04,3,-0.521918847849471,0.1320705906308555
ventral,subj04,4,0.3506116268743803,0.9999920175527056
ventral,subj04,5,0.9572927435666098,0.9999972054200664
ventral,subj05,0,-1.617580858745573,-0.5376596743377532
ventral,subj05,1,-0.7158294099116227,-0.9562158508458468
ventral,subj05,2,-2.6051954652509157,-0.9333456290461942
ventral,subj05,3,-5.799185596749301,-0.6822184422551835
ventral,subj05,4,-0.8414470089684913,0.0447438126516466
ventral,subj05,5,-1.7744759568081587,-0.5225251693720254
ventral,subj06,0,0.2327892483906517,0.7227007417063812
ventral,subj06,1,0.4762571937877594,0.8852322941962698
ventral,subj06,2,0.3095105346792971,0.6891401296273156
ventral,subj06,3,0.1366930939313859,0.3697216057145452
ventral,subj06,4,0.1727728139534451,0.4795590506020354
ventral,subj06,5,0.2517225473173201,0.9697430703306034
ventral,subj07,0,-1.135665077922508,-0.9676148454875452
ventral,subj07,1,-0.0251133154192428,0.3109602369195478
ventral,subj07,2,0.5321792118529406,0.7460871232150839
ventral,subj07,3,-0.0568239299992414,0.0712189042128546
ventral,subj07,4,-1.4871086241737248,-0.9995762606452944
ventral,subj07,5,-1.3884428956808792,-0.6908025165514617
ventral,subj08,0,0.0910617292486256,0.693018173636623
ventral,subj08,1,0.4313566683151321,0.9209595125991136
ventral,subj08,2,-0.1041900709405796,-0.2029198591555385
ventral,subj08,3,0.0216627918516562,0.1580828219308283
ventral,subj08,4,0.1521723680225575,0.999290373550801
ventral,subj08,5,0.152644665023473,0.9277098966576732
lateral,subj01,0,-2.602290542521684,0.8165698097920187
lateral,subj01,1,-4.968560221539136,-0.8113690282150309
lateral,subj01,2,0.1562617836005352,0.4952463619922246
lateral,subj01,3,-1.031525745644259,-0.98692936090469
lateral,subj01,4,-1.9249398143033545,-0.7779186801740152
lateral,subj01,5,-3.16823007350848,-0.9786535627935136
lateral,subj02,0,0.3819131017492523,0.903295922440015
lateral,subj02,1,0.228680033600541,0.961666081431868
lateral,subj02,2,-0.3828698608731629,-0.9407997265493976
lateral,subj02,3,0.4137268963939071,0.9572044822292612
lateral,subj02,4,0.3884501657599724,0.6403502159511182
lateral,subj02,5,-6.816101296666978,-0.4677749115808785
lateral,subj03,0,0.0964108789270565,0.684614396752287
lateral,subj03,1,0.2947792670484068,0.6288364696728094
lateral,subj03,2,0.0206729886332139,0.14386349464981
lateral,subj03,3,0.3183150358023867,0.6251298834014464
lateral,subj03,4,0.2416315908570939,0.952081915612953
lateral,subj03,5,0.3570400431267707,0.9018099419735696
lateral,subj04,0,-2.322026264739352,-0.3978311172435821
lateral,subj04,1,-3.2228602113930016,-0.8482716282856916
lateral,subj04,2,-0.188439243319813,-0.1078124064140197
lateral,subj04,3,-2.100864839264492,-0.9743220977348804
lateral,subj04,4,0.5111051484423803,0.7604511813158544
lateral,subj04,5,-3.266268526462428,-0.9961821035391676
lateral,subj05,0,0.7368189986034885,0.9940849522227851
lateral,subj05,1,-2.610316055561316,-0.8598072536683604
lateral,subj05,2,-0.4587736548011185,-0.0825119969742606
lateral,subj05,3,-18.53527665840952,0.2856573964482928
lateral,subj05,4,0.3543428463230922,0.8882260491569609
lateral,subj05,5,-10.454768268391666,-0.9992197720628128
lateral,subj06,0,0.1860095952980436,0.7900835919145655
lateral,subj06,1,0.5203777677189254,0.9995542193973176
lateral,subj06,2,0.0627659513623731,0.9238344452978275
lateral,subj06,3,-0.7674223330234653,-0.2287814514485844
lateral,subj06,4,0.1119364483459433,0.936506479645372
lateral,subj06,5,0.3704915159909751,0.9135332801267136
lateral,subj07,0,-0.923336901150863,-0.4891141683292433
lateral,subj07,1,-1.8380638530870748,-0.1221351954008655
lateral,subj07,2,-0.1668812628665921,-0.0146818541957978
lateral,subj07,3,-0.3403861241128134,0.0336928473943036
lateral,subj07,4,0.9440743766155918,0.9885303682546688
lateral,subj07,5,0.0877111550408127,0.6735245698641128
lateral,subj08,0,0.2257024814920786,0.695187594459404
lateral,subj08,1,0.4403055999433191,0.9999915949306925
lateral,subj08,2,-0.0331089805354993,-0.9006207608703892
lateral,subj08,3,0.4868788679891487,0.988099022306525
lateral,subj08,4,0.481523670998739,0.947135458385189
lateral,subj08,5,0.0672291886297775,0.9528247036599924
parietal,subj01,0,0.0736622573794307,0.9705867528454808
parietal,subj01,1,0.0694191032557915,0.2643394086775217
parietal,subj01,2,0.3492725224328757,0.855722955960903
parietal,subj01,3,-0.4622403773766859,-0.7877284014197238
parietal,subj01,4,-1.2058705057732335,-0.9945861687818102
parietal,subj01,5,0.2470187434248011,0.5652884898558446
parietal,subj02,0,0.0990397650948948,0.9176296855016846
parietal,subj02,1,0.3714517322893357,0.6722662592725489
parietal,subj02,2,-0.7526237109640503,-0.9011180595354482
parietal,subj02,3,0.1071226722133752,0.9606853954424251
parietal,subj02,4,0.2018074033309865,0.8464352003043158
parietal,subj02,5,0.1959578219295095,0.5926914117467628
parietal,subj03,0,0.0081075133679791,0.9771984833213292
parietal,subj03,1,0.0547874367979774,0.2411862418574739
parietal,subj03,2,0.2937126313316242,0.744533556055914
parietal,subj03,3,0.0315053530927537,0.9703837264550348
parietal,subj03,4,0.0773953007962279,0.916203226357556
parietal,subj03,5,0.0242624489724807,0.9981874856730696
parietal,subj04,0,0.3099259280820111,0.9955677889560176
parietal,subj04,1,-5.564062167472272,-0.5498088970401155
parietal,subj04,2,0.0696242584098058,0.9626938450634556
parietal,subj04,3,-0.1327948272206041,-0.961124992144104
parietal,subj04,4,0.1065193891257337,0.9428907703181622
parietal,subj04,5,-1.4315069161929057,-0.5688438379533983
parietal,subj05,0,-4.840791327748568,0.3170509748662588
parietal,subj05,1,-0.0648917516719478,-0.2848422779208189
parietal,subj05,2,-0.4895353073097834,-0.1885962139559242
parietal,subj05,3,-3.463313816707804,0.3317163357827077
parietal,subj05,4,0.7118345021369568,0.846153479695055
parietal,subj05,5,-2.99929597683748,-0.9991764397658364
parietal,subj06,0,0.1229094483998702,0.5597012120794129
parietal,subj06,1,-0.2529239648635015,-0.3090250188046482
parietal,subj06,2,0.4510961670339866,0.786601974295991
parietal,subj06,3,-0.0640348595914472,-0.8441490976838717
parietal,subj06,4,-0.0125943937121306,0.2658545460460599
parietal,subj06,5,0.4249533879940261,0.9914063792680446
parietal,subj07,0,-0.1461274114384827,-0.35282381372737
parietal,subj07,1,-0.0592834890799889,0.0275364665044125
parietal,subj07,2,-49.89843962215449,-0.4958858226350803
parietal,subj07,3,-0.0014547631090677,0.0026168416006236
parietal,subj07,4,-0.1328378124394074,0.2418290630875087
parietal,subj07,5,-0.6400192787703707,-0.2804359066937058
parietal,subj08,0,0.1508775581165498,0.9716150588422072
parietal,subj08,1,0.1129430581609333,0.5544422299727154
parietal,subj08,2,0.0602937973281496,0.8926394283007751
parietal,subj08,3,0.2962059232173546,0.9019096186725842
parietal,subj08,4,0.0707293044601039,0.774462206344304
parietal,subj08,5,0.0344414477529559,0.5612328702762982
