ROI,target_subject,selected_margin,vision_contrast_retention,K,G_shared
lateral,subj01,1.0809568527420716,0.5345188975334167,2.0,0.0052302372495887
lateral,subj02,1.1269286613778344,0.6506465375423431,2.0,0.0044901547850971
lateral,subj03,1.1526828734204173,0.35255445539951324,2.5,-0.0070517419949936
lateral,subj04,1.0580964532730701,0.567389965057373,2.5,0.0047568958531934
lateral,subj05,1.115841692313552,0.45576827228069305,2.0,0.0036075745720261
lateral,subj06,1.178139798200157,0.4636774808168411,2.0,-0.0017037437192916
lateral,subj07,1.1590531501187278,0.2455427050590515,2.0,0.0006427835671054
lateral,subj08,1.0724355523125269,0.5078345537185669,2.0,0.0039530759703827
parietal,subj01,1.231114386727235,0.31623753905296326,2.0,-0.0047783214090721
parietal,subj02,1.099517663228991,0.7429674565792084,2.0,0.0006463758100662
parietal,subj03,1.199677787481674,0.5337697565555573,2.0,-0.0146698715446559
parietal,subj04,1.145898707833008,0.534231960773468,2.0,0.0031101748631135
parietal,subj05,1.154418806735027,0.6940978467464447,2.0,-0.0035962908740474
parietal,subj06,1.2021432203972446,0.46984417736530304,2.0,0.0019782426649882
parietal,subj07,1.3237530581786165,0.42225438356399536,2.0,-0.0122454314114481
parietal,subj08,1.1317865476078752,0.47582653164863586,2.0,-0.0044429562825856
ventral,subj01,1.561449832781883,0.5115383267402649,2.0,0.0070142081509267
ventral,subj02,1.5699082542711817,0.5591630339622498,2.0,0.0244464347322852
ventral,subj03,1.5638021668286197,0.6719399392604828,2.0,-0.000877026776485
ventral,subj04,1.5460745990010243,0.6989920735359192,2.0,0.0219823999733555
ventral,subj05,1.5643685617484153,0.48136086761951447,2.0,0.0049247203538808
ventral,subj06,1.5766865568235517,0.5808186233043671,2.0,0.0277228357073334
ventral,subj07,1.6118692426825874,0.4122499674558639,2.0,0.0173527023540773
ventral,subj08,1.5758352970305298,0.4463018327951431,2.0,0.0137921834819219
