subject,ROI,G_native_O1,R_vis,R_img,C_T_shared_capture,oracle_r,G_shared
subj01,ventral,0.055776398283117534,0.5115383267402649,0.05141727626323695,-0.8840435376131285,0.12803375069051975,0.0070142081509267
subj01,lateral,0.07235617121607141,0.5345188975334167,0.1228980720043182,-2.263615178412519,0.08223970420658586,0.0052302372495887
subj01,parietal,0.008446045871274621,0.31623753905296326,0.12379457429051395,0.0715406803176111,0.12850722670555115,-0.0047783214090721
subj02,ventral,0.10488995656355249,0.5591630339622498,0.13166881352663035,0.1625951763778128,0.1243449598550796,0.0244464347322852
subj02,lateral,0.10895804296157952,0.6506465375423431,0.31870982050895685,0.30529656767489666,0.1795043495949357,0.0044901547850971
subj02,parietal,0.03751444648214286,0.7429674565792084,0.3785145878791809,0.15154024707144234,0.16040664631873364,0.0006463758100662
subj03,ventral,0.07435451067591403,0.6719399392604828,0.1216207072138786,-1.3062947382548367,0.11728409607894714,-0.000877026776485
subj03,lateral,0.15090562835844856,0.35255445539951324,0.2638171911239624,0.26820542895275035,0.18952953629195685,-0.0070517419949936
subj03,parietal,0.0759833628930825,0.5337697565555573,0.6666247248649597,0.043146394945365554,0.1536146085709333,-0.0146698715446559
subj04,ventral,0.1496531307909743,0.6989920735359192,0.0316149033606052,0.20511707184065106,0.1735417903400957,0.0219823999733555
subj04,lateral,0.015191069528655232,0.567389965057373,0.1501817665994167,-2.211445552001922,0.2643137760460377,0.0047568958531934
subj04,parietal,0.04682006663306393,0.534231960773468,0.2604597508907318,-0.03158528440539915,-0.019063885323703296,0.0031101748631135
subj05,ventral,0.03744407877183176,0.48136086761951447,0.03010957501828665,-1.6960284077768657,0.2242624089121818,0.0049247203538808
subj05,lateral,0.06638293895499392,0.45576827228069305,0.0589019060134887,-1.5345448551812173,0.31548356637358665,0.0036075745720261
subj05,parietal,0.036641509529734884,0.6940978467464447,0.067882920615375,-1.7444156420736316,0.3843595460057258,-0.0035962908740474
subj06,ventral,0.10762798057087886,0.5808186233043671,0.19229211658239365,0.24225589785398588,0.1376816779375076,0.0277228357073334
subj06,lateral,0.016317066397045443,0.4636774808168411,0.3222256153821945,0.14897302182199346,0.027320944587700048,-0.0017037437192916
subj06,parietal,0.09899354854438791,0.46984417736530304,0.14322925359010696,0.0551575273438698,0.1516027087345719,0.0019782426649882
subj07,ventral,0.07562288326342692,0.4122499674558639,0.0686223544180393,-0.5962445039608747,0.09499970008619125,0.0173527023540773
subj07,lateral,0.10319246489758149,0.2455427050590515,0.046688564121723106,-0.25363369348970277,0.104571140371263,0.0006427835671054
subj07,parietal,0.017256495099658653,0.42225438356399536,0.1585627421736717,-0.13948261193894507,0.20711374841630456,-0.0122454314114481
subj08,ventral,0.06164074581350387,0.4463018327951431,0.1383691988885402,0.12161704863559156,0.06085550156421955,0.0137921834819219
subj08,lateral,0.2079326992058717,0.5078345537185669,0.1267088577151298,0.33300404071769885,0.11696346476674074,0.0039530759703827
subj08,parietal,0.03550786633598213,0.47582653164863586,0.15120050311088554,0.0918361813105186,0.3453559428453445,-0.0044429562825856
