subject,roi,fold,di,dj,SIM
subj01,ventral,0,0,1,0.18124520381548093
subj01,ventral,0,0,2,0.2004931020283356
subj01,ventral,0,0,3,0.2691375779221208
subj01,ventral,0,0,4,0.16724173506001716
subj01,ventral,0,0,5,0.021640009127179814
subj01,ventral,0,0,6,0.2564015145274486
subj01,ventral,0,1,2,0.29665415251984834
subj01,ventral,0,1,3,0.24314828863360038
subj01,ventral,0,1,4,0.24410008655097276
subj01,ventral,0,1,5,0.060755077185041875
subj01,ventral,0,1,6,0.2598943793905934
subj01,ventral,0,2,3,0.28529181834491746
subj01,ventral,0,2,4,0.284311835588403
subj01,ventral,0,2,5,0.08864618678819933
subj01,ventral,0,2,6,0.30041438790873964
subj01,ventral,0,3,4,0.2250124443449839
subj01,ventral,0,3,5,0.05704818901304682
subj01,ventral,0,3,6,0.30594443451247144
subj01,ventral,0,4,5,0.07809127250995637
subj01,ventral,0,4,6,0.26571770241819126
subj01,ventral,0,5,6,0.058411683632472795
subj01,ventral,1,0,1,0.12205003032673781
subj01,ventral,1,0,2,0.20235672313433295
subj01,ventral,1,0,3,0.3008828367247572
subj01,ventral,1,0,4,0.22891094065605233
subj01,ventral,1,0,5,0.1534422668939007
subj01,ventral,1,0,6,0.27470616874375753
subj01,ventral,1,1,2,0.1780777626722054
subj01,ventral,1,1,3,0.16324766787800898
subj01,ventral,1,1,4,0.15375930059448734
subj01,ventral,1,1,5,0.13637149997339765
subj01,ventral,1,1,6,0.19295597558044295
subj01,ventral,1,2,3,0.3200395907985915
subj01,ventral,1,2,4,0.2735851828019886
subj01,ventral,1,2,5,0.272351144871758
subj01,ventral,1,2,6,0.36265382731529916
subj01,ventral,1,3,4,0.28432786337487564
subj01,ventral,1,3,5,0.2250316192098013
subj01,ventral,1,3,6,0.40625298903672524
subj01,ventral,1,4,5,0.23790021636935216
subj01,ventral,1,4,6,0.309758074407791
subj01,ventral,1,5,6,0.2579772045056121
subj01,ventral,2,0,1,0.173090677878263
