subject,roi,OUTSIDE_TRANSFER_RECOVERY,E_OUT
subj01,ventral,0.004159812534208093,-0.00406195962402995
subj02,ventral,0.010429405156623406,-0.0003831568115507782
subj03,ventral,0.008691855873281484,-0.0019436891227839262
subj04,ventral,0.007475327294684988,-0.0019031826519097159
subj05,ventral,0.015617974153700323,0.002010583210604383
subj06,ventral,0.008547312278112871,-0.0018271402005491297
subj07,ventral,0.016225009641992805,-0.0031631259106510794
subj08,ventral,0.01632448245652376,-0.002819107351749855
subj01,lateral,0.008061740558887245,-0.0012171010437042721
subj02,lateral,0.004738700335620467,-0.00199364828154412
subj03,lateral,0.012725140416199272,0.0010629174914849628
subj04,lateral,0.006127140743258842,-0.002903006813691917
subj05,lateral,0.01616290932198836,0.0005018380389248435
subj06,lateral,0.01653840370493539,0.002646833132693338
subj07,lateral,0.010581477308812816,-0.006174968950985006
subj08,lateral,0.01659622689688243,-0.0003722288867075117
