subject,roi,fold,di,dj,SIM
subj01,ventral,0,0,1,0.3457625955101295
subj01,ventral,0,0,2,0.36004496432592853
subj01,ventral,0,0,3,0.3091537844035144
subj01,ventral,0,0,4,0.31948374182198935
subj01,ventral,0,0,5,0.3185837038446394
subj01,ventral,0,0,6,0.32121790282909696
subj01,ventral,0,1,2,0.3795000072142531
subj01,ventral,0,1,3,0.3540834455547641
subj01,ventral,0,1,4,0.3341250712368997
subj01,ventral,0,1,5,0.33663404312298506
subj01,ventral,0,1,6,0.3561278557049253
subj01,ventral,0,2,3,0.37963240992632613
subj01,ventral,0,2,4,0.3255640599776733
subj01,ventral,0,2,5,0.3175459806239487
subj01,ventral,0,2,6,0.3358163668122514
subj01,ventral,0,3,4,0.3311746149168265
subj01,ventral,0,3,5,0.32229173576147685
subj01,ventral,0,3,6,0.325453900648246
subj01,ventral,0,4,5,0.2843246601046296
subj01,ventral,0,4,6,0.27587575224694844
subj01,ventral,0,5,6,0.3031964930289548
subj01,ventral,1,0,1,0.3902100023717611
subj01,ventral,1,0,2,0.38367590048097444
subj01,ventral,1,0,3,0.38876459608676006
subj01,ventral,1,0,4,0.32041794572094173
subj01,ventral,1,0,5,0.3502508647530429
subj01,ventral,1,0,6,0.38276561904185485
subj01,ventral,1,1,2,0.3971094888929376
subj01,ventral,1,1,3,0.4109660040402847
subj01,ventral,1,1,4,0.3635421213950423
subj01,ventral,1,1,5,0.3501535082729959
subj01,ventral,1,1,6,0.3660514076963069
subj01,ventral,1,2,3,0.3980010908180551
subj01,ventral,1,2,4,0.3558632099310309
subj01,ventral,1,2,5,0.3304538108749448
subj01,ventral,1,2,6,0.36461847618303217
subj01,ventral,1,3,4,0.36602706166835847
subj01,ventral,1,3,5,0.3531722441936296
subj01,ventral,1,3,6,0.3551311882732377
subj01,ventral,1,4,5,0.3141622820252745
subj01,ventral,1,4,6,0.30209863831062617
subj01,ventral,1,5,6,0.2973066375655979
subj01,ventral,2,0,1,0.41412120395241786
subj01,ventral,2,0,2,0.4282963014418548
subj01,ventral,2,0,3,0.42444294805665983
subj01,ventral,2,0,4,0.32065561017084393
subj01,ventral,2,0,5,0.3461483849294427
subj01,ventral,2,0,6,0.38853201869027787
subj01,ventral,2,1,2,0.36968503500881494
subj01,ventral,2,1,3,0.38104876303300816
subj01,ventral,2,1,4,0.31235866699625214
subj01,ventral,2,1,5,0.31474226304714265
subj01,ventral,2,1,6,0.3750212299091193
subj01,ventral,2,2,3,0.4091754177343459
subj01,ventral,2,2,4,0.3364555328287118
subj01,ventral,2,2,5,0.33909603178067743
subj01,ventral,2,2,6,0.405624477414739
subj01,ventral,2,3,4,0.3056475550429727
subj01,ventral,2,3,5,0.3217353341870781
subj01,ventral,2,3,6,0.37330929936965945
subj01,ventral,2,4,5,0.2869185970495279
subj01,ventral,2,4,6,0.30036937563397403
subj01,ventral,2,5,6,0.330461858584086
subj01,ventral,3,0,1,0.3550790311157086
subj01,ventral,3,0,2,0.3547293164948737
subj01,ventral,3,0,3,0.37692412289421034
subj01,ventral,3,0,4,0.311208004489025
subj01,ventral,3,0,5,0.32769826162783094
subj01,ventral,3,0,6,0.37138708119705904
subj01,ventral,3,1,2,0.3742690207345866
subj01,ventral,3,1,3,0.3957206915412322
subj01,ventral,3,1,4,0.35342673299030397
subj01,ventral,3,1,5,0.31837224946480736
subj01,ventral,3,1,6,0.3984358546508286
subj01,ventral,3,2,3,0.41573147534052973
subj01,ventral,3,2,4,0.3388895219138741
subj01,ventral,3,2,5,0.32277549244080633
subj01,ventral,3,2,6,0.35872561251351126
subj01,ventral,3,3,4,0.35283908789254514
subj01,ventral,3,3,5,0.3242651293295384
subj01,ventral,3,3,6,0.3941586233514635
subj01,ventral,3,4,5,0.28108129790707537
subj01,ventral,3,4,6,0.292903869477228
subj01,ventral,3,5,6,0.32655881158305256
subj01,ventral,4,0,1,0.35302799719371825
subj01,ventral,4,0,2,0.387787222320971
subj01,ventral,4,0,3,0.3487198832582557
subj01,ventral,4,0,4,0.3059953428575101
subj01,ventral,4,0,5,0.3532079113254718
subj01,ventral,4,0,6,0.37544028476341146
subj01,ventral,4,1,2,0.38555640016413933
subj01,ventral,4,1,3,0.3933058068408211
subj01,ventral,4,1,4,0.31680609951820776
subj01,ventral,4,1,5,0.3364681402547544
subj01,ventral,4,1,6,0.38022954755489513
subj01,ventral,4,2,3,0.39676332457521474
subj01,ventral,4,2,4,0.3065466572060182
subj01,ventral,4,2,5,0.30916944535758933
subj01,ventral,4,2,6,0.3675307808477835
subj01,ventral,4,3,4,0.32490207761676704
subj01,ventral,4,3,5,0.34342663578304194
subj01,ventral,4,3,6,0.3550915564337716
subj01,ventral,4,4,5,0.2830558819822932
subj01,ventral,4,4,6,0.3098444473436364
subj01,ventral,4,5,6,0.3234110535619503
subj01,ventral,5,0,1,0.3671916223024662
subj01,ventral,5,0,2,0.3927369440842912
subj01,ventral,5,0,3,0.33496358019971634
subj01,ventral,5,0,4,0.30024583251714293
subj01,ventral,5,0,5,0.27736414032693407
subj01,ventral,5,0,6,0.3530919036519502
subj01,ventral,5,1,2,0.4084199127426062
subj01,ventral,5,1,3,0.3769133859268545
subj01,ventral,5,1,4,0.3769144355183731
subj01,ventral,5,1,5,0.3371946152205605
subj01,ventral,5,1,6,0.3721900581205162
subj01,ventral,5,2,3,0.4171681994003776
subj01,ventral,5,2,4,0.3749696610215576
subj01,ventral,5,2,5,0.33011287031100917
subj01,ventral,5,2,6,0.34546570175345676
subj01,ventral,5,3,4,0.3489834549325394
subj01,ventral,5,3,5,0.3235697635612783
subj01,ventral,5,3,6,0.3490142516756441
subj01,ventral,5,4,5,0.30680456994146377
subj01,ventral,5,4,6,0.3125236998013014
subj01,ventral,5,5,6,0.31864960911775353
subj02,ventral,0,0,1,0.3468226184101571
subj02,ventral,0,0,2,0.35066280498320496
subj02,ventral,0,0,3,0.30940154919270846
subj02,ventral,0,0,4,0.2793726625233995
subj02,ventral,0,0,5,0.2836860847129176
subj02,ventral,0,0,6,0.30514937549350934
subj02,ventral,0,1,2,0.3795000072142531
subj02,ventral,0,1,3,0.3540834455547641
subj02,ventral,0,1,4,0.3341250712368997
subj02,ventral,0,1,5,0.33663404312298506
subj02,ventral,0,1,6,0.3561278557049253
subj02,ventral,0,2,3,0.37963240992632613
subj02,ventral,0,2,4,0.3255640599776733
subj02,ventral,0,2,5,0.3175459806239487
subj02,ventral,0,2,6,0.3358163668122514
subj02,ventral,0,3,4,0.3311746149168265
subj02,ventral,0,3,5,0.32229173576147685
subj02,ventral,0,3,6,0.325453900648246
subj02,ventral,0,4,5,0.2843246601046296
subj02,ventral,0,4,6,0.27587575224694844
subj02,ventral,0,5,6,0.3031964930289548
subj02,ventral,1,0,1,0.40017988266611515
subj02,ventral,1,0,2,0.38084817933780063
subj02,ventral,1,0,3,0.38808521346010005
subj02,ventral,1,0,4,0.34210914201934406
subj02,ventral,1,0,5,0.3287913362408432
subj02,ventral,1,0,6,0.33683146967180905
subj02,ventral,1,1,2,0.3971094888929376
subj02,ventral,1,1,3,0.4109660040402847
subj02,ventral,1,1,4,0.3635421213950423
subj02,ventral,1,1,5,0.3501535082729959
subj02,ventral,1,1,6,0.3660514076963069
subj02,ventral,1,2,3,0.3980010908180551
subj02,ventral,1,2,4,0.3558632099310309
subj02,ventral,1,2,5,0.3304538108749448
subj02,ventral,1,2,6,0.36461847618303217
subj02,ventral,1,3,4,0.36602706166835847
subj02,ventral,1,3,5,0.3531722441936296
subj02,ventral,1,3,6,0.3551311882732377
