subject,roi,WITHIN_TRANSFER_RECOVERY,E_IN
subj01,ventral,0.16812161115164428,0.022693135445567798
subj02,ventral,0.029645452236402647,-0.008184439222128888
subj03,ventral,0.13743012595280704,0.0002006044426418642
subj04,ventral,0.4771898586219295,0.05072746851947498
subj05,ventral,0.03803647786699954,-0.013497750484974981
subj06,ventral,0.0,0.010853649177234642
subj07,ventral,0.01584180282609325,-0.003298656260569075
subj08,ventral,0.024652953543866655,0.004095354394933313
subj01,lateral,0.0,-0.020496380166603947
subj02,lateral,0.036991759752587484,-0.031119987175479553
subj03,lateral,0.12761882763281668,-0.0007622664306429725
subj04,lateral,0.0,-0.036493670408458405
subj05,lateral,0.25542013508672934,-0.0009307710976151686
subj06,lateral,0.16666666666666666,-0.01164834527659977
subj07,lateral,0.27330624829717504,0.02091790600207405
subj08,lateral,0.0,-0.004344492929216889
