subject,roi,fold,SIM_IN,SIM_IN_NULL,GR_IN,SIM_OUT,SIM_OUT_NULL,GR_OUT
subj01,ventral,0,0.4059081975059467,0.39792606717086393,0.013257724508308913,0.23383356249693332,0.24050030952456666,-0.00877781401525006
subj01,ventral,1,0.45807897367693595,0.45706904552480543,0.0018601410433610951,0.16593186494169043,0.15957319890542546,0.007565996262831491
subj01,ventral,2,0.38858304362958346,0.40157550733962566,-0.021711116221668176,0.10389928476575795,0.11115890733579979,-0.008167514564703514
subj01,ventral,3,0.4552627067923865,0.4555385724099842,-0.0005066761456707098,0.046317383394626155,0.0530924349666098,-0.007154923904050487
subj01,ventral,4,0.4391797657461351,0.43658418533458826,0.004606864670790686,0.22487229673580086,0.22886531474166386,-0.005178107122136906
subj01,ventral,5,0.44816595673102094,0.4438727121978518,0.00771989547597338,0.26978123657449177,0.27205063397725243,-0.0031175209550079455
subj02,ventral,0,0.42591851094743016,0.41616773041541977,0.016701338791958967,0.2698525193538903,0.26482325990431227,0.006840884885617384
subj02,ventral,1,0.45884266369336785,0.46435636682191295,-0.010293603409100809,0.30539688081762795,0.28392407418643373,0.029986773548905433
subj02,ventral,2,0.5075110399006447,0.495479666768357,0.023847152116193742,0.3287258179112127,0.29992728962885506,0.04113648176214443
subj02,ventral,3,0.43870797916019494,0.44211325329394996,-0.006103880678042449,0.350153475616929,0.3292243239007757,0.03120141719786712
subj02,ventral,4,0.46472310126730276,0.4452216859656587,0.035151726028780764,0.28264821791073363,0.2658597746995799,0.022868169639231647
subj02,ventral,5,0.4470566659661896,0.4272969196730061,0.034502601735442666,0.3552146154601835,0.3346926901186636,0.030845783650235544
subj03,ventral,0,0.4853907158742126,0.4802308249573282,0.009927273806609996,0.33038613457423954,0.32446814297716353,0.008760492248518714
subj03,ventral,1,0.48979009512533267,0.49578718857711995,-0.011893972774836057,0.2104277611669716,0.20628354948171065,0.005221274779620366
subj03,ventral,2,0.4684034487170569,0.4663383415563547,0.003869693705792647,0.333314026086887,0.30953080342836686,0.0344450161956685
subj03,ventral,3,0.4778781968931883,0.4667852167115628,0.020803962173015805,0.21090784548520158,0.20906695775066583,0.0023274887205375202
subj03,ventral,4,0.48691704591911417,0.47410729436024196,0.02435810845348941,0.26990702161060853,0.2595683542141305,0.013963027452054569
subj03,ventral,5,0.49453067451968097,0.4962131151902634,-0.0033395880704949897,0.15860811378553405,0.1569609147508859,0.0019538821668765474
subj04,ventral,0,0.46776395122332254,0.44568075147150255,0.03983841407355476,0.38497675833959444,0.3885982039270837,-0.0059231844112171755
subj04,ventral,1,0.44887056586318713,0.4554485862324112,-0.012079704878025559,0.39265172309596375,0.39282446607393445,-0.0002845025339768424
subj04,ventral,2,0.4789580103420777,0.4796033461118099,-0.0012400843950677001,0.4230957964665176,0.4032418690195812,0.033269638763561114
subj04,ventral,3,0.4604225903002403,0.45637375253602236,0.007447833475859215,0.4141049600660548,0.40900935592887755,0.008622140110502354
subj04,ventral,4,0.48854874945622556,0.44659639369015075,0.07580788286837761,0.36438077424743576,0.3788145903275051,-0.02323592256888199
subj04,ventral,5,0.518682326591627,0.48310035437674403,0.0688372927243542,0.407781220167296,0.3966766651253235,0.0184056448674891
subj05,ventral,0,0.4356156088790737,0.4263333857192669,0.01618051831627839,0.35015238268331694,0.36031197326165587,-0.015882102139914797
subj05,ventral,1,0.4786029389023923,0.48195435160801964,-0.006469338592130163,0.4202668402812806,0.416047891380075,0.007224820047617267
subj05,ventral,2,0.47359643506221943,0.456390369066796,0.03165151059940962,0.2678869611194118,0.23396768385989028,0.04427917275139809
subj05,ventral,3,0.5023781857213632,0.48567884683635776,0.0324686993375366,0.3740854016233226,0.3634880210383469,0.016649145554594767
subj05,ventral,4,0.4591529954262625,0.45335479141434776,0.010606887101263628,0.31234007904762373,0.3161769927324677,-0.005610974834227594
subj05,ventral,5,0.44951193299217623,0.44722084585684596,0.004144669924975039,0.44024465182663836,0.41289493777853425,0.04658402014899905
subj06,ventral,0,0.40251149530688873,0.39515664797355543,0.012159920926123925,0.30682563744218744,0.3187041291638022,-0.017435144157024657
subj06,ventral,1,0.4256361562804864,0.4250704325627737,0.000983987865216992,0.33486190913301106,0.32906936369414763,0.008633598058298863
subj06,ventral,2,0.3770386918772797,0.38476482822591274,-0.012558021230083507,0.10056205335656049,0.10968928511729599,-0.010251737520577847
subj06,ventral,3,0.4091139876890934,0.4023359462187422,0.011340888627094755,0.2516758067014059,0.26847573670987646,-0.022965649741965837
subj06,ventral,4,0.3684234799334063,0.3660676291974867,0.0037162493105333243,0.17334165219099482,0.17533257966617488,-0.0024142186608683276
