subject,roi,fold,R0,R_IN_OR,R_IN_PRED,R_IN_NULL,E_IN,R_OUT_OR,R_OUT_PRED,R_OUT_NULL,E_OUT
subj01,ventral,0,0.10882218937550564,0.1530818380056993,0.09355126928003799,0.10313842185204859,-0.009587152572010607,0.5446785017057649,0.11386846036839032,0.1146184864191693,-0.0007500260507789791
subj01,ventral,1,0.042403378362650415,0.09528766558908879,0.06606171373819228,0.057728453848432365,0.008333259889759914,0.6896990761345551,0.04340407696250237,0.044317580093740434,-0.0009135031312380651
subj01,ventral,2,0.09505444735055624,0.1367929897482263,0.050429381191437445,0.07103122566918468,-0.02060184447774724,0.5710844098496579,0.09759979235317479,0.09677903533988409,0.0008207570132906933
subj01,ventral,3,0.08144673040492087,0.12788567148023183,0.08400591158339987,0.08631141383149965,-0.0023055022480997778,0.6119784982545721,0.081934519256239,0.08269886587025303,-0.0007643466140140331
subj01,ventral,4,0.085199565668667,0.14891531586399576,0.08968642690520723,0.07994455597976019,0.009741870925447038,0.6181990388370322,0.08588298638769684,0.08638695969755139,-0.0005039733098545496
subj01,ventral,5,0.0472750728655718,0.12718521643497474,0.07766948728722656,0.07834466038070545,-0.0006751730934788924,0.5326289509635191,0.05115493495847613,0.05138613190314622,-0.00023119694467008817
subj02,ventral,0,0.18709786832809833,0.27823313537917765,0.12083649660374882,0.099574572522758,0.021261924080990813,0.625178640653757,0.19886978290059126,0.19637707307042082,0.002492709830170442
subj02,ventral,1,0.07285350826956442,0.11366793326254586,0.04360400648172667,0.046841698446875364,-0.003237691965148691,0.5210754292171451,0.07470065696303334,0.07511072810269263,-0.000410071139659296
subj02,ventral,2,0.10793941394070951,0.19468907277332048,0.06974721915231188,0.09003709900240128,-0.0202898798500894,0.5082950443090819,0.11097229279296279,0.11082931364684673,0.0001429791461160651
subj02,ventral,3,0.09842362724020332,0.2414558424662694,0.1395161392761553,0.1266139685966219,0.012902170679533392,0.5893764993748973,0.10034136206934328,0.10307904445699584,-0.002737682387652554
subj02,ventral,4,0.07471680356922494,0.21002833599164378,0.08601218719446425,0.0938207340117087,-0.007808546817244452,0.48888772975650074,0.0790699400031395,0.07853221887307921,0.0005377211300602869
subj02,ventral,5,0.12135082484129478,0.16424812204454808,0.030473636286382645,0.04342035440647218,-0.012946718120089531,0.5614420217465693,0.12509323923108479,0.12607552101523173,-0.0009822817841469433
subj03,ventral,0,0.05563350908085189,0.14166729268508882,0.07734287150182216,0.0662671515931961,0.011075719908626061,0.5466831287087957,0.05724841952661686,0.05909008172805459,-0.0018416622014377285
subj03,ventral,1,0.03328079445697759,0.12439384189407329,0.06143986011722975,0.0619788035347042,-0.000538943417474444,0.5415374820569695,0.03815512517144608,0.042036591041761176,-0.0038814658703150984
subj03,ventral,2,0.045057596078440426,0.15549170299003365,0.051342255802234615,0.05401430675596026,-0.0026720509537256423,0.5098095927037171,0.04875202651620445,0.04786505957211744,0.0008869669440870129
subj03,ventral,3,0.04488653835174137,0.12025227973971461,0.05242827869961895,0.04556488019198517,0.006863398507633775,0.5559073406472805,0.05100805299067201,0.05131408423697845,-0.0003060312463064388
subj03,ventral,4,0.0564731213194927,0.14854221437444562,0.03361204080192914,0.04635682193178356,-0.012744781129854423,0.6018363514758343,0.05882183518632068,0.059856563001726835,-0.0010347278154061584
subj03,ventral,5,0.023853698392255485,0.13487030886154477,0.060893927863906745,0.06643781590537266,-0.005543888041465918,0.5256943027001251,0.027619604294927394,0.030219529959057884,-0.0025999256641304896
subj04,ventral,0,0.03169004135716613,0.12457934510026208,0.061123597807929586,0.06814631534891227,-0.007022717540982687,0.6000198811848125,0.041625987922950566,0.0412627608890918,0.0003632270338587637
subj04,ventral,1,0.07487473703282638,0.14025278146238854,0.09721544453665988,0.0951398341341771,0.002075610402482775,0.5170247679971203,0.0779553924507338,0.0772174454256106,0.0007379470251231979
subj04,ventral,2,0.08993644627769014,0.20715030137069654,0.1429430282959475,0.1634360386886354,-0.020493010392687916,0.5955603091802139,0.09284262851802606,0.09155843591205924,0.0012841926059668218
subj04,ventral,3,0.056623822318314185,0.12446700747281923,0.09041191462094192,0.09570797034359219,-0.005296055722650267,0.5506815977804156,0.060587563775207916,0.06027120145120622,0.0003163623240016941
subj04,ventral,4,0.0910385928948324,0.22921320034050474,0.13023107297825878,0.11070160483577192,0.019529468142486864,0.4636522909440616,0.0947397705133134,0.09299729795155548,0.0017424725617579268
subj04,ventral,5,0.09262952019969077,0.16306780837257556,0.08717639174205657,0.10653148455550875,-0.01935509281345217,0.6343107360262465,0.09646214329616436,0.09569315628652637,0.0007689870096379836
subj05,ventral,0,0.034305190882839384,0.10661870554268328,0.03562921069248756,0.036727920666500775,-0.0010987099740132136,0.6517968247687436,0.04027064989814895,0.03831688879681201,0.001953761101336937
subj05,ventral,1,0.04989708230557105,0.1456456782154934,0.06229071126982612,0.06379493471264949,-0.0015042234428233742,0.5589497786846465,0.05640435856101377,0.058378777361485376,-0.0019744188004716043
subj05,ventral,2,0.08945668530965731,0.13298847648339493,0.03584488203514313,0.05443587872896738,-0.018590996693824247,0.7104640090179737,0.10416136330766167,0.10216815938042982,0.001993203927231846
subj05,ventral,3,0.05494836761930069,0.10872738879414662,0.02753323636720153,0.03509669940757724,-0.007563463040375709,0.5978846557514936,0.06272401487227627,0.06738171908917398,-0.004657704216897707
subj05,ventral,4,0.09064902591766223,0.1766669382966261,0.05818325941711888,0.07121799755185548,-0.013034738134736601,0.695910579579363,0.10307326553200503,0.09993429561424813,0.0031389699177569036
subj05,ventral,5,0.0571264037565907,0.0895066623198745,0.02345755148537941,0.036795408778598576,-0.013337857293219166,0.6572618910974055,0.061294423096180134,0.06220764665415148,-0.0009132235579713474
subj06,ventral,0,0.051041215255136586,0.19013243188390258,0.03968893121942363,0.05060366914173966,-0.01091473792231603,0.5103883428867426,0.05644269125294542,0.05382907972255568,0.002613611530389741
subj06,ventral,1,0.08332968126213525,0.23069985793892978,0.04854009018905043,0.043967849811702236,0.004572240377348193,0.39191821691559975,0.09058025829339968,0.08661436957730921,0.0039658887160904654
subj06,ventral,2,0.0879529212148983,0.18129188728536078,0.07329336522871768,0.0809874550242937,-0.007694089795576023,0.4706899854889871,0.09189187176817126,0.09150420027665365,0.0003876714915176105
subj06,ventral,3,0.022920926806815012,0.15186271062484336,0.018432842027313788,0.015531007258396172,0.002901834768917616,0.4171730869374852,0.02764548208950181,0.03021524411512987,-0.0025697620256280584
subj06,ventral,4,0.05746171939490791,0.22195488550084808,0.04760977033013035,0.04831594086211268,-0.0007061705319823322,0.573459229067519,0.058672340397086936,0.05917560121406568,-0.000503260816978747
subj06,ventral,5,0.04037001597669514,0.20117922805150912,0.0411606897036607,0.04457647713497606,-0.003415787431315362,0.5017127728093916,0.04758024528031292,0.044062092473895975,0.0035181528064169437
subj07,ventral,0,0.04909128624831283,0.2449966234318162,0.02834654943459835,0.04278974774658893,-0.014443198311990584,0.5571981106157877,0.05566597120205308,0.06548234007404898,-0.009816368871995898
subj07,ventral,1,0.04960039466467116,0.23057889254087685,0.060526591245194675,0.060957776992382966,-0.000431185747188291,0.5794887117172304,0.05907820958435632,0.057934212943681,0.0011439966406753196
subj07,ventral,2,0.029029886594618904,0.25286585870664247,0.04990924938840295,0.04557650573690974,0.0043327436514932136,0.5229570317765164,0.03863098830101451,0.0446099345319553,-0.005978946230940793
subj07,ventral,3,0.04246593698577296,0.21330423884378108,0.03254397124708405,0.03421048150376232,-0.001666510256678265,0.5922036203302903,0.055468073848300034,0.050418657459922064,0.00504941638837797
subj07,ventral,4,0.08212049288907314,0.2209198874307628,0.05608277800806283,0.05384472207310697,0.0022380559349558585,0.5567645984132708,0.08823037612539117,0.09263296902373763,-0.0044025928983464635
subj07,ventral,5,0.08552139280510399,0.28373071368557135,0.07169546364467105,0.05700416354515221,0.014691300099518842,0.5675941643428978,0.09294792226686574,0.09111899764363816,0.0018289246232275763
subj08,ventral,0,0.07772693248099158,0.20913871647014856,0.05617259292878002,0.062320717204756806,-0.006148124275976788,0.4480336340949034,0.07896225404232511,0.07961828581291422,-0.0006560317705891078
subj08,ventral,1,0.0611981838034457,0.11961319037397557,0.04425662214203766,0.049970341763624394,-0.0057137196215867325,0.3660173253370211,0.06332142458721704,0.06660959798846228,-0.003288173401245237
subj08,ventral,2,0.08242595104951156,0.11690664656836157,0.0248242900799823,0.02059217324502965,0.00423211683495265,0.3549316985455715,0.08767307807105693,0.08680455885159485,0.0008685192194620717
subj08,ventral,3,0.10113737392592892,0.16568126734548272,0.05853694291044047,0.061183625638693354,-0.002646682728252886,0.2824803734607534,0.1089133805724339,0.10898171216227409,-6.833158984019538e-05
subj08,ventral,4,0.05034875602711626,0.13027393382558294,0.0664447335626594,0.06184123798424035,0.004603495578419048,0.4009971626692456,0.0568930518659965,0.058534283264673075,-0.0016412313986765778
subj08,ventral,5,0.055102901016561324,0.15649990755066887,0.03193136575518179,0.029262853810933357,0.0026685119442484313,0.31205601784920545,0.05716610040947909,0.0584275308817451,-0.001261430472266012
subj01,lateral,0,0.12951659164603532,0.14774079683645225,0.08935337964506782,0.0915567252865547,-0.002203345641486887,0.6818913806304517,0.1383986657608859,0.13261409537387142,0.005784570387014465
