subject,roi,fold,donor,CKA_IN,CKA_OUT,w_IN,w_OUT
subj01,ventral,0,subj02,0.6611681448146876,0.23197384704827123,0.23248232762669713,0.13475096785911211
subj01,ventral,0,subj03,0.5797748868608718,0.16335561777466995,0.1073414547637203,0.10254898382406386
subj01,ventral,0,subj04,0.6236405754003097,0.22069432759799482,0.1288057754551403,0.11463076211539464
subj01,ventral,0,subj05,0.6600901410508657,0.27348986839500544,0.19834586826640685,0.16665468957228002
subj01,ventral,0,subj06,0.5598024388238337,0.22738114352957042,0.14352456224200436,0.13800089458139206
subj01,ventral,0,subj07,0.41015029079260884,0.198302549948263,0.09019231033232611,0.2103099041611182
subj01,ventral,0,subj08,0.5460437691300764,0.16473281547069393,0.0993077013137051,0.13310379788663912
subj01,ventral,1,subj02,0.6611681448146876,0.23197384704827123,0.23248232762669713,0.13475096785911211
subj01,ventral,1,subj03,0.5797748868608718,0.16335561777466995,0.1073414547637203,0.10254898382406386
subj01,ventral,1,subj04,0.6236405754003097,0.22069432759799482,0.1288057754551403,0.11463076211539464
subj01,ventral,1,subj05,0.6600901410508657,0.27348986839500544,0.19834586826640685,0.16665468957228002
subj01,ventral,1,subj06,0.5598024388238337,0.22738114352957042,0.14352456224200436,0.13800089458139206
subj01,ventral,1,subj07,0.41015029079260884,0.198302549948263,0.09019231033232611,0.2103099041611182
subj01,ventral,1,subj08,0.5460437691300764,0.16473281547069393,0.0993077013137051,0.13310379788663912
subj01,ventral,2,subj02,0.6611681448146876,0.23197384704827123,0.23248232762669713,0.13475096785911211
subj01,ventral,2,subj03,0.5797748868608718,0.16335561777466995,0.1073414547637203,0.10254898382406386
subj01,ventral,2,subj04,0.6236405754003097,0.22069432759799482,0.1288057754551403,0.11463076211539464
subj01,ventral,2,subj05,0.6600901410508657,0.27348986839500544,0.19834586826640685,0.16665468957228002
subj01,ventral,2,subj06,0.5598024388238337,0.22738114352957042,0.14352456224200436,0.13800089458139206
subj01,ventral,2,subj07,0.41015029079260884,0.198302549948263,0.09019231033232611,0.2103099041611182
subj01,ventral,2,subj08,0.5460437691300764,0.16473281547069393,0.0993077013137051,0.13310379788663912
subj01,ventral,3,subj02,0.6611681448146876,0.23197384704827123,0.23248232762669713,0.13475096785911211
subj01,ventral,3,subj03,0.5797748868608718,0.16335561777466995,0.1073414547637203,0.10254898382406386
subj01,ventral,3,subj04,0.6236405754003097,0.22069432759799482,0.1288057754551403,0.11463076211539464
subj01,ventral,3,subj05,0.6600901410508657,0.27348986839500544,0.19834586826640685,0.16665468957228002
subj01,ventral,3,subj06,0.5598024388238337,0.22738114352957042,0.14352456224200436,0.13800089458139206
subj01,ventral,3,subj07,0.41015029079260884,0.198302549948263,0.09019231033232611,0.2103099041611182
subj01,ventral,3,subj08,0.5460437691300764,0.16473281547069393,0.0993077013137051,0.13310379788663912
subj01,ventral,4,subj02,0.6611681448146876,0.23197384704827123,0.23248232762669713,0.13475096785911211
subj01,ventral,4,subj03,0.5797748868608718,0.16335561777466995,0.1073414547637203,0.10254898382406386
subj01,ventral,4,subj04,0.6236405754003097,0.22069432759799482,0.1288057754551403,0.11463076211539464
subj01,ventral,4,subj05,0.6600901410508657,0.27348986839500544,0.19834586826640685,0.16665468957228002
