subject,roi,M,T,N_TRIALS,q,R_CONTROL,R_HYBRID
subj01,ventral,2,1,2,2,0.2165542755422365,0.25094900326582414
subj02,ventral,2,1,2,2,0.24187295144174045,0.2765993540188925
subj03,ventral,2,1,2,2,0.22498486532445602,0.2512289984861397
subj04,ventral,2,1,2,2,0.23654600794264544,0.2793885790697597
subj05,ventral,2,1,2,2,0.28401492336927037,0.30291004966611695
subj06,ventral,2,1,2,2,0.18457061978463796,0.20821205386910127
subj07,ventral,2,1,2,2,0.3263889874507676,0.34723507714279106
subj08,ventral,2,1,2,2,0.17766155542421558,0.1911930940761842
subj01,ventral,2,2,4,2,0.2972468148800636,0.32659516801690713
subj02,ventral,2,2,4,2,0.32485737888509403,0.353814557816041
subj03,ventral,2,2,4,2,0.31387571870929165,0.3352840097441031
subj04,ventral,2,2,4,2,0.3170389551429067,0.3512722317108213
subj05,ventral,2,2,4,2,0.3880578339011008,0.40217349181847506
subj06,ventral,2,2,4,2,0.25981066701126504,0.2813791788985427
subj07,ventral,2,2,4,2,0.4280193389974709,0.44265657717665075
subj08,ventral,2,2,4,2,0.20899492658373695,0.21947848845597331
subj01,ventral,4,1,4,4,0.3031097583225942,0.31683792558728036
subj02,ventral,4,1,4,4,0.3360861385277796,0.3486912121537283
subj03,ventral,4,1,4,4,0.31769224869568086,0.32786239831894676
subj04,ventral,4,1,4,4,0.32435819422655054,0.34285993685535
subj05,ventral,4,1,4,4,0.38496666730293755,0.3920814563692716
subj06,ventral,4,1,4,4,0.2693237134284639,0.2792510631293692
subj07,ventral,4,1,4,4,0.44436057436042625,0.4531364715275645
subj08,ventral,4,1,4,4,0.22868699356601466,0.23601638961261248
subj01,ventral,6,1,6,6,0.36369807939415094,0.3634986615133721
subj02,ventral,6,1,6,6,0.39767611001490694,0.3944818901231774
subj03,ventral,6,1,6,6,0.3782722617427279,0.37695998269110453
subj04,ventral,6,1,6,6,0.38208730328360585,0.3830370754606964
subj05,ventral,6,1,6,6,0.44626697495318995,0.44282937733437205
subj06,ventral,6,1,6,6,0.3273084852205826,0.3248466854507508
subj07,ventral,6,1,6,6,0.5112952580998721,0.5086572656475693
subj08,ventral,6,1,6,6,0.26372774481231126,0.25906124015822535
subj01,ventral,4,2,8,4,0.4012093938401418,0.41284086784738117
subj02,ventral,4,2,8,4,0.4286166274118896,0.44022630844567895
subj03,ventral,4,2,8,4,0.41566813316346696,0.42388942206421554
subj04,ventral,4,2,8,4,0.4151268615955469,0.4295887110935759
subj05,ventral,4,2,8,4,0.4925137585808088,0.4980830512489789
subj06,ventral,4,2,8,4,0.36338070529111366,0.3720261597161281
subj07,ventral,4,2,8,4,0.5410171931363867,0.5478315228859345
subj08,ventral,4,2,8,4,0.269516438250408,0.27643397098447975
subj01,ventral,10,8,80,6,0.6495359645766007,0.6435798589616349
subj02,ventral,10,8,80,6,0.6390326292848328,0.6385996632939005
subj03,ventral,10,8,80,6,0.6412500943082424,0.6412615215740508
subj04,ventral,10,8,80,6,0.652197814633391,0.6513092943766882
subj05,ventral,10,8,80,6,0.7093398056439795,0.7062116600688723
subj06,ventral,10,8,80,6,0.6165643602368053,0.6167169157727533
subj07,ventral,10,8,80,6,0.7474621759259401,0.7470874136390298
subj08,ventral,10,8,80,6,0.4391149637006861,0.43632740578100065
subj01,lateral,2,1,2,2,0.30068036975768386,0.3366826174193165
subj02,lateral,2,1,2,2,0.248553573923285,0.29365474740049236
subj03,lateral,2,1,2,2,0.2783389437487985,0.3376184066751043
subj04,lateral,2,1,2,2,0.24780997039293928,0.2855865381904918
subj05,lateral,2,1,2,2,0.20248615942325876,0.25601738672705693
subj06,lateral,2,1,2,2,0.22223415597846183,0.25351469499421725
