subject,roi,M,T,FCF_HYB,FCF_HYB_unclipped
subj01,ventral,2,1,0.3041862827526874,0.3041862827526874
subj02,ventral,2,1,0.3143986903565295,0.3143986903565295
subj03,ventral,2,1,0.3478481183273568,0.3478481183273568
subj04,ventral,2,1,0.35655866935231884,0.35655866935231884
subj05,ventral,2,1,0.37144466252046665,0.37144466252046665
subj06,ventral,2,1,0.26999768522555545,0.26999768522555545
subj07,ventral,2,1,0.42093194674488804,0.42093194674488804
subj08,ventral,2,1,0.32591755806830797,0.32591755806830797
subj01,ventral,2,2,0.43624187957273636,0.43624187957273636
subj02,ventral,2,2,0.46046376998297156,0.46046376998297156
subj03,ventral,2,2,0.48839598608245144,0.48839598608245144
subj04,ventral,2,2,0.4806245698770752,0.4806245698770752
subj05,ventral,2,2,0.5249584382517191,0.5249584382517191
subj06,ventral,2,2,0.4007969238572233,0.4007969238572233
subj07,ventral,2,2,0.5589924186397337,0.5589924186397337
subj08,ventral,2,2,0.4028235923187558,0.4028235923187558
subj01,ventral,4,1,0.4192086502398002,0.4192086502398002
subj02,ventral,4,1,0.4507721308326631,0.4507721308326631
subj03,ventral,4,1,0.4759863552287794,0.4759863552287794
subj04,ventral,4,1,0.4661055673169904,0.4661055673169904
subj05,ventral,4,1,0.5093508144072536,0.5093508144072536
subj06,ventral,4,1,0.39699253872912194,0.39699253872912194
subj07,ventral,4,1,0.5741552400057977,0.5741552400057977
subj08,ventral,4,1,0.44778900364396623,0.44778900364396623
subj01,ventral,6,1,0.5006643506187746,0.5006643506187746
subj02,ventral,6,1,0.5373926238812531,0.5373926238812531
subj03,ventral,6,1,0.5580821243228424,0.5580821243228424
subj04,ventral,6,1,0.5354483552589171,0.5354483552589171
subj05,ventral,6,1,0.5878339375887589,0.5878339375887589
subj06,ventral,6,1,0.47850281649627513,0.47850281649627513
subj07,ventral,6,1,0.6544854279976494,0.6544854279976494
subj08,ventral,6,1,0.5104463610617477,0.5104463610617477
subj01,lateral,2,1,0.3421427707614879,0.3421427707614879
subj02,lateral,2,1,0.3220124275915896,0.3220124275915896
subj03,lateral,2,1,0.3372441578426357,0.3372441578426357
subj04,lateral,2,1,0.3083220921033877,0.3083220921033877
subj05,lateral,2,1,0.2902825180008084,0.2902825180008084
subj06,lateral,2,1,0.28949455886880754,0.28949455886880754
subj07,lateral,2,1,0.358408595807564,0.358408595807564
subj08,lateral,2,1,0.38493921692018884,0.38493921692018884
subj01,lateral,2,2,0.4900074943223822,0.4900074943223822
subj02,lateral,2,2,0.45822781642097715,0.45822781642097715
subj03,lateral,2,2,0.4657063976206576,0.4657063976206576
subj04,lateral,2,2,0.44211492299512706,0.44211492299512706
subj05,lateral,2,2,0.41965592235382804,0.41965592235382804
subj06,lateral,2,2,0.42958896659241214,0.42958896659241214
subj07,lateral,2,2,0.49238830253125926,0.49238830253125926
subj08,lateral,2,2,0.4901166699363565,0.4901166699363565
subj01,lateral,4,1,0.48336762774228503,0.48336762774228503
subj02,lateral,4,1,0.45373777103279805,0.45373777103279805
subj03,lateral,4,1,0.46130929530838427,0.46130929530838427
subj04,lateral,4,1,0.4246872328099215,0.4246872328099215
subj05,lateral,4,1,0.38162349292774117,0.38162349292774117
subj06,lateral,4,1,0.40570970373714005,0.40570970373714005
subj07,lateral,4,1,0.5043635119597829,0.5043635119597829
subj08,lateral,4,1,0.5314002976468376,0.5314002976468376
subj01,lateral,6,1,0.5655878816029002,0.5655878816029002
subj02,lateral,6,1,0.5350957625068319,0.5350957625068319
subj03,lateral,6,1,0.5325075616426338,0.5325075616426338
subj04,lateral,6,1,0.4945467481723369,0.4945467481723369
subj05,lateral,6,1,0.4412878229533286,0.4412878229533286
subj06,lateral,6,1,0.47629130973267464,0.47629130973267464
subj07,lateral,6,1,0.5901301722817325,0.5901301722817325
subj08,lateral,6,1,0.6197206141993075,0.6197206141993075
