subject,roi,M,T,N_TRIALS,R_HYBRID,R_CONTROL,DELTA_PRIOR
subj01,ventral,2,1,2,0.25094900326582414,0.2165542755422365,0.03439472772358765
subj02,ventral,2,1,2,0.2765993540188925,0.24187295144174045,0.034726402577152066
subj03,ventral,2,1,2,0.2512289984861397,0.22498486532445602,0.026244133161683697
subj04,ventral,2,1,2,0.2793885790697597,0.23654600794264544,0.04284257112711429
subj05,ventral,2,1,2,0.30291004966611695,0.28401492336927037,0.018895126296846587
subj06,ventral,2,1,2,0.20821205386910127,0.18457061978463796,0.023641434084463314
subj07,ventral,2,1,2,0.34723507714279106,0.3263889874507676,0.02084608969202345
subj08,ventral,2,1,2,0.1911930940761842,0.17766155542421558,0.013531538651968628
subj01,ventral,2,2,4,0.32659516801690713,0.2972468148800636,0.02934835313684353
subj02,ventral,2,2,4,0.353814557816041,0.32485737888509403,0.02895717893094696
subj03,ventral,2,2,4,0.3352840097441031,0.31387571870929165,0.021408291034811455
subj04,ventral,2,2,4,0.3512722317108213,0.3170389551429067,0.03423327656791458
subj05,ventral,2,2,4,0.40217349181847506,0.3880578339011008,0.014115657917374236
subj06,ventral,2,2,4,0.2813791788985427,0.25981066701126504,0.021568511887277653
subj07,ventral,2,2,4,0.44265657717665075,0.4280193389974709,0.014637238179179834
subj08,ventral,2,2,4,0.21947848845597331,0.20899492658373695,0.010483561872236369
subj01,ventral,4,1,4,0.31683792558728036,0.3031097583225942,0.013728167264686175
subj02,ventral,4,1,4,0.3486912121537283,0.3360861385277796,0.012605073625948704
subj03,ventral,4,1,4,0.32786239831894676,0.31769224869568086,0.0101701496232659
subj04,ventral,4,1,4,0.34285993685535,0.32435819422655054,0.018501742628799445
subj05,ventral,4,1,4,0.3920814563692716,0.38496666730293755,0.00711478906633406
subj06,ventral,4,1,4,0.2792510631293692,0.2693237134284639,0.009927349700905308
subj07,ventral,4,1,4,0.4531364715275645,0.44436057436042625,0.008775897167138225
subj08,ventral,4,1,4,0.23601638961261248,0.22868699356601466,0.007329396046597825
subj01,ventral,6,1,6,0.3634986615133721,0.36369807939415094,-0.00019941788077881828
subj02,ventral,6,1,6,0.3944818901231774,0.39767611001490694,-0.0031942198917295217
subj03,ventral,6,1,6,0.37695998269110453,0.3782722617427279,-0.001312279051623344
subj04,ventral,6,1,6,0.3830370754606964,0.38208730328360585,0.0009497721770905243
subj05,ventral,6,1,6,0.44282937733437205,0.44626697495318995,-0.0034375976188179003
subj06,ventral,6,1,6,0.3248466854507508,0.3273084852205826,-0.002461799769831796
subj07,ventral,6,1,6,0.5086572656475693,0.5112952580998721,-0.0026379924523027842
subj08,ventral,6,1,6,0.25906124015822535,0.26372774481231126,-0.004666504654085912
subj01,ventral,4,2,8,0.41284086784738117,0.4012093938401418,0.01163147400723935
subj02,ventral,4,2,8,0.44022630844567895,0.4286166274118896,0.011609681033789343
subj03,ventral,4,2,8,0.42388942206421554,0.41566813316346696,0.00822128890074858
subj04,ventral,4,2,8,0.4295887110935759,0.4151268615955469,0.014461849498028978
subj05,ventral,4,2,8,0.4980830512489789,0.4925137585808088,0.005569292668170078
subj06,ventral,4,2,8,0.3720261597161281,0.36338070529111366,0.008645454425014465
subj07,ventral,4,2,8,0.5478315228859345,0.5410171931363867,0.006814329749547765
subj08,ventral,4,2,8,0.27643397098447975,0.269516438250408,0.006917532734071752
subj01,ventral,10,8,80,0.6435798589616349,0.6495359645766007,-0.005956105614965734
subj02,ventral,10,8,80,0.6385996632939005,0.6390326292848328,-0.00043296599093234356
subj03,ventral,10,8,80,0.6412615215740508,0.6412500943082424,1.1427265808383602e-05
subj04,ventral,10,8,80,0.6513092943766882,0.652197814633391,-0.0008885202567028294
subj05,ventral,10,8,80,0.7062116600688723,0.7093398056439795,-0.0031281455751072107
subj06,ventral,10,8,80,0.6167169157727533,0.6165643602368053,0.00015255553594806237
subj07,ventral,10,8,80,0.7470874136390298,0.7474621759259401,-0.0003747622869103573
subj08,ventral,10,8,80,0.43632740578100065,0.4391149637006861,-0.002787557919685435
subj01,lateral,2,1,2,0.3366826174193165,0.30068036975768386,0.036002247661632625
subj02,lateral,2,1,2,0.29365474740049236,0.248553573923285,0.04510117347720735
subj03,lateral,2,1,2,0.3376184066751043,0.2783389437487985,0.059279462926305815
