subject,roi,M,T,TOTAL_RECOVERY_HYB,TOTAL_RECOVERY_HYB_unclipped
subj01,ventral,2,1,0.3061787996763002,0.3061787996763002
subj02,ventral,2,1,0.288973919052304,0.288973919052304
subj03,ventral,2,1,0.3394362521922635,0.3394362521922635
subj04,ventral,2,1,0.3426992996659534,0.3426992996659534
subj05,ventral,2,1,0.37276301785641697,0.37276301785641697
subj06,ventral,2,1,0.2624904582087956,0.2624904582087956
subj07,ventral,2,1,0.4164489772663481,0.4164489772663481
subj08,ventral,2,1,0.20182152731807393,0.20182152731807393
subj01,ventral,2,2,0.4390994026667151,0.4390994026667151
subj02,ventral,2,2,0.4232270180346014,0.4232270180346014
subj03,ventral,2,2,0.4765853094124222,0.4765853094124222
subj04,ventral,2,2,0.4619427815296579,0.4619427815296579
subj05,ventral,2,2,0.5268216545745089,0.5268216545745089
subj06,ventral,2,2,0.3896528524089751,0.3896528524089751
subj07,ventral,2,2,0.5530390906234691,0.5530390906234691
subj08,ventral,2,2,0.24944489988012666,0.24944489988012666
subj01,ventral,4,1,0.4219546002628221,0.4219546002628221
subj02,ventral,4,1,0.41431912168131363,0.41431912168131363
subj03,ventral,4,1,0.46447577549194324,0.46447577549194324
subj04,ventral,4,1,0.4479881299200717,0.4479881299200717
subj05,ventral,4,1,0.511158635145578,0.511158635145578
subj06,ventral,4,1,0.3859542473833661,0.3859542473833661
subj07,ventral,4,1,0.5680404263481644,0.5680404263481644
subj08,ventral,4,1,0.2772893279125599,0.2772893279125599
subj01,ventral,6,1,0.5039438613929951,0.5039438613929951
subj02,ventral,6,1,0.4939347947558692,0.4939347947558692
subj03,ventral,6,1,0.5445862568023683,0.5445862568023683
subj04,ventral,6,1,0.5146355764896624,0.5146355764896624
subj05,ventral,6,1,0.5899203156861427,0.5899203156861427
subj06,ventral,6,1,0.465198149574425,0.465198149574425
subj07,ventral,6,1,0.6475150893941012,0.6475150893941012
subj08,ventral,6,1,0.3160893350269994,0.3160893350269994
subj01,lateral,2,1,0.3425760810938789,0.3425760810938789
subj02,lateral,2,1,0.2900382348524949,0.2900382348524949
subj03,lateral,2,1,0.33417517268897956,0.33417517268897956
subj04,lateral,2,1,0.29623546178278853,0.29623546178278853
subj05,lateral,2,1,0.27696143912596477,0.27696143912596477
subj06,lateral,2,1,0.273972503576759,0.273972503576759
subj07,lateral,2,1,0.36035867860725274,0.36035867860725274
subj08,lateral,2,1,0.22805287169667385,0.22805287169667385
subj01,lateral,2,2,0.49062806949854726,0.49062806949854726
subj02,lateral,2,2,0.4127281298708625,0.4127281298708625
subj03,lateral,2,2,0.4614683819663512,0.4614683819663512
subj04,lateral,2,2,0.4247834382578271,0.4247834382578271
subj05,lateral,2,2,0.4003978916585209,0.4003978916585209
subj06,lateral,2,2,0.4065553603016519,0.4065553603016519
subj07,lateral,2,2,0.4950673620481512,0.4950673620481512
subj08,lateral,2,2,0.2903640604344328,0.2903640604344328
subj01,lateral,4,1,0.48397979378916045,0.48397979378916045
subj02,lateral,4,1,0.4086839231036418,0.4086839231036418
subj03,lateral,4,1,0.4571112941106716,0.4571112941106716
subj04,lateral,4,1,0.4080389363812293,0.4080389363812293
subj05,lateral,4,1,0.3641107722692769,0.3641107722692769
subj06,lateral,4,1,0.3839564504859023,0.3839564504859023
subj07,lateral,4,1,0.5071077279773906,0.5071077279773906
subj08,lateral,4,1,0.31482207728384,0.31482207728384
subj01,lateral,6,1,0.5663041763602853,0.5663041763602853
subj02,lateral,6,1,0.4819634807119005,0.4819634807119005
subj03,lateral,6,1,0.5276616428538689,0.5276616428538689
subj04,lateral,6,1,0.47515986713298175,0.47515986713298175
subj05,lateral,6,1,0.4210371032870035,0.4210371032870035
subj06,lateral,6,1,0.4507536275265536,0.4507536275265536
subj07,lateral,6,1,0.5933410403022134,0.5933410403022134
subj08,lateral,6,1,0.3671464467780662,0.3671464467780662
