subject,roi,M,T,N_TRIALS,R_CONTROL,R_HYBRID,DELTA_PRIOR
subj01,ventral,2,1,2,0.2165542755422365,0.25094900326582414,0.03439472772358765
subj02,ventral,2,1,2,0.24187295144174045,0.2765993540188925,0.034726402577152066
subj03,ventral,2,1,2,0.22498486532445602,0.2512289984861397,0.026244133161683697
subj04,ventral,2,1,2,0.23654600794264544,0.2793885790697597,0.04284257112711429
subj05,ventral,2,1,2,0.28401492336927037,0.30291004966611695,0.018895126296846587
subj06,ventral,2,1,2,0.18457061978463796,0.20821205386910127,0.023641434084463314
subj07,ventral,2,1,2,0.3263889874507676,0.34723507714279106,0.02084608969202345
subj08,ventral,2,1,2,0.17766155542421558,0.1911930940761842,0.013531538651968628
subj01,ventral,2,2,4,0.2972468148800636,0.32659516801690713,0.02934835313684353
subj02,ventral,2,2,4,0.32485737888509403,0.353814557816041,0.02895717893094696
subj03,ventral,2,2,4,0.31387571870929165,0.3352840097441031,0.021408291034811455
subj04,ventral,2,2,4,0.3170389551429067,0.3512722317108213,0.03423327656791458
subj05,ventral,2,2,4,0.3880578339011008,0.40217349181847506,0.014115657917374236
subj06,ventral,2,2,4,0.25981066701126504,0.2813791788985427,0.021568511887277653
subj07,ventral,2,2,4,0.4280193389974709,0.44265657717665075,0.014637238179179834
subj08,ventral,2,2,4,0.20899492658373695,0.21947848845597331,0.010483561872236369
subj01,ventral,4,1,4,0.3031097583225942,0.31683792558728036,0.013728167264686175
subj02,ventral,4,1,4,0.3360861385277796,0.3486912121537283,0.012605073625948704
subj03,ventral,4,1,4,0.31769224869568086,0.32786239831894676,0.0101701496232659
subj04,ventral,4,1,4,0.32435819422655054,0.34285993685535,0.018501742628799445
subj05,ventral,4,1,4,0.38496666730293755,0.3920814563692716,0.00711478906633406
subj06,ventral,4,1,4,0.2693237134284639,0.2792510631293692,0.009927349700905308
subj07,ventral,4,1,4,0.44436057436042625,0.4531364715275645,0.008775897167138225
subj08,ventral,4,1,4,0.22868699356601466,0.23601638961261248,0.007329396046597825
subj01,ventral,6,1,6,0.36369807939415094,0.3634986615133721,-0.00019941788077881828
subj02,ventral,6,1,6,0.39767611001490694,0.3944818901231774,-0.0031942198917295217
subj03,ventral,6,1,6,0.3782722617427279,0.37695998269110453,-0.001312279051623344
subj04,ventral,6,1,6,0.38208730328360585,0.3830370754606964,0.0009497721770905243
subj05,ventral,6,1,6,0.44626697495318995,0.44282937733437205,-0.0034375976188179003
subj06,ventral,6,1,6,0.3273084852205826,0.3248466854507508,-0.002461799769831796
subj07,ventral,6,1,6,0.5112952580998721,0.5086572656475693,-0.0026379924523027842
subj08,ventral,6,1,6,0.26372774481231126,0.25906124015822535,-0.004666504654085912
subj01,lateral,2,1,2,0.30068036975768386,0.3366826174193165,0.036002247661632625
subj02,lateral,2,1,2,0.248553573923285,0.29365474740049236,0.04510117347720735
subj03,lateral,2,1,2,0.2783389437487985,0.3376184066751043,0.059279462926305815
subj04,lateral,2,1,2,0.24780997039293928,0.2855865381904918,0.03777656779755251
subj05,lateral,2,1,2,0.20248615942325876,0.25601738672705693,0.05353122730379817
subj06,lateral,2,1,2,0.22223415597846183,0.25351469499421725,0.03128053901575542
subj07,lateral,2,1,2,0.3284673315446454,0.36471061782800956,0.03624328628336415
subj08,lateral,2,1,2,0.20263354525217178,0.21701924884845117,0.014385703596279387
subj01,lateral,2,2,4,0.4012048463370548,0.42775549825284476,0.02655065191578998
subj02,lateral,2,2,4,0.32939848933625315,0.3689500921166367,0.039551602780383555
subj03,lateral,2,2,4,0.3609382503916693,0.40792453684223995,0.046986286450570625
subj04,lateral,2,2,4,0.31878795401855015,0.3508802201311048,0.03209226611255467
subj05,lateral,2,2,4,0.27068262630614015,0.3177905668198202,0.04710794051368006
subj06,lateral,2,2,4,0.3035096085623308,0.3323224100608043,0.02881280149847354
subj07,lateral,2,2,4,0.4250614392331537,0.4487332585375058,0.023671819304352082
subj08,lateral,2,2,4,0.2504150785491605,0.25744202572219355,0.007026947173033038
subj01,lateral,4,1,4,0.4116408984184297,0.4236658698192537,0.01202497140082398
subj02,lateral,4,1,4,0.349526987393344,0.36646814409153117,0.016941156698187188
subj03,lateral,4,1,4,0.3856670262873145,0.4055180456580672,0.01985101937075273
subj04,lateral,4,1,4,0.3262790071937393,0.3423751451407033,0.016096137946963962
subj05,lateral,4,1,4,0.2793494758614249,0.2996308521238056,0.02028137626238069
subj06,lateral,4,1,4,0.3055814312377834,0.31888953880150894,0.013308107563725524
subj07,lateral,4,1,4,0.4451886816545169,0.45624326690995926,0.01105458525544234
subj08,lateral,4,1,4,0.2646735097266046,0.27330853345387346,0.008635023727268876
subj01,lateral,6,1,6,0.4755368605087235,0.47430699098475265,-0.0012298695239708612
subj02,lateral,6,1,6,0.4146245497157553,0.41144014076602803,-0.0031844089497272687
subj03,lateral,6,1,6,0.44503922207032565,0.44448416199871144,-0.0005550600716142107
subj04,lateral,6,1,6,0.37597575917961223,0.37646804044904636,0.000492281269434125
subj05,lateral,6,1,6,0.3276236591819152,0.3281193611973372,0.0004957020154219838
subj06,lateral,6,1,6,0.359039395905711,0.35859401512302164,-0.000445380782689353
subj07,lateral,6,1,6,0.5120179971964516,0.5100300788183189,-0.0019879183781327248
subj08,lateral,6,1,6,0.31074396276473115,0.3072526188736829,-0.003491343891048271
