subject,roi,M,T,R_CONTROL,R_HYBRID,DELTA_PRIOR,O2_9_R_COMP,SIM_hybrid_oracle_IN,SIM_hybrid_oracle_OUT
subj01,ventral,4,2,0.4012093938401418,0.41284086784738117,0.01163147400723935,0.4012093938401418,0.529547166503574,0.5299766401676668
subj02,ventral,4,2,0.4286166274118896,0.44022630844567895,0.011609681033789343,0.4286166274118896,0.5530766685342312,0.4924652819437242
subj03,ventral,4,2,0.41566813316346696,0.42388942206421554,0.00822128890074858,0.41566813316346696,0.515022435304676,0.4780658552490462
subj04,ventral,4,2,0.4151268615955469,0.4295887110935759,0.014461849498028978,0.4151268615955469,0.5313990406603003,0.4919633716631256
subj05,ventral,4,2,0.4925137585808088,0.4980830512489789,0.005569292668170078,0.4925137585808088,0.4940978268996909,0.5136919741086822
subj06,ventral,4,2,0.36338070529111366,0.3720261597161281,0.008645454425014465,0.36338070529111366,0.41628842465565274,0.4687454079153754
subj07,ventral,4,2,0.5410171931363867,0.5478315228859345,0.006814329749547765,0.5410171931363867,0.41533535835883517,0.5088210257024993
subj08,ventral,4,2,0.269516438250408,0.27643397098447975,0.006917532734071752,0.269516438250408,0.5202482744176505,0.3585227351927667
subj01,lateral,4,2,0.5165107258675657,0.5246152443633291,0.008104518495763324,0.5165107258675657,0.7795196006860117,0.5419677005324948
subj02,lateral,4,2,0.44148412284670335,0.45499687589735316,0.013512753050649806,0.44148412284670335,0.7768104440312746,0.5182507374348113
subj03,lateral,4,2,0.4773181480433165,0.4919659114515505,0.014647763408233982,0.4773181480433165,0.8181034081145261,0.5303746934080668
subj04,lateral,4,2,0.404083448951738,0.42011526280382927,0.016031813852091292,0.404083448951738,0.8605310337013296,0.42079021366726
subj05,lateral,4,2,0.3622845979915591,0.38019929607684494,0.01791469808528584,0.3622845979915591,0.7978223614279998,0.3850245584470417
subj06,lateral,4,2,0.4044468051151023,0.4166339199580564,0.012187114842954094,0.4044468051151023,0.8225436982413538,0.47465588071562786
subj07,lateral,4,2,0.540837254921375,0.5481853542361884,0.007348099314813394,0.540837254921375,0.7688492950708978,0.5549203652504529
subj08,lateral,4,2,0.3251674112388164,0.3324482547852269,0.007280843546410509,0.3251674112388164,0.5135210484447572,0.44167544840049444
