subject,roi,M,T,SIM_prior_oracle_IN,SIM_hybrid_oracle_IN,PRIOR_ALIGNMENT_IN,SIM_prior_oracle_OUT,SIM_hybrid_oracle_OUT,PRIOR_ALIGNMENT_OUT
subj01,ventral,2,1,0.3666852194211773,0.43453788890979156,0.8204252901095991,0.0021587429276474705,0.2635461602723755,0.04379560525113876
subj01,ventral,2,2,0.3666852194211773,0.44782607252220935,0.8271027865079206,0.0021587429276474705,0.39382553786875973,0.04259342079591199
subj01,ventral,4,1,0.3666852194211772,0.5005595190183348,0.6540975130161966,0.0021587429276474696,0.3528102944638452,0.01593259998443942
subj01,ventral,6,1,0.3666852194211772,0.559818320772746,0.5015299446568104,0.0021587429276474696,0.41833771780076145,0.009814903807060054
subj01,ventral,4,2,0.3666852194211772,0.529547166503574,0.6654400889773253,0.00215874292764747,0.5299766401676668,0.013983178004286612
subj01,ventral,10,8,0.3666852194211773,0.942094524888105,0.49389354516843714,0.0021587429276474705,0.9998489378743686,0.0033836010160697197
subj02,ventral,2,1,0.4431449514220353,0.482174116661134,0.8267335239236316,0.0074786238404848625,0.24652644580577845,0.053866144063335175
subj02,ventral,2,2,0.4431449514220352,0.5018205727323669,0.8314160413859842,0.007478623840484862,0.3594862387650825,0.06617768959176532
subj02,ventral,4,1,0.4431449514220353,0.5188367542498047,0.67374895721307,0.0074786238404848625,0.3317054729874109,0.022616310657851163
subj02,ventral,6,1,0.4431449514220353,0.5627394969481169,0.5332888923967866,0.0074786238404848625,0.390850837986158,0.016088153670684766
subj02,ventral,4,2,0.4431449514220353,0.5530766685342312,0.6927890401093526,0.007478623840484862,0.4924652819437242,0.02118912813949393
subj02,ventral,10,8,0.4431449514220353,0.8833797386882836,0.6006210357021361,0.007478623840484862,0.9991926522176832,0.012793366503345107
subj03,ventral,2,1,0.37625062488797667,0.438123458630484,0.8108981132210445,0.003503836096206391,0.23997348423773382,0.031518014826497485
subj03,ventral,2,2,0.37625062488797667,0.45575324211991647,0.8151129154954576,0.00350383609620639,0.36271989146898037,0.038649159223648075
