subject,roi,family,fold,R0,R_COMP,R_native,TOTAL_RECOVERY
subj01,ventral,anatomy,0,0.10882218937550564,0.07703799946753714,0.5782990018368986,-0.06770129868891499
subj01,ventral,anatomy,1,0.042403378362650415,0.04503660612241778,0.7563999686725468,0.0036880116733112975
subj01,ventral,anatomy,2,0.09505444735055624,0.041771528417677735,0.602134016148764,-0.10507802367025051
subj01,ventral,anatomy,3,0.08144673040492087,0.07310424663274137,0.6583030247244106,-0.014461979273401229
subj01,ventral,anatomy,4,0.085199565668667,0.06345948516401938,0.6605488765731953,-0.037785880842490675
subj01,ventral,anatomy,5,0.0472750728655718,0.07336520499421112,0.6191638742458352,0.04562098797121107
subj01,ventral,behavior,0,0.10882218937550564,0.08489062193785657,0.5782990018368986,-0.05097497214437414
subj01,ventral,behavior,1,0.042403378362650415,0.06455948032573319,0.7563999686725468,0.031031103318667604
subj01,ventral,behavior,2,0.09505444735055624,0.057850010397090965,0.602134016148764,-0.07337001773043388
subj01,ventral,behavior,3,0.08144673040492087,0.06430576044572339,0.6583030247244106,-0.029714454237547098
subj01,ventral,behavior,4,0.085199565668667,0.08248368324415384,0.6605488765731953,-0.004720406148124906
subj01,ventral,behavior,5,0.0472750728655718,0.07004450834766755,0.6191638742458352,0.03981444544313742
subj02,ventral,anatomy,0,0.18709786832809833,0.10765048860577,0.7260099591820556,-0.14742178004660542
subj02,ventral,anatomy,1,0.07285350826956442,0.04054608279581949,0.6938007118101549,-0.05202926317975283
subj02,ventral,anatomy,2,0.10793941394070951,0.07051828822995872,0.6607112272644369,-0.06769723927445509
subj02,ventral,anatomy,3,0.09842362724020332,0.14283648626395423,0.7405666056854319,0.06916350488061764
subj02,ventral,anatomy,4,0.07471680356922494,0.09901712131393936,0.6469722073077757,0.04246411232809717
subj02,ventral,anatomy,5,0.12135082484129478,0.0642881776192829,0.6452005049163918,-0.10892943031640603
subj02,ventral,behavior,0,0.18709786832809833,0.08668420189516417,0.7260099591820556,-0.1863266164131133
subj02,ventral,behavior,1,0.07285350826956442,0.053242005817675124,0.6938007118101549,-0.031583204401382445
subj02,ventral,behavior,2,0.10793941394070951,0.08839356294614151,0.6607112272644369,-0.035359709962492415
subj02,ventral,behavior,3,0.09842362724020332,0.09246231097711033,0.7405666056854319,-0.009283471848476273
subj02,ventral,behavior,4,0.07471680356922494,0.06439572723101893,0.6469722073077757,-0.0180357865924521
subj02,ventral,behavior,5,0.12135082484129478,0.05993764120262815,0.6452005049163918,-0.11723436316666773
subj03,ventral,anatomy,0,0.05563350908085189,0.07368458361037421,0.6717823274518543,0.029296614699751318
subj03,ventral,anatomy,1,0.03328079445697759,0.07109026938785071,0.6789476001944623,0.05855880245800602
subj03,ventral,anatomy,2,0.045057596078440426,0.05460524304588341,0.6127566530921178,0.01681814836485268
subj03,ventral,anatomy,3,0.04488653835174137,0.08934878227424128,0.6453361290055797,0.07404825419913157
subj03,ventral,anatomy,4,0.0564731213194927,0.089545042856508,0.6934526398016521,0.05191991355675211
subj03,ventral,anatomy,5,0.023853698392255485,0.06962165637592616,0.6341504066830815,0.07499296221316135
subj03,ventral,behavior,0,0.05563350908085189,0.0365317742973551,0.6717823274518543,-0.031001820037566054
subj03,ventral,behavior,1,0.03328079445697759,0.031774758611032274,0.6789476001944623,-0.002332527911552016
subj03,ventral,behavior,2,0.045057596078440426,0.05774887856111909,0.6127566530921178,0.022355651864986097
subj03,ventral,behavior,3,0.04488653835174137,0.029138185041976645,0.6453361290055797,-0.026227602707857813
subj03,ventral,behavior,4,0.0564731213194927,0.07020262706213337,0.6934526398016521,0.02155407724153569
subj03,ventral,behavior,5,0.023853698392255485,0.07012088362117605,0.6341504066830815,0.07581096964867252
subj04,ventral,anatomy,0,0.03169004135716613,0.0702877272205289,0.7264081854669666,0.055558770402954066
subj04,ventral,anatomy,1,0.07487473703282638,0.07974237404795918,0.5916025541148077,0.00942011800839538
subj04,ventral,anatomy,2,0.08993644627769014,0.14625729941055832,0.7004503558482251,0.09225154783530976
subj04,ventral,anatomy,3,0.056623822318314185,0.09587119387037525,0.6658235776843305,0.0644244703093826
subj04,ventral,anatomy,4,0.0910385928948324,0.09370423419448559,0.6518965064926394,0.004752792525567763
subj04,ventral,anatomy,5,0.09262952019969077,0.06468494916035832,0.7175972370710397,-0.044713623255975166
subj04,ventral,behavior,0,0.03169004135716613,0.04301221777981032,0.7264081854669666,0.016297510751143867
subj04,ventral,behavior,1,0.07487473703282638,0.12618497871052986,0.5916025541148077,0.09929839265758528
subj04,ventral,behavior,2,0.08993644627769014,0.18158752371945638,0.7004503558482251,0.15012119462804385
subj04,ventral,behavior,3,0.056623822318314185,0.07981368696038396,0.6658235776843305,0.0380661095770417
subj04,ventral,behavior,4,0.0910385928948324,0.08712331597170943,0.6518965064926394,-0.006980871319096041
subj04,ventral,behavior,5,0.09262952019969077,0.07253106352294283,0.7175972370710397,-0.032159191801718695
subj05,ventral,anatomy,0,0.034305190882839384,0.10551276915074209,0.7222339070914556,0.10351011171673317
subj05,ventral,anatomy,1,0.04989708230557105,0.10749478759160297,0.6221400588497084,0.10065253335894703
subj05,ventral,anatomy,2,0.08945668530965731,0.06587826750612645,0.7549319062289293,-0.035430947783390315
subj05,ventral,anatomy,3,0.05494836761930069,0.10167710029998435,0.6538903176154842,0.07801880078859297
subj05,ventral,anatomy,4,0.09064902591766223,0.1061730469425612,0.7944604890487796,0.022057073290388998
subj05,ventral,anatomy,5,0.0571264037565907,0.08699692716590415,0.6946609287889529,0.04685318557108289
subj05,ventral,behavior,0,0.034305190882839384,0.09422558584100751,0.7222339070914556,0.0871026220396898
subj05,ventral,behavior,1,0.04989708230557105,0.1008813961726609,0.6221400588497084,0.08909556946420191
subj05,ventral,behavior,2,0.08945668530965731,0.10075030218765288,0.7549319062289293,0.01697075491765844
subj05,ventral,behavior,3,0.05494836761930069,0.07501792521856482,0.6538903176154842,0.03350835185178131
subj05,ventral,behavior,4,0.09064902591766223,0.08690536077477509,0.7944604890487796,-0.005319130674900231
subj05,ventral,behavior,5,0.0571264037565907,0.07586631297929784,0.6946609287889529,0.02939434412866641
subj06,ventral,anatomy,0,0.051041215255136586,0.05117174816921017,0.655271676032819,0.00021603166762824128
subj06,ventral,anatomy,1,0.08332968126213525,0.05265967196136595,0.5847871577919945,-0.06116173501491916
subj06,ventral,anatomy,2,0.0879529212148983,0.07995088621910701,0.5840331911986075,-0.016130524594445302
subj06,ventral,anatomy,3,0.022920926806815012,0.024089614734631427,0.5578240909323804,0.0021848588795075306
subj06,ventral,anatomy,4,0.05746171939490791,0.0532418519967727,0.7374574948845338,-0.006205725903365694
subj06,ventral,anatomy,5,0.04037001597669514,0.0679870692763334,0.6760030002361428,0.04344811232823901
subj06,ventral,behavior,0,0.051041215255136586,0.04642732147397394,0.655271676032819,-0.00763598342133278
subj06,ventral,behavior,1,0.08332968126213525,0.04428225464695289,0.5847871577919945,-0.07786787203851228
subj06,ventral,behavior,2,0.0879529212148983,0.053975096049200685,0.5840331911986075,-0.06849259529473609
subj06,ventral,behavior,3,0.022920926806815012,0.027805927201162272,0.5578240909323804,0.009132494855088453
subj06,ventral,behavior,4,0.05746171939490791,0.05755639199205665,0.7374574948845338,0.00013922527251080188
subj06,ventral,behavior,5,0.04037001597669514,0.04103227985932417,0.6760030002361428,0.0010418966589668321
subj07,ventral,anatomy,0,0.04909128624831283,0.06657423462444213,0.7626209014107093,0.024502064111452827
subj07,ventral,anatomy,1,0.04960039466467116,0.07200627772851353,0.7454942856236798,0.0321972693753137
subj07,ventral,anatomy,2,0.029029886594618904,0.06577463513948403,0.7536390597152491,0.05070974796885162
subj07,ventral,anatomy,3,0.04246593698577296,0.057551163850602036,0.7755069248945388,0.020578967770771613
subj07,ventral,anatomy,4,0.08212049288907314,0.08818812691757774,0.7194261811164174,0.009520759253509306
subj07,ventral,anatomy,5,0.08552139280510399,0.07388202930283917,0.772726524265001,-0.01693724765637034
subj07,ventral,behavior,0,0.04909128624831283,0.04401077214906922,0.7626209014107093,-0.007120256806842293
subj07,ventral,behavior,1,0.04960039466467116,0.061705909274772604,0.7454942856236798,0.017395632821864383
subj07,ventral,behavior,2,0.029029886594618904,0.061819955787095086,0.7536390597152491,0.04525207575176172
subj07,ventral,behavior,3,0.04246593698577296,0.03739265713726746,0.7755069248945388,-0.006920867908053351
subj07,ventral,behavior,4,0.08212049288907314,0.09492574316909622,0.7194261811164174,0.020092791444621623
subj07,ventral,behavior,5,0.08552139280510399,0.10201705594973923,0.772726524265001,0.02400398714950206
subj08,ventral,anatomy,0,0.07772693248099158,0.05556979950499189,0.6891949586365824,-0.03623596333451081
subj08,ventral,anatomy,1,0.0611981838034457,0.04515441711253494,0.6023801099956159,-0.029645791765066674
subj08,ventral,anatomy,2,0.08242595104951156,0.03669336862269883,0.6566394815532366,-0.07964386068488168
subj08,ventral,anatomy,3,0.10113737392592892,0.05052159317970581,0.6780715077158267,-0.08773233854916247
subj08,ventral,anatomy,4,0.05034875602711626,0.05551070775641222,0.6620016314142465,0.008439348422957757
subj08,ventral,anatomy,5,0.055102901016561324,0.04137952770838228,0.7032884378644424,-0.021171983217823175
subj08,ventral,behavior,0,0.07772693248099158,0.03860760187359229,0.6891949586365824,-0.06397608531283237
subj08,ventral,behavior,1,0.0611981838034457,0.0398064676383333,0.6023801099956159,-0.03952777269490027
subj08,ventral,behavior,2,0.08242595104951156,0.028884985310589077,0.6566394815532366,-0.09324225726961541
subj08,ventral,behavior,3,0.10113737392592892,0.05287058545920728,0.6780715077158267,-0.08366082996278214
subj08,ventral,behavior,4,0.05034875602711626,0.05337981633957178,0.6620016314142465,0.004955523687413522
subj08,ventral,behavior,5,0.055102901016561324,0.03266710940405728,0.7032884378644424,-0.034613224666519164
subj01,lateral,anatomy,0,0.12951659164603532,0.1051840016105238,0.7197956797265068,-0.04122217867253043
subj01,lateral,anatomy,1,0.11338771962475133,0.05566325463314813,0.7188450615464419,-0.09534026758745498
subj01,lateral,anatomy,2,0.09944987000629948,0.07867347499323266,0.7524598372802835,-0.03181635205324462
subj01,lateral,anatomy,3,0.15490599365820598,0.12417060454781806,0.6934039670855824,-0.05707614629404543
subj01,lateral,anatomy,4,0.13724521381212826,0.11823543839237938,0.7688854330692434,-0.03009589136376823
subj01,lateral,anatomy,5,0.1211943040943988,0.10575889231326108,0.7931570366810314,-0.022970636662722532
subj01,lateral,behavior,0,0.12951659164603532,0.09830163156833324,0.7197956797265068,-0.05288169733271427
subj01,lateral,behavior,1,0.11338771962475133,0.07531520000101863,0.7188450615464419,-0.06288224947919945
subj01,lateral,behavior,2,0.09944987000629948,0.07326446822485266,0.7524598372802835,-0.04009954379526367
subj01,lateral,behavior,3,0.15490599365820598,0.12234593250338449,0.6934039670855824,-0.06046459366891684
subj01,lateral,behavior,4,0.13724521381212826,0.12287404293741866,0.7688854330692434,-0.022752146612215137
subj01,lateral,behavior,5,0.1211943040943988,0.10619267277726634,0.7931570366810314,-0.022325094219713112
subj02,lateral,anatomy,0,0.1504794182831691,0.10184820843166459,0.7698072306837871,-0.07852256733473963
subj02,lateral,anatomy,1,0.11251160313859357,0.08117448766765056,0.7301886694742702,-0.05073381736001325
subj02,lateral,anatomy,2,0.13477055014787254,0.08298243289100463,0.7577185135730518,-0.08313393782061551
subj02,lateral,anatomy,3,0.0893491128561634,0.12591400486780915,0.7525692660490448,0.05513235964802135
subj02,lateral,anatomy,4,0.1178729713164479,0.11842286939613987,0.6710951735095827,0.0009939913429215447
subj02,lateral,anatomy,5,0.0889581519676716,0.12275474417418414,0.6947901519349616,0.055785419403955684
subj02,lateral,behavior,0,0.1504794182831691,0.05931731399957596,0.7698072306837871,-0.1471952372528429
subj02,lateral,behavior,1,0.11251160313859357,0.09162687488228628,0.7301886694742702,-0.03381172686271871
subj02,lateral,behavior,2,0.13477055014787254,0.10380276358390025,0.7577185135730518,-0.04971167478211324
subj02,lateral,behavior,3,0.0893491128561634,0.12822402748125847,0.7525692660490448,0.05861540008689882
subj02,lateral,behavior,4,0.1178729713164479,0.10764763642452979,0.6710951735095827,-0.018483233050629367
subj02,lateral,behavior,5,0.0889581519676716,0.08376660610762464,0.6947901519349616,-0.008569283003088738
subj03,lateral,anatomy,0,0.19890980235787553,0.1935053447951085,0.7054505884597655,-0.010669343340261508
subj03,lateral,anatomy,1,0.1406079829245157,0.13525627163983228,0.7228147057441048,-0.009192115231451532
subj03,lateral,anatomy,2,0.14322554453822606,0.17437416002235456,0.7312582292667837,0.05297089140292779
subj03,lateral,anatomy,3,0.21049893060703434,0.2052860233694107,0.6883497653732515,-0.010909067973427281
subj03,lateral,anatomy,4,0.1261252133218715,0.13611883637637462,0.712239298391218,0.01705064476196768
subj03,lateral,anatomy,5,0.09892034777782344,0.10410672862726304,0.6720737792148559,0.009048852479930394
subj03,lateral,behavior,0,0.19890980235787553,0.18014910798581657,0.7054505884597655,-0.03703688801929026
subj03,lateral,behavior,1,0.1406079829245157,0.1419580793715336,0.7228147057441048,0.0023189296758365503
subj03,lateral,behavior,2,0.14322554453822606,0.11340610581621854,0.7312582292667837,-0.050710512351490274
subj03,lateral,behavior,3,0.21049893060703434,0.17836750385995026,0.6883497653732515,-0.06724154152164241
subj03,lateral,behavior,4,0.1261252133218715,0.16756019319386267,0.712239298391218,0.0706943936812042
subj03,lateral,behavior,5,0.09892034777782344,0.11743756612384199,0.6720737792148559,0.03230761141844944
subj04,lateral,anatomy,0,0.12811511074698534,0.07694002637853474,0.6152556634144699,-0.10505198979683797
subj04,lateral,anatomy,1,0.13469005205777335,0.1116193910002296,0.7218687253974134,-0.039290699926696836
subj04,lateral,anatomy,2,0.1596133308597619,0.15978694391179138,0.759935654725224,0.0002891997267594355
subj04,lateral,anatomy,3,0.12740556899115113,0.07288065869681565,0.6688233094639349,-0.10070765366262756
subj04,lateral,anatomy,4,0.09464851590747848,0.1036164138907448,0.4067570437114969,0.02873326802815689
subj04,lateral,anatomy,5,0.1662411198401435,0.12799522513634676,0.6856676892986411,-0.07363099416279013
subj04,lateral,behavior,0,0.12811511074698534,0.14424125726897674,0.6152556634144699,0.03310368318483821
subj04,lateral,behavior,1,0.13469005205777335,0.08016145011152034,0.7218687253974134,-0.09286543333754935
subj04,lateral,behavior,2,0.1596133308597619,0.13479925623169084,0.759935654725224,-0.04133458584097587
subj04,lateral,behavior,3,0.12740556899115113,0.09666992474293787,0.6688233094639349,-0.056768816295849275
subj04,lateral,behavior,4,0.09464851590747848,0.10407790652351953,0.4067570437114969,0.03021189674753784
subj04,lateral,behavior,5,0.1662411198401435,0.07608992669000107,0.6856676892986411,-0.173559071581812
subj05,lateral,anatomy,0,0.143024774082227,0.10691267914967126,0.619846355402238,-0.07573502615503408
subj05,lateral,anatomy,1,0.16611502429999558,0.1285980823090252,0.6943000054114411,-0.07102992953723238
subj05,lateral,anatomy,2,0.1259496144322311,0.12584848266100257,0.5812298331716983,-0.0002221308263920031
subj05,lateral,anatomy,3,0.03966948102758183,0.07409319508074055,0.570862149446256,0.06480457299163384
subj05,lateral,anatomy,4,0.14529392334949548,0.1532660872523839,0.6577578242671462,0.015556537521204786
subj05,lateral,anatomy,5,0.08442736750310592,0.15127451983485157,0.5831552130011403,0.13403533196545594
subj05,lateral,behavior,0,0.143024774082227,0.0974503410958397,0.619846355402238,-0.09557963559497692
subj05,lateral,behavior,1,0.16611502429999558,0.12022686750302616,0.6943000054114411,-0.08687895043968914
subj05,lateral,behavior,2,0.1259496144322311,0.10609116013575322,0.5812298331716983,-0.04361809162598787
subj05,lateral,behavior,3,0.03966948102758183,0.09550490326841526,0.570862149446256,0.10511331492404033
subj05,lateral,behavior,4,0.14529392334949548,0.16368454359378912,0.6577578242671462,0.035886664819438426
subj05,lateral,behavior,5,0.08442736750310592,0.13752481109443,0.5831552130011403,0.10646576899731848
subj06,lateral,anatomy,0,0.14124846395462437,0.14955406416002812,0.7563497153726955,0.013502817928358607
subj06,lateral,anatomy,1,0.04911832722374772,0.057042838848996386,0.6490861664829244,0.013208227352708823
subj06,lateral,anatomy,2,0.1006094773618907,0.06863815088146506,0.6579230852470128,-0.057366850599161794
subj06,lateral,anatomy,3,0.09537243174859986,0.09647166604924388,0.6124091688026698,0.0021260274596872097
subj06,lateral,anatomy,4,0.09549431390063584,0.08057407155269189,0.7766825010427656,-0.021903260552037212
subj06,lateral,anatomy,5,0.06214385333104115,0.07647458154579288,0.6579572753435174,0.024052375601655455
subj06,lateral,behavior,0,0.14124846395462437,0.14373429479129532,0.7563497153726955,0.004041336009218071
subj06,lateral,behavior,1,0.04911832722374772,0.05878068626242277,0.6490861664829244,0.01610479496802005
subj06,lateral,behavior,2,0.1006094773618907,0.05833528667876245,0.6579230852470128,-0.07585350525272325
subj06,lateral,behavior,3,0.09537243174859986,0.09304446183726856,0.6124091688026698,-0.0045025232144923
subj06,lateral,behavior,4,0.09549431390063584,0.06054094205719727,0.7766825010427656,-0.05131235758811766
subj06,lateral,behavior,5,0.06214385333104115,0.054997370399760145,0.6579572753435174,-0.01199449805468021
subj07,lateral,anatomy,0,0.1562635909536735,0.11577774743291812,0.7388020575782125,-0.06949900451269178
subj07,lateral,anatomy,1,0.10553508712330145,0.11009966448090222,0.7346962691874411,0.007255020633385857
subj07,lateral,anatomy,2,0.16690386306562638,0.1408883726213797,0.7756299426149269,-0.04273759794143941
subj07,lateral,anatomy,3,0.15262592259263733,0.0814451912572703,0.7724661487480702,-0.11483722471009415
subj07,lateral,anatomy,4,0.10145872260548229,0.10832356856018668,0.7592280710715043,0.010436554957621299
subj07,lateral,anatomy,5,0.15686467145355176,0.18672795231126915,0.8012447153980937,0.04634420500503201
subj07,lateral,behavior,0,0.1562635909536735,0.16044479347455515,0.7388020575782125,0.007177556093607344
subj07,lateral,behavior,1,0.10553508712330145,0.09433604030548633,0.7346962691874411,-0.017799964678484315
subj07,lateral,behavior,2,0.16690386306562638,0.04762095056885614,0.7756299426149269,-0.19595498945122747
subj07,lateral,behavior,3,0.15262592259263733,0.1514920226365543,0.7724661487480702,-0.0018293423179648108
subj07,lateral,behavior,4,0.10145872260548229,0.1207900774876143,0.7592280710715043,0.029389260729790003
subj07,lateral,behavior,5,0.15686467145355176,0.15525722349311355,0.8012447153980937,-0.0024945650870847836
subj08,lateral,anatomy,0,0.11430588205661721,0.0803557420623578,0.7937611920678613,-0.049966700523243514
