subject,roi,family,component,fold,SIM_PRIOR,SIM_CORR,SIM_NULL_mean,E_GEOM
subj01,ventral,anatomy,IN,0,0.4059081975059467,0.2741174641783435,0.29127528617356724,-0.017157821995223754
subj01,ventral,anatomy,IN,1,0.45807897367693595,0.34795216497027975,0.3464373869955946,0.001514777974685133
subj01,ventral,anatomy,IN,2,0.38858304362958357,0.2975454143678875,0.3002269006358226,-0.0026814862679350737
subj01,ventral,anatomy,IN,3,0.4552627067923866,0.34037199693440806,0.3353592158513141,0.005012781083093942
subj01,ventral,anatomy,IN,4,0.43917976574613515,0.30910558278153444,0.32539806722026554,-0.016292484438731103
subj01,ventral,anatomy,IN,5,0.44816595673102083,0.31084545357002774,0.33641989785968746,-0.025574444289659715
subj01,ventral,anatomy,OUT,0,0.2338335624969333,0.1646716917301336,0.1273693264126647,0.03730236531746889
subj01,ventral,anatomy,OUT,1,0.16593186494169043,0.11493334662580022,0.09192423623066732,0.023009110395132898
subj01,ventral,anatomy,OUT,2,0.10389928476575794,0.021957733331758867,0.05113127614964243,-0.02917354281788356
subj01,ventral,anatomy,OUT,3,0.04631738339462614,0.022946633870207914,0.019997078699789374,0.00294955517041854
subj01,ventral,anatomy,OUT,4,0.2248722967358008,0.12915258697161147,0.12734050261947072,0.0018120843521407526
subj01,ventral,anatomy,OUT,5,0.2697812365744916,0.19486320622194664,0.1629550559966618,0.03190815022528484
subj01,ventral,behavior,IN,0,0.4059081975059467,0.29949246187416484,0.29216519821495424,0.007327263659210603
subj01,ventral,behavior,IN,1,0.45807897367693595,0.3651279121436681,0.3530717365946298,0.012056175549038262
subj01,ventral,behavior,IN,2,0.38858304362958357,0.31768305500950356,0.3015562359228061,0.01612681908669744
subj01,ventral,behavior,IN,3,0.4552627067923866,0.3481902409953243,0.3444424697658983,0.003747771229425989
subj01,ventral,behavior,IN,4,0.43917976574613515,0.3334652703581804,0.3278285037236135,0.005636766634566914
subj01,ventral,behavior,IN,5,0.44816595673102083,0.34823989044686793,0.338264792559127,0.009975097887740925
subj01,ventral,behavior,OUT,0,0.2338335624969333,0.12930870186328167,0.14602208972912506,-0.016713387865843393
subj01,ventral,behavior,OUT,1,0.16593186494169043,0.07621810994356043,0.10193452463477529,-0.025716414691214856
subj01,ventral,behavior,OUT,2,0.10389928476575794,0.0432728633390007,0.0516508911648542,-0.0083780278258535
subj01,ventral,behavior,OUT,3,0.04631738339462614,0.01676724125594296,0.022739085593343665,-0.005971844337400705
subj01,ventral,behavior,OUT,4,0.2248722967358008,0.12094712909246658,0.13091645196572543,-0.009969322873258857
subj01,ventral,behavior,OUT,5,0.2697812365744916,0.18831370355693045,0.17088019113144184,0.0174335124254886
subj02,ventral,anatomy,IN,0,0.4259185109474301,0.3305765885017479,0.3218148388685739,0.008761749633173999
subj02,ventral,anatomy,IN,1,0.458842663693368,0.34993816330791283,0.36131277631462827,-0.01137461300671544
subj02,ventral,anatomy,IN,2,0.5075110399006448,0.38312316842216143,0.38089832808113916,0.0022248403410222717
subj02,ventral,anatomy,IN,3,0.4387079791601948,0.321669468066719,0.3245280007525389,-0.0028585326858199256
subj02,ventral,anatomy,IN,4,0.46472310126730276,0.3302128586630198,0.32748305072676037,0.002729807936259432
subj02,ventral,anatomy,IN,5,0.4470566659661895,0.3288122802514434,0.3255898417050693,0.0032224385463740512
subj02,ventral,anatomy,OUT,0,0.2698525193538903,0.17043557486182923,0.171641228097597,-0.0012056532357677674
subj02,ventral,anatomy,OUT,1,0.30539688081762795,0.21101957982095634,0.2127420155939852,-0.0017224357730288575
subj02,ventral,anatomy,OUT,2,0.32872581791121275,0.19739386324204564,0.21029868082724917,-0.012904817585203537
subj02,ventral,anatomy,OUT,3,0.3501534756169291,0.22549806122595403,0.23292963938657865,-0.007431578160624619
subj02,ventral,anatomy,OUT,4,0.28264821791073375,0.14677554846510918,0.16777968917296035,-0.02100414070785117
subj02,ventral,anatomy,OUT,5,0.3552146154601834,0.20938599514759934,0.24540123255555432,-0.03601523740795498
subj02,ventral,behavior,IN,0,0.4259185109474301,0.2760281629062606,0.30204321189322003,-0.026015048986959444
subj02,ventral,behavior,IN,1,0.458842663693368,0.34495371376686434,0.3310092892461897,0.013944424520674625
subj02,ventral,behavior,IN,2,0.5075110399006448,0.32394963671314864,0.3560945006526901,-0.03214486393954147
subj02,ventral,behavior,IN,3,0.4387079791601948,0.2993428115826181,0.30606134169433263,-0.006718530111714527
subj02,ventral,behavior,IN,4,0.46472310126730276,0.31749423036402485,0.3141186094166069,0.0033756209474179455
subj02,ventral,behavior,IN,5,0.4470566659661895,0.31840937728405594,0.304427914527849,0.01398146275620693
subj02,ventral,behavior,OUT,0,0.2698525193538903,0.10168287914624129,0.1568804226663335,-0.05519754352009222
subj02,ventral,behavior,OUT,1,0.30539688081762795,0.0652246395740212,0.18042556073951502,-0.11520092116549381
subj02,ventral,behavior,OUT,2,0.32872581791121275,0.060089793239412846,0.1634614200142093,-0.10337162677479644
subj02,ventral,behavior,OUT,3,0.3501534756169291,0.0396113862254401,0.19143531387008267,-0.15182392764464256
subj02,ventral,behavior,OUT,4,0.28264821791073375,0.08186054257960346,0.14545817026358812,-0.06359762768398466
subj02,ventral,behavior,OUT,5,0.3552146154601834,0.17475954851666728,0.20026051459682515,-0.025500966080157866
subj03,ventral,anatomy,IN,0,0.4853907158742126,0.35853337494361864,0.361447431854752,-0.0029140569111333336
subj03,ventral,anatomy,IN,1,0.4897900951253327,0.39921814845638354,0.39913168335295734,8.646510342619207e-05
subj03,ventral,anatomy,IN,2,0.4684034487170569,0.37111615111105395,0.3704073651460049,0.0007087859650490302
subj03,ventral,anatomy,IN,3,0.4778781968931883,0.37549316828929985,0.37210043450006514,0.0033927337892347142
subj03,ventral,anatomy,IN,4,0.48691704591911417,0.37848516948827743,0.38112552573547787,-0.002640356247200437
subj03,ventral,anatomy,IN,5,0.49453067451968113,0.3950455851291002,0.3925646914555995,0.0024808936735006837
subj03,ventral,anatomy,OUT,0,0.3303861345742395,0.26465932916709634,0.2606035266917436,0.004055802475352754
subj03,ventral,anatomy,OUT,1,0.21042776116697154,0.13883838289154316,0.13819146887892741,0.0006469140126157402
subj03,ventral,anatomy,OUT,2,0.333314026086887,0.24582451780538178,0.24359120134340706,0.0022333164619747214
subj03,ventral,anatomy,OUT,3,0.21090784548520167,0.13261188229599707,0.13230302400740057,0.000308858288596503
subj03,ventral,anatomy,OUT,4,0.26990702161060853,0.18634358789079936,0.18893085116245956,-0.0025872632716602006
subj03,ventral,anatomy,OUT,5,0.15860811378553397,0.09825233248432888,0.09812582219073146,0.0001265102935974205
subj03,ventral,behavior,IN,0,0.4853907158742126,0.3016122326018043,0.320124058436534,-0.01851182583472971
subj03,ventral,behavior,IN,1,0.4897900951253327,0.32730677240845824,0.3564699176927846,-0.02916314528432634
subj03,ventral,behavior,IN,2,0.4684034487170569,0.30270180475570013,0.3459027980368521,-0.043200993281151956
subj03,ventral,behavior,IN,3,0.4778781968931883,0.30854693100355907,0.34575085196457533,-0.03720392096101627
subj03,ventral,behavior,IN,4,0.48691704591911417,0.32016195382611173,0.34658630334682966,-0.026424349520717927
subj03,ventral,behavior,IN,5,0.49453067451968113,0.3253320879826538,0.35569659882378796,-0.030364510841134174
subj03,ventral,behavior,OUT,0,0.3303861345742395,0.08201262882490029,0.20202237040518903,-0.12000974158028874
subj03,ventral,behavior,OUT,1,0.21042776116697154,0.11487309839600415,0.11626047761388528,-0.001387379217881124
subj03,ventral,behavior,OUT,2,0.333314026086887,0.1866183166048079,0.17208817511260036,0.014530141492207549
subj03,ventral,behavior,OUT,3,0.21090784548520167,0.07460506620858756,0.10451215008773734,-0.02990708387914978
subj03,ventral,behavior,OUT,4,0.26990702161060853,0.1433164481428868,0.13838936951310227,0.0049270786297845315
subj03,ventral,behavior,OUT,5,0.15860811378553397,0.07299871820783939,0.08737048254407151,-0.01437176433623212
subj04,ventral,anatomy,IN,0,0.46776395122332254,0.31871391643643904,0.32097783500321725,-0.0022639185667782113
subj04,ventral,anatomy,IN,1,0.448870565863187,0.3408229421934302,0.3484086875793544,-0.007585745385924214
subj04,ventral,anatomy,IN,2,0.4789580103420777,0.3382866367740589,0.34157255381575213,-0.0032859170416932315
subj04,ventral,anatomy,IN,3,0.46042259030024035,0.32472437789464564,0.3358700929927838,-0.011145715098138165
subj04,ventral,anatomy,IN,4,0.48854874945622573,0.3357592582229721,0.3436263587962649,-0.007867100573292818
subj04,ventral,anatomy,IN,5,0.518682326591627,0.3427288898337885,0.3630027530850192,-0.020273863251230706
subj04,ventral,anatomy,OUT,0,0.38497675833959444,0.11502001082140978,0.2498145966229783,-0.13479458580156853
subj04,ventral,anatomy,OUT,1,0.39265172309596375,0.2640420539261266,0.23336391677492693,0.030678137151199686
subj04,ventral,anatomy,OUT,2,0.4230957964665176,0.23350303587771734,0.19335793254426534,0.040145103333452004
subj04,ventral,anatomy,OUT,3,0.41410496006605474,0.20112063104430772,0.21809008462852872,-0.016969453584221
subj04,ventral,anatomy,OUT,4,0.3643807742474358,0.20051667417374286,0.1967652727151707,0.0037514014585721678
subj04,ventral,anatomy,OUT,5,0.40778122016729607,0.24246093799985324,0.23677839000717163,0.005682547992681614
subj04,ventral,behavior,IN,0,0.46776395122332254,0.3224790550119449,0.321199326121409,0.0012797288905359028
subj04,ventral,behavior,IN,1,0.448870565863187,0.3431183206516919,0.3426012089259514,0.0005171117257404823
subj04,ventral,behavior,IN,2,0.4789580103420777,0.33135601656638874,0.3412521261416238,-0.009896109575235068
subj04,ventral,behavior,IN,3,0.46042259030024035,0.3165829191647014,0.3308494409168248,-0.014266521752123396
