subject,roi,family,component,fold,R0,R_PRIOR,R_CORR,R_NULL_mean,E_NATIVE,R_ORACLE
subj01,ventral,anatomy,IN,0,0.10882218937550564,0.09355126928003799,0.0707557226021139,0.08182563880510756,-0.011069916202993663,0.1530818380056993
subj01,ventral,anatomy,IN,1,0.042403378362650415,0.06606171373819228,0.03716807241311963,0.05046518720550558,-0.013297114792385947,0.09528766558908879
subj01,ventral,anatomy,IN,2,0.09505444735055624,0.050429381191437445,0.03824965151172219,0.05365309869219586,-0.015403447180473671,0.1367929897482263
subj01,ventral,anatomy,IN,3,0.08144673040492087,0.08400591158339987,0.06714914729011325,0.06496339805247858,0.0021857492376346627,0.12788567148023183
subj01,ventral,anatomy,IN,4,0.085199565668667,0.08968642690520723,0.060017443769287485,0.06986318544660856,-0.00984574167732108,0.14891531586399576
subj01,ventral,anatomy,IN,5,0.0472750728655718,0.07766948728722656,0.07008071706805384,0.06667456381830338,0.0034061532497504654,0.12718521643497474
subj01,ventral,anatomy,OUT,0,0.10882218937550564,0.0050462709928846775,0.006282276865423248,0.007759599730561013,-0.0014773228651377658,0.43585631233025934
subj01,ventral,anatomy,OUT,1,0.042403378362650415,0.0010006985998519537,0.007868533709298143,0.009755008934226666,-0.0018864752249285223,0.6472956977719047
subj01,ventral,anatomy,OUT,2,0.09505444735055624,0.0025453450026185443,0.0035218769059555473,0.006547249097237307,-0.00302537219128176,0.4760299624991017
subj01,ventral,anatomy,OUT,3,0.08144673040492087,0.00048778885131812874,0.005955099342628118,0.0040917488770125555,0.0018633504656155623,0.5305317678496512
subj01,ventral,anatomy,OUT,4,0.085199565668667,0.0006834207190298424,0.003442041394731896,0.008673034033177159,-0.005230992638445262,0.5329994731683652
subj01,ventral,anatomy,OUT,5,0.0472750728655718,0.0038798620929043313,0.003284487926157273,0.004802664250353862,-0.0015181763241965888,0.4853538780979474
subj01,ventral,behavior,IN,0,0.10882218937550564,0.09355126928003799,0.07248387409433536,0.08198804115038931,-0.009504167056053947,0.1530818380056993
subj01,ventral,behavior,IN,1,0.042403378362650415,0.06606171373819228,0.05922451928894337,0.04267725912802076,0.01654726016092261,0.09528766558908879
subj01,ventral,behavior,IN,2,0.09505444735055624,0.050429381191437445,0.04315651214909224,0.04714795904983448,-0.00399144690074224,0.1367929897482263
subj01,ventral,behavior,IN,3,0.08144673040492087,0.08400591158339987,0.061730035741428255,0.06522903705657528,-0.003499001315147021,0.12788567148023183
subj01,ventral,behavior,IN,4,0.085199565668667,0.08968642690520723,0.07488682393560306,0.06824904804498755,0.00663777589061551,0.14891531586399576
subj01,ventral,behavior,IN,5,0.0472750728655718,0.07766948728722656,0.061633683677555826,0.06959814366334209,-0.007964459985786265,0.12718521643497474
subj01,ventral,behavior,OUT,0,0.10882218937550564,0.0050462709928846775,0.012406747843521205,0.00838813075654347,0.004018617086977734,0.43585631233025934
subj01,ventral,behavior,OUT,1,0.042403378362650415,0.0010006985998519537,0.005334961036789816,0.010996549100259021,-0.005661588063469205,0.6472956977719047
subj01,ventral,behavior,OUT,2,0.09505444735055624,0.0025453450026185443,0.014693498247998722,0.005733048295080998,0.008960449952917723,0.4760299624991017
subj01,ventral,behavior,OUT,3,0.08144673040492087,0.00048778885131812874,0.0025757247042951284,0.004470147049875999,-0.0018944223455808706,0.5305317678496512
subj01,ventral,behavior,OUT,4,0.085199565668667,0.0006834207190298424,0.0075968593085507935,0.008524684177491885,-0.0009278248689410917,0.5329994731683652
subj01,ventral,behavior,OUT,5,0.0472750728655718,0.0038798620929043313,0.008410824670111722,0.004531837670655733,0.0038789869994559894,0.4853538780979474
subj02,ventral,anatomy,IN,0,0.18709786832809833,0.12083649660374882,0.09879159485285875,0.07632679299687307,0.022464801855985678,0.27823313537917765
subj02,ventral,anatomy,IN,1,0.07285350826956442,0.04360400648172667,0.03792727819364211,0.03989590178301264,-0.0019686235893705273,0.11366793326254586
subj02,ventral,anatomy,IN,2,0.10793941394070951,0.06974721915231188,0.06110773428861678,0.06452207110295484,-0.0034143368143380592,0.19468907277332048
subj02,ventral,anatomy,IN,3,0.09842362724020332,0.1395161392761553,0.1409713844353799,0.11484022412413657,0.026131160311243337,0.2414558424662694
subj02,ventral,anatomy,IN,4,0.07471680356922494,0.08601218719446425,0.0897527236225192,0.0750283557116966,0.0147243679108226,0.21002833599164378
subj02,ventral,anatomy,IN,5,0.12135082484129478,0.030473636286382645,0.049273042997994114,0.04286429855045253,0.006408744447541581,0.16424812204454808
subj02,ventral,anatomy,OUT,0,0.18709786832809833,0.011771914572492926,0.008858893752911259,0.01082688420696526,-0.0019679904540540003,0.4380807723256587
subj02,ventral,anatomy,OUT,1,0.07285350826956442,0.001847148693468915,0.0026188046021773798,0.006357487863366952,-0.003738683261189572,0.44822192094758073
subj02,ventral,anatomy,OUT,2,0.10793941394070951,0.003032878852253287,0.009410553941341932,0.007716571779287355,0.0016939821620545765,0.40035563036837235
subj02,ventral,anatomy,OUT,3,0.09842362724020332,0.0019177348291399678,0.001865101828574342,0.0062241229249632235,-0.0043590210963888815,0.49095287213469396
subj02,ventral,anatomy,OUT,4,0.07471680356922494,0.0043531364339145446,0.009264397691420163,0.018156688079781224,-0.008892290388361061,0.4141709261872758
subj02,ventral,anatomy,OUT,5,0.12135082484129478,0.0037424143897900135,0.015015134621288794,0.018933517471407552,-0.003918382850118758,0.44009119690527454
subj02,ventral,behavior,IN,0,0.18709786832809833,0.12083649660374882,0.0826053167123726,0.10833022899959283,-0.025724912287220222,0.27823313537917765
subj02,ventral,behavior,IN,1,0.07285350826956442,0.04360400648172667,0.05104323238792714,0.0504296370665374,0.0006135953213897427,0.11366793326254586
subj02,ventral,behavior,IN,2,0.10793941394070951,0.06974721915231188,0.08551283524805753,0.08516343095874196,0.0003494042893155691,0.19468907277332048
subj02,ventral,behavior,IN,3,0.09842362724020332,0.1395161392761553,0.08488599829431231,0.09807932659139133,-0.013193328297079018,0.2414558424662694
subj02,ventral,behavior,IN,4,0.07471680356922494,0.08601218719446425,0.055672268025660436,0.10302490711792384,-0.0473526390922634,0.21002833599164378
subj02,ventral,behavior,IN,5,0.12135082484129478,0.030473636286382645,0.04951555066111468,0.058590943573680436,-0.009075392912565754,0.16424812204454808
subj02,ventral,behavior,OUT,0,0.18709786832809833,0.011771914572492926,0.004078885182791573,0.00853159303469362,-0.004452707851902047,0.4380807723256587
subj02,ventral,behavior,OUT,1,0.07285350826956442,0.001847148693468915,0.002198773429747977,0.005177410893461699,-0.002978637463713722,0.44822192094758073
subj02,ventral,behavior,OUT,2,0.10793941394070951,0.003032878852253287,0.002880727698083993,0.004843529046858477,-0.0019628013487744842,0.40035563036837235
