subject,roi,family,component,E_NATIVE,DOP_NATIVE,E_GEOM,DOP_GEOM,RESIDUAL_GEOM_RECOVERY,NATIVE_RESIDUAL_RECOVERY
subj01,ventral,anatomy,IN,-0.007337386227631539,-0.01966390588851518,-0.009196446322295096,-0.11920676121325463,-0.2109395244325302,-0.42515308079553343
subj01,ventral,anatomy,OUT,-0.0018791647963957228,0.0027851549809311243,0.011301287107093728,-0.06601840502630692,-0.0822413548314827,0.004969748703299711
subj01,ventral,behavior,IN,-0.0002956732010318923,-0.014714790183090541,0.009144982341113356,-0.09716330220904995,-0.17212377148826252,-0.29223801644745273
subj01,ventral,behavior,OUT,0.00139570312689338,0.006229204925443319,-0.008219247528013784,-0.07830131330968625,-0.09804489794282317,0.012630947994623177
subj02,ventral,anatomy,IN,0.010724352353647435,-0.0020609877672964536,0.0004509484607157314,-0.11640457228702095,-0.2155905830606277,-0.017543649134624553
subj02,ventral,anatomy,OUT,-0.003530397648009616,0.0033946097777757026,-0.013380643811738488,-0.12191381738451391,-0.17917930298967022,0.008109633349156412
subj02,ventral,behavior,IN,-0.015730545496403847,-0.013492413944224143,-0.005596155802319323,-0.1437636713863596,-0.2667127682713469,-0.10812394446614211
subj02,ventral,behavior,OUT,-0.00022730610825003137,0.0015358368282056434,-0.08578210214486126,-0.22812712296486518,-0.3356532786214978,0.0033170333637661635
subj03,ventral,anatomy,IN,0.0033829753240479676,-0.0029080958996564113,0.00018574422881280825,-0.10416976327180871,-0.20188100129033584,-0.05792636177424918
subj03,ventral,anatomy,OUT,-0.0013717087269778298,0.017644185359258813,0.0007973563767461564,-0.0745034783623826,-0.10091121280046332,0.03452866856907332
subj03,ventral,behavior,IN,-0.013256507529177203,-0.012910463951175297,-0.03081145762051273,-0.1695413990783831,-0.32855785432212486,-0.22683475076055806
subj03,ventral,behavior,OUT,-0.003932210005016405,0.0022501416847791563,-0.02436979148192661,-0.139854437720736,-0.19330819328014623,0.004546088231174264
subj04,ventral,anatomy,IN,0.0013484760249221812,-0.021516463929435178,-0.008737043319509558,-0.14370169540355768,-0.27697776205554864,-0.3221996997033531
subj04,ventral,anatomy,OUT,-0.005661798625538467,0.007187464183867711,-0.011917808241647343,-0.18838798142328417,-0.3133012816803132,0.01458606400791375
subj04,ventral,behavior,IN,0.013368351669969901,-0.009476898632051959,-0.004245332386517503,-0.14289636941160627,-0.2746748277644097,-0.11075101094615081
subj04,ventral,behavior,OUT,-0.00951549875665274,0.0017654003465790368,-0.0059956757910011775,-0.18877930807596974,-0.3152692295384063,0.0036851148677069525
subj05,ventral,anatomy,IN,0.012489413910825269,0.01592144727619452,-0.014503823014725489,-0.1448296917010132,-0.27212253673584214,0.2053436814733435
subj05,ventral,anatomy,OUT,0.015703939082787624,0.03062000737615549,-0.07249213025461418,-0.22824689279963328,-0.3619011431187075,0.05443225945780875
subj05,ventral,behavior,IN,-0.00046824238625104916,4.77958206972183e-05,-0.00036797929252862144,-0.10647550178056937,-0.2005229243642125,0.025381709151928684
subj05,ventral,behavior,OUT,-0.0008302470898361504,0.0398126562511591,-0.002678817996851999,-0.12820988306306724,-0.20220259141273123,0.0694574826109251
subj06,ventral,anatomy,IN,-0.0031257102119433763,-0.005848521961802079,-0.0042187339336599945,-0.11390274134290272,-0.19208681822042295,-0.042638305020167216
subj06,ventral,anatomy,OUT,0.01053833636424102,0.010954979376517784,-0.028884125048029324,-0.13017024973434335,-0.17502853105837282,0.02845061140397755
subj06,ventral,behavior,IN,-0.0015708551096305062,-0.004983675827585857,0.03356606835984788,-0.07677478203594722,-0.12899907368189165,-0.045165440953139784
subj06,ventral,behavior,OUT,-0.0026978971224804805,0.0004198713865098875,0.05472060907164287,-0.05839288941411778,-0.07807188613701053,0.000719977714036275
subj07,ventral,anatomy,IN,0.014121067202162043,0.01030941212277559,0.013748106655547654,-0.06059764743577359,-0.10042389890537305,0.05636938145899128
subj07,ventral,anatomy,OUT,-0.01386686673545127,0.0018038734530605547,0.03558297120409466,-0.0523008938332537,-0.06683201069229112,0.003538052183634753
subj07,ventral,behavior,IN,-0.021031670809685554,-0.019524770694708416,0.003155340131404514,-0.08013394681605766,-0.13264510165204377,-0.10706361518547729
subj07,ventral,behavior,OUT,0.02088267063179801,0.02795399392114142,-0.016515270688639037,-0.10243179670466433,-0.13286552853853872,0.0577826701525194
subj08,ventral,anatomy,IN,0.0008628986980835831,-0.010715459969594873,-0.006394870419424603,-0.08266550732019541,-0.14886821888014617,-0.12495489488047291
subj08,ventral,anatomy,OUT,-0.00012055775006823034,0.006994405846376729,0.0011039457159371286,-0.11066539886665976,-0.19506673981419978,0.026361174911977998
subj08,ventral,behavior,IN,-0.004743045361661713,-0.012311281055441561,-0.0020302236866916825,-0.11238273279735904,-0.20209481934279336,-0.12829829475403873
subj08,ventral,behavior,OUT,-0.0001319019884978111,0.002154752288994256,-0.07197773974178008,-0.2465032418815003,-0.4343016730521079,0.008526665776382676
subj01,lateral,anatomy,IN,-0.0019780600544302175,0.0032929735629425756,-0.0014544274927053753,-0.17708256775651324,-0.3906057611103744,0.06216742280937942
subj01,lateral,anatomy,OUT,0.0005431247419738871,-0.0008616847644996869,0.018736424748853283,-0.07843411418389167,-0.12330110313721308,-0.0011765727399840713
subj01,lateral,behavior,IN,-0.006787159845974135,0.006710159514167475,0.009681007324037575,-0.191040523127857,-0.4210965889965442,0.10703208497738355
subj01,lateral,behavior,OUT,-0.0003420807585780594,-0.0025108237954060988,0.09094650781656655,-0.06271245331517485,-0.09870990438657233,-0.004154138903706888
subj02,lateral,anatomy,IN,0.0001225957976329258,0.00921921690928596,0.02384921255906372,-0.17571984103022828,-0.3708949587841801,0.12830669302546824
subj02,lateral,anatomy,OUT,-0.0002521459784472469,0.0017216195703000725,-0.010599190649254873,-0.17972129657576763,-0.2848739899123778,0.0034644389484870405
