subject,roi,family,feature,z
subj01,ventral,anatomy,f1,-0.5146472962764492
subj01,ventral,anatomy,f2,1.6053570879631558
subj01,ventral,behavior,f1,0.3148815429685061
subj01,ventral,behavior,f2,-1.2560283763595759
subj02,ventral,anatomy,f1,0.6954600665476305
subj02,ventral,anatomy,f2,-0.3307328241699286
subj02,ventral,behavior,f1,1.0484471979794265
subj02,ventral,behavior,f2,-1.300272008021386
subj03,ventral,anatomy,f1,0.26013361228187093
subj03,ventral,anatomy,f2,0.14762596072885023
subj03,ventral,behavior,f1,-2.1518053365087697
subj03,ventral,behavior,f2,0.41247686399186373
subj04,ventral,anatomy,f1,0.12934530811248113
subj04,ventral,anatomy,f2,-2.6570972001711595
subj04,ventral,behavior,f1,1.530114815814169
subj04,ventral,behavior,f2,0.8713627973296236
subj05,ventral,anatomy,f1,-1.9051440345543982
subj05,ventral,anatomy,f2,0.948131221677302
subj05,ventral,behavior,f1,0.05581102968972527
subj05,ventral,behavior,f2,0.056980125918936975
subj06,ventral,anatomy,f1,2.7447022024844716
subj06,ventral,anatomy,f2,1.1032776522834298
subj06,ventral,behavior,f1,1.153384852976121
subj06,ventral,behavior,f2,1.9303464124727399
subj07,ventral,anatomy,f1,-1.529954693589915
subj07,ventral,anatomy,f2,-1.3302155160214977
subj07,ventral,behavior,f1,-1.3665152559085532
subj07,ventral,behavior,f2,0.9675887257432143
subj08,ventral,anatomy,f1,0.4028518677767709
subj08,ventral,anatomy,f2,-0.001571624496101196
subj08,ventral,behavior,f1,-0.8598278918027171
subj08,ventral,behavior,f2,-1.7342149715113573
subj01,lateral,anatomy,f1,-0.06527270667340722
subj01,lateral,anatomy,f2,0.44312938066265006
subj01,lateral,behavior,f1,0.3148815429685061
subj01,lateral,behavior,f2,-1.2560283763595759
subj02,lateral,anatomy,f1,-1.0618118559333356
subj02,lateral,anatomy,f2,0.28069688588399483
subj02,lateral,behavior,f1,1.0484471979794265
subj02,lateral,behavior,f2,-1.300272008021386
subj03,lateral,anatomy,f1,1.4725623477963465
subj03,lateral,anatomy,f2,0.03718220221514309
subj03,lateral,behavior,f1,-2.1518053365087697
subj03,lateral,behavior,f2,0.41247686399186373
subj04,lateral,anatomy,f1,-0.030300286745282817
subj04,lateral,anatomy,f2,-3.02488744275759
subj04,lateral,behavior,f1,1.530114815814169
subj04,lateral,behavior,f2,0.8713627973296236
subj05,lateral,anatomy,f1,-0.981675324803499
subj05,lateral,anatomy,f2,-0.03528645269314846
subj05,lateral,behavior,f1,0.05581102968972527
subj05,lateral,behavior,f2,0.056980125918936975
subj06,lateral,anatomy,f1,1.6325069153086147
subj06,lateral,anatomy,f2,1.2689789340434237
subj06,lateral,behavior,f1,1.153384852976121
subj06,lateral,behavior,f2,1.9303464124727399
subj07,lateral,anatomy,f1,-2.0189251123020635
subj07,lateral,anatomy,f2,-1.2970436166313872
subj07,lateral,behavior,f1,-1.3665152559085532
subj07,lateral,behavior,f2,0.9675887257432143
subj08,lateral,anatomy,f1,0.9969293411157085
subj08,lateral,anatomy,f2,1.5631990519572818
subj08,lateral,behavior,f1,-0.8598278918027171
subj08,lateral,behavior,f2,-1.7342149715113573
