subject,roi,family,donor,weight
subj01,ventral,anatomy,subj02,0.0
subj01,ventral,anatomy,subj03,0.0
subj01,ventral,anatomy,subj04,0.0
subj01,ventral,anatomy,subj05,0.6915245355965979
subj01,ventral,anatomy,subj06,0.30847546440340207
subj01,ventral,anatomy,subj07,0.0
subj01,ventral,anatomy,subj08,0.0
subj01,ventral,behavior,subj02,0.5595269148388996
subj01,ventral,behavior,subj03,0.0
subj01,ventral,behavior,subj04,0.03691628008254216
subj01,ventral,behavior,subj05,0.05144766902141318
subj01,ventral,behavior,subj06,0.0
subj01,ventral,behavior,subj07,0.0
subj01,ventral,behavior,subj08,0.35210913605714506
subj02,ventral,anatomy,subj01,0.0
subj02,ventral,anatomy,subj03,0.1521254835345281
subj02,ventral,anatomy,subj04,0.307974242582257
subj02,ventral,anatomy,subj05,0.0
subj02,ventral,anatomy,subj06,0.3027844191596299
subj02,ventral,anatomy,subj07,0.05435736580959195
subj02,ventral,anatomy,subj08,0.1827584889139932
subj02,ventral,behavior,subj01,0.8814981856008587
subj02,ventral,behavior,subj03,0.0
subj02,ventral,behavior,subj04,0.11850181439914133
subj02,ventral,behavior,subj05,0.0
subj02,ventral,behavior,subj06,0.0
subj02,ventral,behavior,subj07,0.0
subj02,ventral,behavior,subj08,0.0
subj03,ventral,anatomy,subj01,0.14952750623050387
subj03,ventral,anatomy,subj02,0.16030051918365285
subj03,ventral,anatomy,subj04,0.11935698385382867
subj03,ventral,anatomy,subj05,0.1088696014762212
subj03,ventral,anatomy,subj06,0.22063091401830023
subj03,ventral,anatomy,subj07,0.08468105160033229
subj03,ventral,anatomy,subj08,0.156633423637161
subj03,ventral,behavior,subj01,0.0
subj03,ventral,behavior,subj02,0.0
subj03,ventral,behavior,subj04,0.0
subj03,ventral,behavior,subj05,0.0
subj03,ventral,behavior,subj06,0.0
subj03,ventral,behavior,subj07,0.8479247001885912
subj03,ventral,behavior,subj08,0.15207529981140883
subj04,ventral,anatomy,subj01,0.0
subj04,ventral,anatomy,subj02,0.32150108473406114
subj04,ventral,anatomy,subj03,0.0
subj04,ventral,anatomy,subj05,0.0
subj04,ventral,anatomy,subj06,0.0
subj04,ventral,anatomy,subj07,0.6784989152659389
subj04,ventral,anatomy,subj08,0.0
subj04,ventral,behavior,subj01,0.0
subj04,ventral,behavior,subj02,0.2704812753709481
subj04,ventral,behavior,subj03,0.0
subj04,ventral,behavior,subj05,0.0
subj04,ventral,behavior,subj06,0.729518724629052
subj04,ventral,behavior,subj07,0.0
subj04,ventral,behavior,subj08,0.0
subj05,ventral,anatomy,subj01,0.6783283909641982
subj05,ventral,anatomy,subj02,0.0
subj05,ventral,anatomy,subj03,0.0
subj05,ventral,anatomy,subj04,0.0
subj05,ventral,anatomy,subj06,0.0
subj05,ventral,anatomy,subj07,0.3216716090358017
subj05,ventral,anatomy,subj08,0.0
subj05,ventral,behavior,subj01,0.13737490083652604
subj05,ventral,behavior,subj02,0.1414916886725124
subj05,ventral,behavior,subj03,0.13458189790953837
subj05,ventral,behavior,subj04,0.15719979042045182
subj05,ventral,behavior,subj06,0.16045316196515508
subj05,ventral,behavior,subj07,0.1410684937651363
subj05,ventral,behavior,subj08,0.1278300664306799
subj06,ventral,anatomy,subj01,0.0
subj06,ventral,anatomy,subj02,1.0
subj06,ventral,anatomy,subj03,0.0
subj06,ventral,anatomy,subj04,0.0
subj06,ventral,anatomy,subj05,0.0
subj06,ventral,anatomy,subj07,0.0
subj06,ventral,anatomy,subj08,0.0
subj06,ventral,behavior,subj01,0.0
subj06,ventral,behavior,subj02,0.0
subj06,ventral,behavior,subj03,0.0
subj06,ventral,behavior,subj04,0.880385055115637
subj06,ventral,behavior,subj05,0.0
subj06,ventral,behavior,subj07,0.11961494488436299
subj06,ventral,behavior,subj08,0.0
subj07,ventral,anatomy,subj01,0.0
subj07,ventral,anatomy,subj02,0.0
subj07,ventral,anatomy,subj03,0.0
subj07,ventral,anatomy,subj04,0.5736500134239312
subj07,ventral,anatomy,subj05,0.42634998657606876
subj07,ventral,anatomy,subj06,0.0
subj07,ventral,anatomy,subj08,0.0
subj07,ventral,behavior,subj01,0.0
subj07,ventral,behavior,subj02,0.0
subj07,ventral,behavior,subj03,0.7906283516479773
subj07,ventral,behavior,subj04,0.0
subj07,ventral,behavior,subj05,0.0
subj07,ventral,behavior,subj06,0.20937164835202265
subj07,ventral,behavior,subj08,0.0
subj08,ventral,anatomy,subj01,0.11084465948805362
subj08,ventral,anatomy,subj02,0.18274061288474597
subj08,ventral,anatomy,subj03,0.15824302207940308
