subject,roi,family,component,removed_donor,SIM_full,SIM_loo,dSIM,R_full,R_loo,dR
subj01,ventral,anatomy,IN,subj02,0.31332301280041347,0.31332301280041347,0.0,0.057236792442401714,0.057236792442401714,0.0
subj01,ventral,anatomy,IN,subj03,0.31332301280041347,0.31332301280041347,0.0,0.057236792442401714,0.057236792442401714,0.0
subj01,ventral,anatomy,IN,subj04,0.31332301280041347,0.31332301280041347,0.0,0.057236792442401714,0.057236792442401714,0.0
subj01,ventral,anatomy,IN,subj05,0.31332301280041347,0.3413338379030411,0.028010825102627646,0.057236792442401714,0.06314607966036366,0.005909287217961946
subj01,ventral,anatomy,IN,subj06,0.31332301280041347,0.33271742201119375,0.019394409210780283,0.057236792442401714,0.061269159058323114,0.0040323666159214
subj01,ventral,anatomy,IN,subj07,0.31332301280041347,0.31332301280041347,0.0,0.057236792442401714,0.057236792442401714,0.0
subj01,ventral,anatomy,IN,subj08,0.31332301280041347,0.31332301280041347,0.0,0.057236792442401714,0.057236792442401714,0.0
subj01,ventral,anatomy,OUT,subj02,0.10808753312524311,0.10808753312524311,0.0,0.0050590526906990375,0.0050590526906990375,0.0
subj01,ventral,anatomy,OUT,subj03,0.10808753312524311,0.10808753312524311,0.0,0.0050590526906990375,0.0050590526906990375,0.0
subj01,ventral,anatomy,OUT,subj04,0.10808753312524311,0.10808753312524311,0.0,0.0050590526906990375,0.0050590526906990375,0.0
subj01,ventral,anatomy,OUT,subj05,0.10808753312524311,0.08705433073231476,-0.021033202392928343,0.0050590526906990375,0.008788954546741437,0.003729901856042399
subj01,ventral,anatomy,OUT,subj06,0.10808753312524311,0.11229643342456154,0.004208900299318433,0.0050590526906990375,0.003997715676778777,-0.0010613370139202606
subj01,ventral,anatomy,OUT,subj07,0.10808753312524311,0.10808753312524311,0.0,0.0050590526906990375,0.0050590526906990375,0.0
subj01,ventral,anatomy,OUT,subj08,0.10808753312524311,0.10808753312524311,0.0,0.0050590526906990375,0.0050590526906990375,0.0
subj01,ventral,behavior,IN,subj02,0.33536647180461815,0.3299584409327579,-0.005408030871860259,0.06218590814782635,0.06861154775048466,0.006425639602658302
subj01,ventral,behavior,IN,subj03,0.33536647180461815,0.33536647180461815,0.0,0.06218590814782635,0.06218590814782635,0.0
