subj_i,subj_j,roi,component,anatomy_dist,behavior_dist,geometry_dist
subj01,subj02,ventral,IN,1866.5985950099227,0.153923842477655,0.6337391261033684
subj01,subj03,ventral,IN,1208.997530054997,0.6805734137467698,0.6250658578680113
subj01,subj04,ventral,IN,1003.9158377846932,0.6763520244024503,0.626132569230002
subj01,subj05,ventral,IN,1696.175201458187,0.3899115421288742,0.6453253400326185
subj01,subj06,ventral,IN,3911.2338651090363,0.8941425570244531,0.6949999448590396
subj01,subj07,ventral,IN,1325.8720770283876,0.7488352087543266,0.6832794424359817
subj01,subj08,ventral,IN,1429.8065642958256,0.28086560003823824,0.6620300234403927
subj02,subj03,ventral,IN,657.6010650829003,0.8000403460186594,0.6291012579256331
subj02,subj04,ventral,IN,862.6827964244286,0.6496433722398914,0.6154548918085178
subj02,subj05,ventral,IN,3562.7737923295704,0.44952708003873887,0.6361718475168139
subj02,subj06,ventral,IN,2044.6352778288315,0.8881683198556285,0.6869989204037578
subj02,subj07,ventral,IN,3192.4706517544196,0.8409459163691932,0.6711244555321064
subj02,subj08,ventral,IN,436.79203076930685,0.4245270900405916,0.6345941983043917
subj03,subj04,ventral,IN,205.08178958209328,0.7138157242736872,0.614243355873777
subj03,subj05,ventral,IN,2905.1727276112492,0.42047526419826275,0.6146603171771726
subj03,subj06,ventral,IN,2702.2363399018695,0.7415654080041314,0.6571378120574869
subj03,subj07,ventral,IN,2534.8695892643427,0.19632138204782723,0.667739196769459
subj03,subj08,ventral,IN,220.80903431609707,0.6370175300968565,0.6253240077272347
subj04,subj05,ventral,IN,2700.0910133622738,0.38594646042281894,0.5972546803675253
subj04,subj06,ventral,IN,2907.318071503323,0.2518281860642918,0.6602852261868556
subj04,subj07,ventral,IN,2329.7878647247717,0.5909007879293959,0.6751410614351707
subj04,subj08,ventral,IN,425.89078464105427,0.8907722887312601,0.637036430745871
subj05,subj06,ventral,IN,5607.409066009313,0.5437555034452703,0.6617376913216652
subj05,subj07,ventral,IN,370.3031775389191,0.40284631713722474,0.6685898595306594
subj05,subj08,ventral,IN,3125.9817618156467,0.5308045522870826,0.6413068633746629
subj06,subj07,ventral,IN,5237.105928989641,0.5696739751129735,0.7072754518316225
subj06,subj08,ventral,IN,2481.4273063426654,1.0742008489170243,0.7010640361977143
subj07,subj08,ventral,IN,2755.6786226488557,0.7714735132169809,0.6834025894264341
