subject,roi,roi_voxel_count,median_ncsnr
subj01,ventral,153,0.6940869092941284
subj02,ventral,164,0.780602753162384
subj03,ventral,164,0.6462083160877228
subj04,ventral,153,0.6123738288879395
subj05,ventral,133,0.790571928024292
subj06,ventral,194,0.6701319813728333
subj07,ventral,131,0.5843671560287476
subj08,ventral,167,0.5262854099273682
subj01,lateral,156,0.9295280277729034
subj02,lateral,136,0.8989592790603638
subj03,lateral,172,0.6855380833148956
subj04,lateral,143,0.7356869578361511
subj05,lateral,141,0.9758122563362122
subj06,lateral,181,0.6256039142608643
subj07,lateral,123,0.6412671208381653
subj08,lateral,174,0.4719371199607849
