subject,roi,M,T,fold,SCHEDULE_COVERAGE_FOLD
subj01,ventral,2,1,0,0.0
subj01,ventral,2,1,1,0.06
subj01,ventral,2,1,2,0.025
subj01,ventral,2,1,3,0.04
subj01,ventral,2,1,4,0.055
subj01,ventral,2,1,5,0.035
subj01,ventral,2,2,0,0.015714285714285715
subj01,ventral,2,2,1,0.2714285714285714
subj01,ventral,2,2,2,0.15571428571428572
subj01,ventral,2,2,3,0.2042857142857143
subj01,ventral,2,2,4,0.21
subj01,ventral,2,2,5,0.28285714285714286
subj01,ventral,4,1,0,0.0225
subj01,ventral,4,1,1,0.2975
subj01,ventral,4,1,2,0.23375
subj01,ventral,4,1,3,0.22375
subj01,ventral,4,1,4,0.275
subj01,ventral,4,1,5,0.29
subj01,ventral,6,1,0,0.2075
subj01,ventral,6,1,1,0.52625
subj01,ventral,6,1,2,0.46125
subj01,ventral,6,1,3,0.4475
subj01,ventral,6,1,4,0.5325
subj01,ventral,6,1,5,0.655
subj01,ventral,2,4,0,0.284
subj01,ventral,2,4,1,0.7474285714285714
subj01,ventral,2,4,2,0.5582857142857143
subj01,ventral,2,4,3,0.5737142857142857
subj01,ventral,2,4,4,0.6285714285714286
subj01,ventral,2,4,5,0.7417142857142857
subj01,ventral,4,2,0,0.3707142857142857
subj01,ventral,4,2,1,0.7457142857142857
subj01,ventral,4,2,2,0.6092857142857143
subj01,ventral,4,2,3,0.58
subj01,ventral,4,2,4,0.705
subj01,ventral,4,2,5,0.7939285714285714
subj01,ventral,8,1,0,0.395
subj01,ventral,8,1,1,0.63
subj01,ventral,8,1,2,0.58
subj01,ventral,8,1,3,0.54
subj01,ventral,8,1,4,0.63
subj01,ventral,8,1,5,0.81
subj01,ventral,10,8,0,1.0
subj01,ventral,10,8,1,1.0
subj01,ventral,10,8,2,1.0
subj01,ventral,10,8,3,1.0
subj01,ventral,10,8,4,1.0
subj01,ventral,10,8,5,1.0
subj02,ventral,2,1,0,0.045
subj02,ventral,2,1,1,0.005
subj02,ventral,2,1,2,0.005
subj02,ventral,2,1,3,0.185
subj02,ventral,2,1,4,0.015
subj02,ventral,2,1,5,0.09
subj02,ventral,2,2,0,0.2057142857142857
subj02,ventral,2,2,1,0.04857142857142857
subj02,ventral,2,2,2,0.06714285714285714
subj02,ventral,2,2,3,0.5128571428571429
subj02,ventral,2,2,4,0.1957142857142857
subj02,ventral,2,2,5,0.22428571428571428
subj02,ventral,4,1,0,0.2425
subj02,ventral,4,1,1,0.0375
subj02,ventral,4,1,2,0.085
subj02,ventral,4,1,3,0.5075
subj02,ventral,4,1,4,0.29125
subj02,ventral,4,1,5,0.27
subj02,ventral,6,1,0,0.49125
subj02,ventral,6,1,1,0.115
subj02,ventral,6,1,2,0.38375
subj02,ventral,6,1,3,0.7675
subj02,ventral,6,1,4,0.75125
subj02,ventral,6,1,5,0.58875
subj02,ventral,2,4,0,0.6428571428571429
subj02,ventral,2,4,1,0.19657142857142856
subj02,ventral,2,4,2,0.30857142857142855
subj02,ventral,2,4,3,0.8674285714285714
subj02,ventral,2,4,4,0.7897142857142857
subj02,ventral,2,4,5,0.648
subj02,ventral,4,2,0,0.7132142857142857
subj02,ventral,4,2,1,0.22428571428571428
subj02,ventral,4,2,2,0.4282142857142857
subj02,ventral,4,2,3,0.8828571428571429
subj02,ventral,4,2,4,0.8542857142857143
subj02,ventral,4,2,5,0.7289285714285715
subj02,ventral,8,1,0,0.64
subj02,ventral,8,1,1,0.14
subj02,ventral,8,1,2,0.54
subj02,ventral,8,1,3,0.895
subj02,ventral,8,1,4,0.855
subj02,ventral,8,1,5,0.81
subj02,ventral,10,8,0,1.0
subj02,ventral,10,8,1,1.0
subj02,ventral,10,8,2,1.0
subj02,ventral,10,8,3,1.0
subj02,ventral,10,8,4,1.0
subj02,ventral,10,8,5,1.0
subj03,ventral,2,1,0,0.035
subj03,ventral,2,1,1,0.0
subj03,ventral,2,1,2,0.045
subj03,ventral,2,1,3,0.045
subj03,ventral,2,1,4,0.085
subj03,ventral,2,1,5,0.115
subj03,ventral,2,2,0,0.18142857142857144
subj03,ventral,2,2,1,0.19428571428571428
subj03,ventral,2,2,2,0.39285714285714285
subj03,ventral,2,2,3,0.3142857142857143
subj03,ventral,2,2,4,0.39
subj03,ventral,2,2,5,0.4157142857142857
subj03,ventral,4,1,0,0.1525
subj03,ventral,4,1,1,0.2225
subj03,ventral,4,1,2,0.415
subj03,ventral,4,1,3,0.29875
subj03,ventral,4,1,4,0.4575
subj03,ventral,4,1,5,0.425
subj03,ventral,6,1,0,0.43
subj03,ventral,6,1,1,0.48125
subj03,ventral,6,1,2,0.85875
subj03,ventral,6,1,3,0.62875
subj03,ventral,6,1,4,0.71875
subj03,ventral,6,1,5,0.70125
subj03,ventral,2,4,0,0.6457142857142857
subj03,ventral,2,4,1,0.6777142857142857
subj03,ventral,2,4,2,0.8685714285714285
subj03,ventral,2,4,3,0.8268571428571428
subj03,ventral,2,4,4,0.8548571428571429
subj03,ventral,2,4,5,0.852
subj03,ventral,4,2,0,0.7057142857142857
subj03,ventral,4,2,1,0.6971428571428572
subj03,ventral,4,2,2,0.9467857142857142
subj03,ventral,4,2,3,0.8710714285714286
subj03,ventral,4,2,4,0.8828571428571429
subj03,ventral,4,2,5,0.8882142857142857
subj03,ventral,8,1,0,0.665
subj03,ventral,8,1,1,0.655
subj03,ventral,8,1,2,0.985
subj03,ventral,8,1,3,0.76
subj03,ventral,8,1,4,0.82
subj03,ventral,8,1,5,0.78
subj03,ventral,10,8,0,1.0
subj03,ventral,10,8,1,1.0
subj03,ventral,10,8,2,1.0
subj03,ventral,10,8,3,1.0
subj03,ventral,10,8,4,1.0
subj03,ventral,10,8,5,1.0
subj04,ventral,2,1,0,0.145
subj04,ventral,2,1,1,0.0
subj04,ventral,2,1,2,0.065
subj04,ventral,2,1,3,0.04
subj04,ventral,2,1,4,0.025
subj04,ventral,2,1,5,0.05
subj04,ventral,2,2,0,0.33
subj04,ventral,2,2,1,0.037142857142857144
subj04,ventral,2,2,2,0.37857142857142856
subj04,ventral,2,2,3,0.19857142857142857
subj04,ventral,2,2,4,0.21428571428571427
subj04,ventral,2,2,5,0.26285714285714284
subj04,ventral,4,1,0,0.4475
subj04,ventral,4,1,1,0.04375
subj04,ventral,4,1,2,0.40875
subj04,ventral,4,1,3,0.265
subj04,ventral,4,1,4,0.25
subj04,ventral,4,1,5,0.3175
subj04,ventral,6,1,0,0.6075
subj04,ventral,6,1,1,0.2925
subj04,ventral,6,1,2,0.65125
subj04,ventral,6,1,3,0.5775
subj04,ventral,6,1,4,0.5925
subj04,ventral,6,1,5,0.5875
subj04,ventral,2,4,0,0.7005714285714286
subj04,ventral,2,4,1,0.32971428571428574
subj04,ventral,2,4,2,0.8285714285714286
subj04,ventral,2,4,3,0.7057142857142857
subj04,ventral,2,4,4,0.6188571428571429
subj04,ventral,2,4,5,0.6988571428571428
