subject,roi,M,T,F_ID,F_REPEAT,F_INTERACTION
subj01,ventral,2,1,0.0919036542762378,0.33761431217399424,0.5704820335497679
subj01,ventral,2,2,0.18752023059187561,0.29694961095647254,0.5155301584516518
subj01,ventral,4,1,0.0619855351831833,0.5313549360807374,0.40665952873607886
subj01,ventral,6,1,0.04166153662681095,0.6916617193584828,0.26667674401470637
subj01,ventral,2,4,0.4087374761620624,0.20239604330585625,0.3888664805320814
subj01,ventral,4,2,0.10541725265141848,0.5190786766661609,0.37550407068242064
subj01,ventral,8,1,0.02170590420126099,0.8334314378199613,0.14486265797877743
subj01,ventral,10,8,nan,nan,nan
subj02,ventral,2,1,0.12693258836300156,0.32322329007138273,0.5498441215656157
subj02,ventral,2,2,0.24749431566281055,0.2624461045679125,0.4900595797692769
subj02,ventral,4,1,0.08717531602807772,0.5195542126491752,0.39327047132274706
subj02,ventral,6,1,0.05689077564775474,0.670146871297672,0.2729623530545733
subj02,ventral,2,4,0.5052170000625081,0.1547262681343041,0.34005673180318774
subj02,ventral,4,2,0.1449739555335803,0.4748132822414251,0.3802127622249946
subj02,ventral,8,1,0.028791311395788163,0.8204254748687304,0.15078321373548081
subj02,ventral,10,8,nan,nan,nan
subj03,ventral,2,1,0.1335964499530383,0.20644605015068018,0.6599574998962815
subj03,ventral,2,2,0.25143768506898373,0.17811990597697624,0.5704424089540401
subj03,ventral,4,1,0.10006868281997695,0.38586339277375964,0.5140679244062636
subj03,ventral,6,1,0.06876722533166629,0.5885429754605807,0.3426897992077527
subj03,ventral,2,4,0.4591570725015208,0.1290955112607965,0.41174741623768263
subj03,ventral,4,2,0.1591153777675364,0.3704805109335007,0.47040411129896315
subj03,ventral,8,1,0.030392220406825942,0.7874118476824413,0.18219593191073258
subj03,ventral,10,8,nan,nan,nan
subj04,ventral,2,1,0.07489137001491027,0.3350208511711685,0.5900877788139213
subj04,ventral,2,2,0.14900370036807456,0.2770118473417538,0.5739844522901715
subj04,ventral,4,1,0.05612442581203849,0.5265014696886342,0.41737410449932755
subj04,ventral,6,1,0.04307289079110483,0.6819752644862103,0.27495184472268475
subj04,ventral,2,4,0.3588801144997959,0.18054157936913176,0.46057830613107237
subj04,ventral,4,2,0.08012661906430511,0.4718455415140646,0.44802783942163016
subj04,ventral,8,1,0.028010613288099385,0.8080897286023352,0.16389965810956553
subj04,ventral,10,8,nan,nan,nan
subj05,ventral,2,1,0.12332045856201009,0.2843504762808054,0.5923290651571845
subj05,ventral,2,2,0.20836305375994568,0.22762953992950788,0.5640074063105466
subj05,ventral,4,1,0.0880660830673966,0.4756215944206994,0.4363123225119038
subj05,ventral,6,1,0.056177008929109894,0.6574079129251857,0.28641507814570444
subj05,ventral,2,4,0.3637954866155346,0.1616347533620032,0.4745697600224619
subj05,ventral,4,2,0.12170813365929754,0.43505706488840673,0.44323480145229593
subj05,ventral,8,1,0.02734634808774357,0.8228314935800937,0.14982215833216286
subj05,ventral,10,8,nan,nan,nan
subj06,ventral,2,1,0.11733972375664303,0.2750894985935246,0.6075707776498324
subj06,ventral,2,2,0.23921816357526193,0.21262232217578494,0.548159514248953
subj06,ventral,4,1,0.08358131575719367,0.498314429051716,0.41810425519109007
