roi,identity_subset_idx,median_TOTAL,median_coverage
ventral,0,0.5759913724724784,0.6964285714285714
ventral,1,0.5967668416678035,0.7916666666666666
ventral,2,0.5889756193852358,0.7291666666666667
ventral,3,0.5931262428267856,0.7291666666666667
ventral,4,0.5830352162671737,0.6904761904761905
ventral,5,0.586396553341735,0.6607142857142857
ventral,6,0.5754575849490959,0.6815476190476191
ventral,7,0.5964120410291378,0.7529761904761905
ventral,8,0.5916960593221243,0.7410714285714286
ventral,9,0.5910184023207974,0.75
ventral,10,0.5691885877234948,0.6696428571428572
ventral,11,0.5804628398668832,0.7440476190476191
ventral,12,0.5760807974287846,0.7053571428571429
ventral,13,0.5840804721280455,0.7380952380952381
ventral,14,0.580908291652199,0.6874999999999999
ventral,15,0.581931875601035,0.699404761904762
ventral,16,0.5787014061847886,0.7232142857142858
ventral,17,0.5876790347422303,0.7202380952380953
ventral,18,0.5917669080711445,0.75
ventral,19,0.5822713804347905,0.7291666666666667
ventral,20,0.5669091531616454,0.6488095238095237
ventral,21,0.5864343098407947,0.7321428571428572
ventral,22,0.5783391641564091,0.6994047619047619
ventral,23,0.5872231154509181,0.7291666666666667
ventral,24,0.5785964180571698,0.6726190476190476
ventral,25,0.5767981138663711,0.6636904761904762
ventral,26,0.5711659322052052,0.675595238095238
ventral,27,0.5831842904569038,0.6904761904761906
ventral,28,0.5890193485628757,0.738095238095238
ventral,29,0.5768837272834766,0.699404761904762
ventral,30,0.5567181930610376,0.6398809523809523
ventral,31,0.5711830158116113,0.6994047619047619
ventral,32,0.5713828893293494,0.6785714285714286
ventral,33,0.5787213054569285,0.7023809523809523
ventral,34,0.5628227775162152,0.6785714285714286
ventral,35,0.5564486225576086,0.6369047619047619
ventral,36,0.5654275761618168,0.6607142857142858
ventral,37,0.57710487283246,0.7083333333333333
ventral,38,0.5825331582466347,0.7380952380952381
ventral,39,0.5678465828954872,0.6845238095238096
ventral,40,0.5734551339531313,0.6607142857142857
ventral,41,0.5915247356385206,0.7142857142857142
ventral,42,0.5852894393621808,0.6904761904761905
ventral,43,0.5792978185196744,0.7261904761904763
ventral,44,0.5731252012526105,0.6696428571428572
ventral,45,0.5813076705834999,0.7142857142857142
ventral,46,0.577981017871403,0.6815476190476191
ventral,47,0.5895254786814059,0.7232142857142858
ventral,48,0.5933021587726017,0.7202380952380953
ventral,49,0.5918287639291631,0.7023809523809523
ventral,50,0.5638058313901346,0.6577380952380952
ventral,51,0.5873398061308082,0.7291666666666665
ventral,52,0.5789128005222468,0.675595238095238
ventral,53,0.581684519493625,0.6964285714285714
ventral,54,0.5752962745143757,0.6577380952380951
ventral,55,0.574677724517458,0.6458333333333334
ventral,56,0.5689063452474068,0.625
ventral,57,0.584878275022901,0.7083333333333334
ventral,58,0.5814879334116447,0.6934523809523809
ventral,59,0.5812936373914126,0.675595238095238
ventral,60,0.5545495620226637,0.6160714285714286
ventral,61,0.577226674019921,0.7351190476190474
ventral,62,0.5629950900816822,0.6488095238095237
ventral,63,0.5720341048086346,0.6785714285714286
ventral,64,0.5690476712069887,0.6696428571428571
ventral,65,0.5593680957492282,0.6220238095238095
ventral,66,0.5561757933980027,0.6101190476190476
ventral,67,0.5755449631752073,0.6875
ventral,68,0.5757311923436932,0.681547619047619
ventral,69,0.5660653171179728,0.6458333333333333
ventral,70,0.5583951949640155,0.6369047619047619
ventral,71,0.5776000417965024,0.7023809523809523
ventral,72,0.566244670088832,0.6636904761904762
ventral,73,0.5651803918387672,0.6845238095238095
ventral,74,0.5624225609019027,0.6339285714285714
ventral,75,0.56629539661029,0.6339285714285714
ventral,76,0.5658657593730393,0.6369047619047619
ventral,77,0.574861693517032,0.6845238095238095
ventral,78,0.5828081066198949,0.6845238095238095
ventral,79,0.5708074962657583,0.6488095238095237
ventral,80,0.5425144488963229,0.6011904761904763
ventral,81,0.5614847953819687,0.6488095238095238
ventral,82,0.5455804789881431,0.625
ventral,83,0.5559704202165265,0.6458333333333333
ventral,84,0.5550828028689558,0.6071428571428572
ventral,85,0.5454035261029551,0.5922619047619048
ventral,86,0.5530326539544091,0.625
ventral,87,0.5602689361266922,0.6428571428571429
ventral,88,0.5683592494067198,0.6904761904761905
ventral,89,0.553477179920581,0.6190476190476191
ventral,90,0.5332351427331221,0.6071428571428572
ventral,91,0.5597563601377225,0.6607142857142857
ventral,92,0.5441585139017664,0.6369047619047619
ventral,93,0.5606518201437455,0.6607142857142856
ventral,94,0.5471986698917539,0.5892857142857143
ventral,95,0.5310847812944754,0.5357142857142858
ventral,96,0.5394336010223282,0.5773809523809524
ventral,97,0.5541127129918585,0.625
ventral,98,0.5628795872625065,0.6428571428571428
ventral,99,0.5415453490367705,0.5982142857142857
