omitted_fold,roi,median_TOTAL,median_FCF,o2_9_sufficient
0,ventral,0.5716438122837862,0.5869396432556164,True
0,lateral,0.5289683593692338,0.5876725177626283,True
1,ventral,0.5803160733665855,0.6231304093865252,True
1,lateral,0.5373994356186189,0.5968664349080142,True
2,ventral,0.5675720858420648,0.5988850237316897,True
2,lateral,0.5445634223630329,0.5782225398832354,True
3,ventral,0.5735070582531934,0.5829350139981788,True
3,lateral,0.5274853060774031,0.5888543894300224,True
4,ventral,0.5690017971644465,0.596249968691878,True
4,lateral,0.532043425232612,0.5962285417156581,True
5,ventral,0.5642127317252684,0.5935128553903231,True
5,lateral,0.5314578233996055,0.6002121943486771,True
