omitted_subject,roi,median_TOTAL,median_coverage
subj01,ventral,0.5678673988914558,0.6740476190476189
subj01,lateral,0.5295281425471535,0.5782142857142857
subj02,ventral,0.5702067485674913,0.6740476190476189
subj02,lateral,0.5295281425471535,0.5782142857142857
subj03,ventral,0.5678673988914558,0.6386309523809525
subj03,lateral,0.5295281425471535,0.5782142857142857
subj04,ventral,0.5702067485674913,0.6386309523809525
subj04,lateral,0.5309186056443641,0.5805357142857143
subj05,ventral,0.5678673988914558,0.6386309523809525
subj05,lateral,0.5309186056443641,0.5805357142857143
subj06,ventral,0.5702067485674913,0.6740476190476189
subj06,lateral,0.5309186056443641,0.5805357142857143
subj07,ventral,0.5678673988914558,0.6386309523809525
subj07,lateral,0.5295281425471535,0.5782142857142857
subj08,ventral,0.5702067485674913,0.6740476190476189
subj08,lateral,0.5309186056443641,0.5805357142857143
