subject,roi,M,T,N,SCHEDULE_COVERAGE,cov_min_fold,cov_max_fold,cov_sd_fold,complete
subj01,ventral,2,1,2,0.035833333333333335,0.0,0.06,0.019878100736460937,1
subj01,ventral,2,2,4,0.18999999999999997,0.015714285714285715,0.28285714285714286,0.08888959750284443,1
subj01,ventral,4,1,4,0.22375,0.0225,0.2975,0.09403567585407856,1
subj01,ventral,6,1,6,0.4716666666666667,0.2075,0.655,0.13587231035874167,1
subj01,ventral,2,4,8,0.5889523809523809,0.284,0.7474285714285714,0.15502105774594369,1
subj01,ventral,4,2,8,0.6341071428571429,0.3707142857142857,0.7939285714285714,0.13901098516519705,1
subj01,ventral,8,1,8,0.5975,0.395,0.81,0.12375210435921215,1
subj01,ventral,10,8,80,1.0,1.0,1.0,0.0,1
subj02,ventral,2,1,2,0.057499999999999996,0.005,0.185,0.0642748006609122,1
subj02,ventral,2,2,4,0.20904761904761904,0.04857142857142857,0.5128571428571429,0.1519928092343744,1
subj02,ventral,4,1,4,0.2389583333333333,0.0375,0.5075,0.1528145946800312,1
subj02,ventral,6,1,6,0.51625,0.115,0.7675,0.22464439491486687,1
subj02,ventral,2,4,8,0.5755238095238094,0.19657142857142856,0.8674285714285714,0.243495724398712,1
subj02,ventral,4,2,8,0.6386309523809525,0.22428571428571428,0.8828571428571429,0.2365822239049258,1
subj02,ventral,8,1,8,0.6466666666666666,0.14,0.895,0.25816123299640137,1
subj02,ventral,10,8,80,1.0,1.0,1.0,0.0,1
subj03,ventral,2,1,2,0.05416666666666667,0.0,0.115,0.03678956675774019,1
subj03,ventral,2,2,4,0.31476190476190474,0.18142857142857144,0.4157142857142857,0.09508201496161615,1
subj03,ventral,4,1,4,0.3285416666666667,0.1525,0.4575,0.11293991919256106,1
subj03,ventral,6,1,6,0.6364583333333333,0.43,0.85875,0.14557790130106363,1
subj03,ventral,2,4,8,0.7876190476190477,0.6457142857142857,0.8685714285714285,0.09034637303279754,1
subj03,ventral,4,2,8,0.8319642857142857,0.6971428571428572,0.9467857142857142,0.09537937809246881,1
subj03,ventral,8,1,8,0.7775,0.655,0.985,0.1101797773338344,1
subj03,ventral,10,8,80,1.0,1.0,1.0,0.0,1
subj04,ventral,2,1,2,0.05416666666666667,0.0,0.145,0.04540710908608425,1
subj04,ventral,2,2,4,0.23690476190476192,0.037142857142857144,0.37857142857142856,0.10900732256083573,1
subj04,ventral,4,1,4,0.28875,0.04375,0.4475,0.13071518019470169,1
subj04,ventral,6,1,6,0.5514583333333334,0.2925,0.65125,0.11819479125814115,1
subj04,ventral,2,4,8,0.6470476190476191,0.32971428571428574,0.8285714285714286,0.1546161071478944,1
subj04,ventral,4,2,8,0.6740476190476189,0.37607142857142856,0.8282142857142857,0.1401931167259087,1
subj04,ventral,8,1,8,0.6541666666666667,0.425,0.75,0.10737072330119707,1
subj04,ventral,10,8,80,1.0,1.0,1.0,0.0,1
subj05,ventral,2,1,2,0.09500000000000001,0.035,0.19,0.06714412359494562,1
subj05,ventral,2,2,4,0.4466666666666666,0.24142857142857144,0.63,0.1310622915374157,1
subj05,ventral,4,1,4,0.4222916666666667,0.30875,0.56875,0.09050327073586283,1
subj05,ventral,6,1,6,0.7095833333333332,0.68,0.73,0.01714926302271387,1
subj05,ventral,2,4,8,0.9144761904761904,0.8017142857142857,0.9771428571428571,0.06526026734798951,1
subj05,ventral,4,2,8,0.9181547619047619,0.8657142857142858,0.9514285714285714,0.033414919288631516,1
