roi,repeat_pair_idx,median_TOTAL,median_coverage
ventral,0,0.45821792878615775,0.3141666666666667
ventral,1,0.48319789008946745,0.39916666666666667
ventral,2,0.5532506011517264,0.6616666666666666
ventral,3,0.5631537656632009,0.6183333333333333
ventral,4,0.5582838852144574,0.6583333333333334
ventral,5,0.5352638916261185,0.5541666666666667
ventral,6,0.499229694582211,0.4933333333333333
ventral,7,0.5445777649089711,0.6183333333333334
ventral,8,0.5754630363786399,0.7458333333333333
ventral,9,0.6161723872865048,0.8241666666666667
ventral,10,0.6098879225921228,0.8066666666666666
ventral,11,0.5771163587073029,0.7350000000000001
ventral,12,0.5628391912204787,0.6941666666666667
ventral,13,0.604923640591178,0.7908333333333333
ventral,14,0.6277250477876776,0.8316666666666666
ventral,15,0.6248509904824472,0.8208333333333334
ventral,16,0.6458397410863154,0.8458333333333334
ventral,17,0.6039065828670305,0.7675000000000001
ventral,18,0.6078791718721328,0.77
ventral,19,0.6384622173732205,0.8241666666666667
ventral,20,0.6321358806778019,0.8316666666666667
ventral,21,0.6043254272527304,0.7833333333333334
ventral,22,0.6031306092709652,0.7441666666666666
ventral,23,0.616537183732839,0.8433333333333333
ventral,24,0.5828509036209042,0.7675000000000001
ventral,25,0.5864739084176861,0.7441666666666666
ventral,26,0.5770442328226597,0.715
ventral,27,0.5405995765671928,0.6283333333333334
lateral,0,0.5225377810052235,0.5041666666666667
lateral,1,0.5558538595814764,0.5633333333333334
lateral,2,0.5539987147368199,0.6416666666666666
lateral,3,0.5969499237216647,0.7608333333333333
lateral,4,0.5556179636120091,0.6316666666666666
lateral,5,0.5312771276134138,0.495
lateral,6,0.487271307968722,0.3633333333333334
lateral,7,0.5754725385489841,0.69
lateral,8,0.5591127854074454,0.7041666666666667
lateral,9,0.6272879990909748,0.8566666666666667
lateral,10,0.6082370355892681,0.7475
lateral,11,0.5834788617662551,0.6875000000000001
lateral,12,0.56065050369203,0.6775000000000001
lateral,13,0.5650653789103273,0.6358333333333333
lateral,14,0.6309394665085704,0.7916666666666667
lateral,15,0.5874367372168752,0.7475
lateral,16,0.5405725693285586,0.6074999999999999
lateral,17,0.5358855016764654,0.5908333333333333
lateral,18,0.5846136418577812,0.7025
lateral,19,0.56675746735166,0.6391666666666667
lateral,20,0.5488189739773047,0.6391666666666667
lateral,21,0.5163727773853466,0.5549999999999999
lateral,22,0.5704427305711621,0.6425000000000001
lateral,23,0.5417013851519314,0.6074999999999999
lateral,24,0.4978314360648154,0.4766666666666667
lateral,25,0.4942421753053366,0.4741666666666666
lateral,26,0.48049313116465203,0.46166666666666667
lateral,27,0.38520218507514503,0.135
