subject,roi,M,T,Q10,Q25,median,Q75,Q90
subj01,ventral,2,1,-0.4393705520715673,-0.36815733607612505,-0.27928233920131446,-0.1777906627434723,-0.07274415706493238
subj01,ventral,2,2,-0.3144648443410212,-0.23079815385566213,-0.13248787350591465,-0.029007117825072662,0.05356701151883542
subj01,ventral,4,1,-0.30451590585240373,-0.2277040180931176,-0.1252526055636763,-0.012879758633698515,0.06791984623181614
subj01,ventral,6,1,-0.204640748514444,-0.12690679268748023,-0.012295258106470891,0.08520232230462874,0.15966934823006354
subj01,ventral,2,4,-0.14973566427222726,-0.060750843499576365,0.03067459295210767,0.11905340352575605,0.18726121269888626
subj01,ventral,4,2,-0.13619604737392052,-0.04817917318456208,0.052070636894566036,0.14118445722788472,0.2096036804862512
subj01,ventral,8,1,-0.14885099181117498,-0.08331088486324002,0.0506070118850423,0.13235857833688633,0.21191014414858322
subj01,ventral,10,8,0.41085927535215805,0.4349839477206802,0.4596094659374848,0.49531098410100427,0.5186669436635787
subj02,ventral,2,1,-0.45839847988882226,-0.3817247340673256,-0.2858282585754034,-0.17277887963112762,-0.06202745858156461
subj02,ventral,2,2,-0.3248080499318831,-0.2395164398795252,-0.13311145148874134,-0.021077521027138432,0.07650889335753523
subj02,ventral,4,1,-0.3046552047350486,-0.2245637941755506,-0.11068379544792745,-0.0058696185322396205,0.10096179724414935
subj02,ventral,6,1,-0.20929096065782035,-0.11093023132486625,0.006408397264008381,0.1080176578024406,0.19818586140966182
subj02,ventral,2,4,-0.18038074400674797,-0.08265143410873026,0.031007392668040812,0.13346429984982092,0.2137050720013222
subj02,ventral,4,2,-0.1464711594077613,-0.05231920218995187,0.06062968434426402,0.1637145762162033,0.24300432001627373
subj02,ventral,8,1,-0.17569092970570632,-0.05650909602956829,0.06319320780382048,0.16043748809760966,0.2480888369830459
subj02,ventral,10,8,0.3343850483863238,0.3914033313564648,0.44110159447617403,0.4765573115327626,0.4846519846455102
subj03,ventral,2,1,-0.36507702022239286,-0.2946722253139884,-0.2061763333037954,-0.12336453627480307,-0.04705350939951196
subj03,ventral,2,2,-0.2249290426297043,-0.14338797491716038,-0.05797530895846728,0.022555928947429138,0.0907515743104318
subj03,ventral,4,1,-0.21695812505196813,-0.13599374276955462,-0.053571843321712276,0.027213812194482906,0.09945055489390298
subj03,ventral,6,1,-0.11144962299939941,-0.038040293942459474,0.04311003867037322,0.12602343150171863,0.19608539756074153
subj03,ventral,2,4,-0.059830979740033235,0.015074309426761828,0.09489776222830226,0.16440568248428555,0.22425076993056028
subj03,ventral,4,2,-0.03744317624188912,0.03303994779680519,0.10691429955514997,0.17542960187503354,0.23446862552251727
subj03,ventral,8,1,-0.05178098608219878,0.012109036586643446,0.08803491861409457,0.18273623502471342,0.24988474330028468
subj03,ventral,10,8,0.4324465795724088,0.44363951381332906,0.4706724410984325,0.48863067687209644,0.4966793517615277
subj04,ventral,2,1,-0.418136571666118,-0.3401013733572386,-0.23995784945655765,-0.12970468364728782,-0.044094336361822126
subj04,ventral,2,2,-0.28354804325699273,-0.1973870564641403,-0.10282191209782535,-0.0054682879905380705,0.07744628530600459
subj04,ventral,4,1,-0.2931974728389543,-0.19842690653666742,-0.08181610707336387,0.018146121595629505,0.10287634686937992
subj04,ventral,6,1,-0.21156724076771283,-0.100380417714694,0.019998629477386565,0.11145730998844552,0.1926685319328536
subj04,ventral,2,4,-0.12200561208325653,-0.0395655362977146,0.05309925882004479,0.1414980905179005,0.21174329815647155
subj04,ventral,4,2,-0.11921927741330057,-0.031265834026048156,0.06237641530531335,0.15650724935408258,0.22721459142480194
subj04,ventral,8,1,-0.1762506418030942,-0.04559065355048175,0.06368324231608741,0.15366333888168288,0.2424002667557464
subj04,ventral,10,8,0.3946717817291616,0.4132680997537822,0.43706980675625345,0.47252646417844013,0.499813883266835
subj05,ventral,2,1,-0.32839746971005673,-0.2628031423369387,-0.17361302991287372,-0.08303971550549664,-0.0017537359687617778
subj05,ventral,2,2,-0.16304485286766915,-0.09514033788545916,-0.014258053605888332,0.06461509088895787,0.1350997097088739
subj05,ventral,4,1,-0.16656621194338936,-0.10477440806934149,-0.025360419011530577,0.06796206989923873,0.144429074420066
subj05,ventral,6,1,-0.06955112187399713,-0.012269325785836144,0.06372874831785041,0.15904025580232992,0.22738084191972321
subj05,ventral,2,4,0.009097540647189177,0.07036251776470365,0.138245766405717,0.20500341435846975,0.2614982753126593
subj05,ventral,4,2,0.01042260743445962,0.07011251554627773,0.14063756946999795,0.21264266566271084,0.2703299160196076
subj05,ventral,8,1,-0.020933453440279647,0.03264463984188065,0.10930380041663085,0.20754709260029355,0.27592878216373523
subj05,ventral,10,8,0.41450147742424615,0.4303046865279506,0.4759964245925981,0.4944935153415223,0.5006604897340117
subj06,ventral,2,1,-0.46659838716360064,-0.3845583108096111,-0.2915315892246609,-0.1900199624965604,-0.11461544261461742
subj06,ventral,2,2,-0.35770660724497777,-0.2652511342777957,-0.16168363153749798,-0.06190604479886641,0.020265167787141953
subj06,ventral,4,1,-0.33873084025090633,-0.25323159908005627,-0.13708087119439225,-0.04710598391260683,0.029755377839733695
subj06,ventral,6,1,-0.24709666147605802,-0.14987262208119106,-0.0391856668628669,0.055971676506849755,0.12680860995741933
subj06,ventral,2,4,-0.2098695171924016,-0.11319151790365063,-0.008079412241437295,0.08942147167210243,0.16494576753623497
subj06,ventral,4,2,-0.16916867789685924,-0.07935181247373319,0.018447798209400512,0.10582415074152657,0.17591282763532987
subj06,ventral,8,1,-0.20219139491809773,-0.11275485089537436,0.00996213605637486,0.11062986625627255,0.17315938851504664
subj06,ventral,10,8,0.36820384218965463,0.38614924948573404,0.4397037007033737,0.48750835371763884,0.49557093958858883
subj07,ventral,2,1,-0.339319587155736,-0.22839957547461076,-0.10327865528842123,-0.0019104951482395854,0.08606676369116244
subj07,ventral,2,2,-0.16865486626883455,-0.06036150675295779,0.0446933483239621,0.12952369130916516,0.20016716172606577
subj07,ventral,4,1,-0.10997068932505685,-0.026574406308761137,0.054689352148164116,0.1386437835436753,0.20964616355136118
subj07,ventral,6,1,0.007287908934669868,0.07298885701081184,0.14677162219901269,0.21905305092440994,0.2941217555750141
subj07,ventral,2,4,0.019525595371708334,0.10940641547789609,0.18602152992417964,0.25130219197893877,0.30343115375338414
subj07,ventral,4,2,0.048450733452942096,0.12842515494561746,0.19828352825539125,0.26293263484236484,0.3171187898303691
subj07,ventral,8,1,0.05702259206869429,0.11373577403822724,0.1889119573118575,0.25452003297351156,0.338996007062658
subj07,ventral,10,8,0.45249659679137244,0.4839119806850715,0.48829361773824637,0.4903955042902053,0.5045938058398851
subj08,ventral,2,1,-0.4927752660002552,-0.4327608583226565,-0.34449987779705976,-0.23297484160155,-0.13446429999769027
subj08,ventral,2,2,-0.45339310648996345,-0.3819214919416994,-0.28506126501490114,-0.1797522936373145,-0.06896041307580097
subj08,ventral,4,1,-0.42338207537317996,-0.3518825813860866,-0.2517961494121537,-0.1482800808026962,-0.035264956147011764
subj08,ventral,6,1,-0.3676912221504889,-0.2952089249647175,-0.19615839153141745,-0.08575646267507328,0.03495646894377139
subj08,ventral,2,4,-0.3822692729004444,-0.29448927817395615,-0.19502489618457264,-0.08100256367207091,0.030160612197329333
subj08,ventral,4,2,-0.3621591560049936,-0.28370297127144917,-0.18477548255552376,-0.0759362961741351,0.04598731663037021
subj08,ventral,8,1,-0.3488110347466352,-0.2764764799921894,-0.18160121795586612,-0.05725252592267201,0.07453542608597992
subj08,ventral,10,8,-0.01959175997533616,0.039178320759810065,0.11201896456964955,0.19575987307294332,0.2622327841763528
subj01,lateral,2,1,-0.40237027008808013,-0.3168323421705821,-0.2224364977414047,-0.1295141694746417,-0.04462262162746142
subj01,lateral,2,2,-0.23803620977326506,-0.14449754864875214,-0.05367948008845505,0.02844332703469471,0.09303227961293842
subj01,lateral,4,1,-0.202095462426939,-0.12233517566536718,-0.03998817569291521,0.031820356336156264,0.09613295358385597
