subject,roi,M,T,N,R_COMP,TOTAL_avg,FCF_avg,SCHEDULE_COVERAGE
subj01,ventral,2,1,2,0.2165542755422365,0.2457425837259739,0.244143367002138,0.035833333333333335
subj01,ventral,2,2,4,0.2972468148800636,0.3875303534153579,0.38500842574299754,0.18999999999999997
subj01,ventral,4,1,4,0.3031097583225942,0.3978323426866475,0.39524337285463523,0.22375
subj01,ventral,6,1,6,0.36369807939415105,0.5042942657399627,0.5010124746426363,0.4716666666666667
subj01,ventral,2,4,8,0.3897899266109799,0.5501411910481624,0.5465610423419199,0.5889523809523809
subj01,ventral,4,2,8,0.4012093938401418,0.5702067485674913,0.5664960194194244,0.6341071428571429
subj01,ventral,8,1,8,0.39497120520741563,0.5592454024456042,0.5556060063476261,0.5975
subj01,ventral,10,8,80,0.6495359645766007,1.0,0.9999999995985348,1.0
subj02,ventral,2,1,2,0.24187295144174048,0.22859556177000842,0.24870806845650786,0.057499999999999996
subj02,ventral,2,2,4,0.324857378885094,0.3728795369934636,0.40568657017893367,0.20904761904761904
subj02,ventral,4,1,4,0.3360861385277796,0.3924028394730922,0.42692758996078684,0.2389583333333333
subj02,ventral,6,1,6,0.39767611001490694,0.49948854451248675,0.5434350087988082,0.51625
subj02,ventral,2,4,8,0.4115665372032408,0.523639654715095,0.5697110043739725,0.5755238095238094
subj02,ventral,4,2,8,0.4286166274118896,0.5532844310787282,0.601964014940478,0.6386309523809525
subj02,ventral,8,1,8,0.4267415564310008,0.5500242688617453,0.5984170141082551,0.6466666666666666
subj02,ventral,10,8,80,0.6390326292848328,0.9191320742594711,1.0,1.0
subj03,ventral,2,1,2,0.22498486532445597,0.2966147943539097,0.30396546455392137,0.05416666666666667
subj03,ventral,2,2,4,0.31387571870929165,0.44165429354344277,0.45259931421015787,0.31476190476190474
subj03,ventral,4,1,4,0.31769224869568086,0.4478815663931166,0.4589809105454931,0.3285416666666667
subj03,ventral,6,1,6,0.37827226174272793,0.5467274478158054,0.5602763780603063,0.6364583333333333
subj03,ventral,2,4,8,0.40659636792586434,0.5929427109093881,0.607636941940209,0.7876190476190477
subj03,ventral,4,2,8,0.4156681331634669,0.6077447320029481,0.62280578484247,0.8319642857142857
subj03,ventral,8,1,8,0.4104642729533577,0.599253810271564,0.6141044421660434,0.7775
subj03,ventral,10,8,80,0.6412500943082424,0.9758174124280471,0.9999999957338174,1.0
subj04,ventral,2,1,2,0.23654600794264544,0.2716303268815582,0.2826155408051039,0.05416666666666667
subj04,ventral,2,2,4,0.3170389551429067,0.40515525135301916,0.4215404508977723,0.23690476190476192
subj04,ventral,4,1,4,0.3243581942265506,0.417296698272594,0.4341729195426609,0.28875
subj04,ventral,6,1,6,0.38208730328360585,0.5130600563649539,0.5338091182959253,0.5514583333333334
subj04,ventral,2,4,8,0.409518468534985,0.5585639718725064,0.5811532931439871,0.6470476190476191
subj04,ventral,4,2,8,0.41512686159554685,0.5678673988914558,0.5908329673117677,0.6740476190476189
subj04,ventral,8,1,8,0.4086936428981332,0.55719571807272,0.5797297047250332,0.6541666666666667
subj04,ventral,10,8,80,0.652197814633391,0.9611301902264544,1.0,1.0
subj05,ventral,2,1,2,0.2840149233692704,0.3434374440621861,0.34222280482692025,0.09500000000000001
subj05,ventral,2,2,4,0.3880578339011009,0.5049139011460938,0.5031281662317256,0.4466666666666666
subj05,ventral,4,1,4,0.3849666673029375,0.5001163553260465,0.49834758794823203,0.4222916666666667
subj05,ventral,6,1,6,0.44626697495318995,0.5952555286432712,0.593150281435666,0.7095833333333332
subj05,ventral,2,4,8,0.48982183703722204,0.662853453212635,0.6605091316326102,0.9144761904761904
subj05,ventral,4,2,8,0.4925137585808088,0.6670313635708159,0.6646722659262408,0.9181547619047619
subj05,ventral,8,1,8,0.4772566561571667,0.6433520678634712,0.6410767170616672,0.8491666666666667
