subject,roi,fold,n_fail,frac_TOTAL_ONLY,frac_FCF_ONLY,frac_BOTH
subj01,ventral,0,1762,0.0,0.39841089670828606,0.601589103291714
subj01,ventral,1,712,0.5632022471910112,0.0,0.43679775280898875
subj01,ventral,2,1094,0.0,0.28884826325411334,0.7111517367458866
subj01,ventral,3,1176,0.031462585034013606,0.0,0.9685374149659864
subj01,ventral,4,826,0.059322033898305086,0.0,0.940677966101695
subj01,ventral,5,577,0.0,0.24436741767764297,0.755632582322357
subj02,ventral,0,803,0.5628891656288917,0.0,0.43711083437110837
subj02,ventral,1,2172,0.14410681399631675,0.0,0.8558931860036832
subj02,ventral,2,1601,0.12054965646470955,0.0,0.8794503435352904
subj02,ventral,3,328,0.6432926829268293,0.0,0.3567073170731707
subj02,ventral,4,408,0.11029411764705882,0.0,0.8897058823529411
subj02,ventral,5,759,0.030303030303030304,0.0,0.9696969696969697
subj03,ventral,0,824,0.25606796116504854,0.0,0.7439320388349514
subj03,ventral,1,848,0.2606132075471698,0.0,0.7393867924528302
subj03,ventral,2,149,0.0,0.5771812080536913,0.4228187919463087
subj03,ventral,3,361,0.055401662049861494,0.0,0.9445983379501385
subj03,ventral,4,328,0.43902439024390244,0.0,0.5609756097560976
subj03,ventral,5,313,0.0,0.054313099041533544,0.9456869009584664
subj04,ventral,0,835,0.3281437125748503,0.0,0.6718562874251497
subj04,ventral,1,1747,0.0,0.28334287349742415,0.7166571265025758
subj04,ventral,2,481,0.3762993762993763,0.0,0.6237006237006237
subj04,ventral,3,828,0.10144927536231885,0.0,0.8985507246376812
subj04,ventral,4,792,0.0,0.0025252525252525255,0.9974747474747475
subj04,ventral,5,793,0.37957124842370743,0.0,0.6204287515762925
subj05,ventral,0,136,0.11764705882352941,0.0,0.8823529411764706
subj05,ventral,1,376,0.0,0.8404255319148937,0.1595744680851064
subj05,ventral,2,331,0.4652567975830816,0.0,0.5347432024169184
subj05,ventral,3,151,0.0,0.7284768211920529,0.271523178807947
subj05,ventral,4,153,0.7516339869281046,0.0,0.24836601307189543
subj05,ventral,5,228,0.0,0.14912280701754385,0.8508771929824561
subj06,ventral,0,1042,0.21976967370441458,0.0,0.7802303262955854
subj06,ventral,1,2130,0.0,0.11173708920187793,0.888262910798122
subj06,ventral,2,1681,0.0,0.14098750743604996,0.8590124925639501
subj06,ventral,3,1131,0.0,0.3695844385499558,0.6304155614500442
subj06,ventral,4,639,0.647887323943662,0.0,0.352112676056338
subj06,ventral,5,892,0.3688340807174888,0.0,0.6311659192825112
subj07,ventral,0,156,0.14102564102564102,0.0,0.8589743589743589
subj07,ventral,1,45,0.0,0.044444444444444446,0.9555555555555556
subj07,ventral,2,36,0.19444444444444445,0.0,0.8055555555555556
subj07,ventral,3,62,0.2903225806451613,0.0,0.7096774193548387
subj07,ventral,4,391,0.0,0.23017902813299232,0.7698209718670077
subj07,ventral,5,253,0.12648221343873517,0.0,0.8735177865612648
subj08,ventral,0,1765,0.430028328611898,0.0,0.569971671388102
subj08,ventral,1,2507,0.43398484244116475,0.0,0.5660151575588352
subj08,ventral,2,2655,0.256120527306968,0.0,0.743879472693032
subj08,ventral,3,2697,0.3667037449017427,0.0,0.6332962550982574
subj08,ventral,4,2699,0.4183030752130419,0.0,0.5816969247869581
subj08,ventral,5,2095,0.6983293556085919,0.0,0.3016706443914081
subj01,lateral,0,354,0.0,0.24293785310734464,0.7570621468926554
subj01,lateral,1,126,0.0,0.30952380952380953,0.6904761904761905
subj01,lateral,2,134,0.14925373134328357,0.0,0.8507462686567164
subj01,lateral,3,715,0.0,0.3902097902097902,0.6097902097902098
subj01,lateral,4,414,0.23671497584541062,0.0,0.7632850241545893
subj01,lateral,5,307,0.44299674267100975,0.0,0.5570032573289903
subj02,lateral,0,1139,0.5627743634767339,0.0,0.437225636523266
subj02,lateral,1,1523,0.22849638870650033,0.0,0.7715036112934996
subj02,lateral,2,1069,0.4639850327408793,0.0,0.5360149672591207
subj02,lateral,3,670,0.5283582089552239,0.0,0.4716417910447761
subj02,lateral,4,1598,0.012515644555694618,0.0,0.9874843554443054
subj02,lateral,5,1048,0.18702290076335878,0.0,0.8129770992366412
subj03,lateral,0,758,0.032981530343007916,0.0,0.9670184696569921
subj03,lateral,1,821,0.1120584652862363,0.0,0.8879415347137637
