subject,roi,component,fold,rho_fold
subj01,ventral,IN,0,0.22447616456510847
subj01,ventral,IN,1,0.04268329698948759
subj01,ventral,IN,2,0.12886392587550075
subj01,ventral,IN,3,0.031838816014426244
subj01,ventral,IN,4,0.12485881275531503
subj01,ventral,IN,5,-0.005321824658396002
subj01,ventral,OUT,0,0.3306435629465186
subj01,ventral,OUT,1,0.5261042961503293
subj01,ventral,OUT,2,0.504689287041272
subj01,ventral,OUT,3,0.5648536824704041
subj01,ventral,OUT,4,0.5738111774176065
subj01,ventral,OUT,5,0.46403634144049544
subj02,ventral,IN,0,0.18393602455452207
subj02,ventral,IN,1,0.0269657499774098
subj02,ventral,IN,2,0.20314063578688868
subj02,ventral,IN,3,0.023294707781759374
subj02,ventral,IN,4,0.22844546572737354
subj02,ventral,IN,5,0.06452756417078989
subj02,ventral,OUT,0,0.26026251260637007
subj02,ventral,OUT,1,0.38763320141094043
subj02,ventral,OUT,2,0.30320900387141086
subj02,ventral,OUT,3,0.15909978341287326
subj02,ventral,OUT,4,0.29129158762830015
subj02,ventral,OUT,5,0.15242530460964163
subj03,ventral,IN,0,0.12070215260413754
subj03,ventral,IN,1,0.17990535239317543
subj03,ventral,IN,2,0.09276784091426542
subj03,ventral,IN,3,0.11111614664382337
subj03,ventral,IN,4,0.08110392306354704
subj03,ventral,IN,5,0.12390283650364169
subj03,ventral,OUT,0,0.4669180670267214
subj03,ventral,OUT,1,0.26880940054055763
subj03,ventral,OUT,2,0.3629710111296844
subj03,ventral,OUT,3,0.42098309433093406
subj03,ventral,OUT,4,0.4449647710414249
subj03,ventral,OUT,5,0.4585417237571441
subj04,ventral,IN,0,0.030186330745341022
subj04,ventral,IN,1,0.1562581019279649
subj04,ventral,IN,2,0.23779017336973785
subj04,ventral,IN,3,0.15150749855234127
subj04,ventral,IN,4,0.27284992437954575
subj04,ventral,IN,5,0.2953548601946797
subj04,ventral,OUT,0,0.39071247931828273
subj04,ventral,OUT,1,0.5914833968728822
subj04,ventral,OUT,2,0.5932171740619573
subj04,ventral,OUT,3,0.5089439151349746
subj04,ventral,OUT,4,0.28382289206924644
subj04,ventral,OUT,5,0.7093498204345616
subj05,ventral,IN,0,0.3955727543551254
subj05,ventral,IN,1,0.25876578737901806
subj05,ventral,IN,2,0.17438972650743595
subj05,ventral,IN,3,-0.001877870137483436
subj05,ventral,IN,4,0.3082695283871483
subj05,ventral,IN,5,0.23240699684491578
subj05,ventral,OUT,0,0.4827651136908855
subj05,ventral,OUT,1,0.47733381689753496
subj05,ventral,OUT,2,0.3711732931525702
subj05,ventral,OUT,3,0.305426422339376
subj05,ventral,OUT,4,0.5861459889399039
subj05,ventral,OUT,5,0.5807242180224039
subj06,ventral,IN,0,0.31629790003799746
subj06,ventral,IN,1,0.3801262345277632
subj06,ventral,IN,2,0.270621402411622
subj06,ventral,IN,3,0.29917099078347187
subj06,ventral,IN,4,0.33988434419078734
subj06,ventral,IN,5,0.2493610059316152
subj06,ventral,OUT,0,0.4290466208696492
subj06,ventral,OUT,1,0.28864594261154514
subj06,ventral,OUT,2,0.3864975159526715
subj06,ventral,OUT,3,0.4266400498629801
subj06,ventral,OUT,4,0.6437772902048293
