subject,roi,rho_interaction
subj01,ventral,0.20994371063421965
subj02,ventral,0.16311761646908374
subj03,ventral,0.12333941533119365
subj04,ventral,0.05933527906973312
subj05,ventral,0.17093836436896048
subj06,ventral,0.199709754882804
subj07,ventral,0.178359575956943
subj08,ventral,0.13917773859774363
subj01,lateral,0.0514305502917976
subj02,lateral,0.05433348743320721
subj03,lateral,0.11601086155386353
subj04,lateral,-0.007671008084858903
subj05,lateral,0.1218348134628953
subj06,lateral,0.10697797137109694
subj07,lateral,0.08551457686957066
subj08,lateral,0.22830438316564655
