subject,roi,component,Z_fisher,rho_participant
subj01,ventral,IN,0.09211666778414791,0.09185699772307471
subj02,ventral,IN,0.12324949994987229,0.12262919739801197
subj03,ventral,IN,0.11893597266957173,0.11837831439505493
subj04,ventral,IN,0.19453684691826467,0.19211938014441646
subj05,ventral,IN,0.2354752932720899,0.231217445571773
subj06,ventral,IN,0.32042857244698014,0.3098943873420471
subj07,ventral,IN,0.13999478209292443,0.13908733091699885
subj08,ventral,IN,0.07319914034742427,0.07306868349155275
subj01,ventral,OUT,0.546572366312232,0.4979468651909518
subj02,ventral,OUT,0.2670856477657388,0.26091094766181533
subj03,ventral,OUT,0.4307932052552652,0.405983988738614
subj04,ventral,OUT,0.5857022141408988,0.5267975578320842
subj05,ventral,OUT,0.5144525057572645,0.47340710882295745
subj06,ventral,OUT,0.47170129767072594,0.4395729062913973
subj07,ventral,OUT,0.4186156193024689,0.3957635252294728
subj08,ventral,OUT,0.07432931328838581,0.07419272909989993
subj01,lateral,IN,0.04695590606901512,0.04692142612351168
subj02,lateral,IN,0.23147783464255647,0.2274302168101354
subj03,lateral,IN,0.11857065663515358,0.11801810212806878
subj04,lateral,IN,0.019965746879966727,0.019963094314053194
subj05,lateral,IN,0.05908329019451395,0.059014636047720496
subj06,lateral,IN,0.16113890157624933,0.1597585394170621
subj07,lateral,IN,0.12043306169406083,0.11985416141785755
subj08,lateral,IN,0.23183104130589774,0.227765127116948
subj01,lateral,OUT,0.5484149431097639,0.49933130128626124
subj02,lateral,OUT,0.5192224798241196,0.4770996971498409
subj03,lateral,OUT,0.585563843858579,0.5266975801839013
subj04,lateral,OUT,0.47251419603709294,0.4402284985015572
subj05,lateral,OUT,0.3329299512539453,0.32115100634124616
subj06,lateral,OUT,0.5176719694022652,0.4759012347000315
subj07,lateral,OUT,0.7874672907891331,0.6569718689269598
subj08,lateral,OUT,0.3506546299476791,0.33695597598807076
