subject,roi,alpha_0,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,alpha_7,R2_REPEAT_ADDITIVE
subj01,ventral,-0.007827536573626226,-0.00810357003779158,0.007937089511477285,0.0055320063422396315,0.004508507156025687,0.00989657134308132,0.014877284289020382,-0.0268203520304265,0.33786159749227707
subj02,ventral,-0.0032392941847504964,0.005109341050141464,0.008750913306703564,-0.002541595578803929,0.017454449617439208,0.005228384948742823,-0.01109584334163237,-0.019666355817840334,0.27259317370075353
subj03,ventral,0.013541071568478502,-0.0018367799463394896,-0.0072653944098339945,0.0020813944326737444,0.0003633481152229556,0.003546454582332187,0.004916725513139444,-0.015346819855673335,0.2441396392477002
subj04,ventral,-0.02238127416889575,0.0020851937345736232,0.009173692347675969,0.021856584892528147,-0.00023058601462495887,-0.009741236809962181,0.020968540107642944,-0.021730914088937806,0.46179020559269235
subj05,ventral,0.001787868543839971,-0.009703732264198739,0.017922663688522467,0.015891547691606694,0.003398630032715122,0.0089784528836767,0.0003334695393728687,-0.03860890011553507,0.5452770615984308
subj06,ventral,-0.020159877399046483,0.012013781656379216,0.00493530003861295,0.007186123286231805,0.010988473951537375,-0.003833192577751089,0.008782809061974955,-0.019913418017938722,0.2660181278318461
subj07,ventral,-0.0032991054135591558,0.009977213547800762,0.013234810184728746,0.00154211169091574,-0.002454339372064053,0.012691875575138067,-0.01575011564613943,-0.01594245056682072,0.4131179086591069
subj08,ventral,-0.01342684218316742,0.0003102486098450902,0.005712365678954251,0.015242940316709072,0.0015581711829812522,0.008756779293917605,-0.013013484339373764,-0.005140178559866079,0.5104978380065893
subj01,lateral,-0.0032159951517999885,0.0026337688971266593,0.00910863369324777,0.0003318557411859796,0.01002389998704395,-0.0016117126638666573,-0.011929491692024202,-0.005340958810913496,0.32560938588265975
subj02,lateral,-0.011875138292812004,0.007044492254002999,0.007980425031026056,0.012612857523437715,0.009466686687568254,0.012717901012059954,-0.005718016198689557,-0.03222920801659353,0.4881680280437767
subj03,lateral,0.00876717021738413,-0.0038646169867454366,0.00505156783392785,0.00012903785334135442,-0.008705482292332103,0.008010642898028802,-0.0004425615969969321,-0.008945757926607692,0.3195644875555059
subj04,lateral,-0.002333945712470198,0.00968011410377477,0.012350829741127653,0.0064525941139489534,-0.009991440167151477,-0.013671486342267752,0.011466888236434575,-0.013953553973396593,0.33904476634568825
subj05,lateral,-0.00228798702900003,0.001917363063282121,0.013819052790938521,0.009324547130314928,-0.00047226027592291164,-0.00969933884947137,-0.0018916079111493816,-0.010709768918991863,0.24094157186769927
subj06,lateral,-0.006526407444837137,0.015001749941816467,0.008604449292651764,0.009136386951202793,0.005906206925083202,-0.015523869453385589,-0.005856844739810324,-0.010741671472721134,0.37197314815836746
subj07,lateral,-0.0033085945783223603,-0.014482017650129575,0.01807436773101527,0.005044330584333331,0.0027644216038466563,0.006490744562540757,-0.012233919540973914,-0.002349332712310248,0.5441943176814785
subj08,lateral,-0.04021221815286208,-0.004047197247747103,0.012205693984320212,0.020013043160877167,0.006429572870978104,0.024183968775147183,-0.004513111233216044,-0.014059752157497538,0.49788008871287204
