subject,roi,pair_nonadditivity_fraction
subj01,ventral,0.6621384025077229
subj02,ventral,0.7274068262992465
subj03,ventral,0.7558603607522998
subj04,ventral,0.5382097944073077
subj05,ventral,0.4547229384015692
subj06,ventral,0.7339818721681539
subj07,ventral,0.5868820913408931
subj08,ventral,0.4895021619934107
subj01,lateral,0.6743906141173402
subj02,lateral,0.5118319719562233
subj03,lateral,0.6804355124444941
subj04,lateral,0.6609552336543117
subj05,lateral,0.7590584281323007
subj06,lateral,0.6280268518416325
subj07,lateral,0.4558056823185215
subj08,lateral,0.502119911287128
