subject,roi,loso_rho
subj01,ventral,0.42857142857142855
subj02,ventral,0.4523809523809524
subj03,ventral,-0.16666666666666666
subj04,ventral,0.47619047619047616
subj05,ventral,0.8571428571428571
subj06,ventral,0.2619047619047619
subj07,ventral,0.5
subj08,ventral,0.7619047619047619
subj01,lateral,0.6190476190476191
subj02,lateral,0.6428571428571429
subj03,lateral,0.11904761904761904
subj04,lateral,0.4523809523809524
subj05,lateral,0.7380952380952381
subj06,lateral,0.42857142857142855
subj07,lateral,0.4523809523809524
subj08,lateral,0.6428571428571429
