subject,roi,fold,Q_RES_NATIVE,Q_RES_IN,Q_RES_OUT
subj01,ventral,0,0.28282208519569413,0.3437490562507398,0.27843041773058774
subj01,ventral,1,0.2792477791984081,0.30079238497925004,0.2797657359028984
subj01,ventral,2,0.26713075888300225,0.302462419867168,0.2643232515320153
subj01,ventral,3,0.2605337563736984,0.2570362663001362,0.2652671288262721
subj01,ventral,4,0.27335605627548365,0.3013889188645239,0.2734663934213754
subj01,ventral,5,0.28519501318105706,0.30194585472756175,0.2874816621964043
subj02,ventral,0,0.29104997328764437,0.49948182676972464,0.23743353985620277
subj02,ventral,1,0.27488238769177875,0.45602291616713436,0.23977012341335832
subj02,ventral,2,0.27674705717376386,0.3825232104934127,0.2590074369341475
subj02,ventral,3,0.32331959678323,0.499703814464887,0.28466975814413337
subj02,ventral,4,0.28004941265113376,0.36974606256807013,0.2671211368459902
subj02,ventral,5,0.29509582935942913,0.44826424014954225,0.26706343693100976
subj03,ventral,0,0.23941166109751383,0.25395052688678377,0.2403751524514673
subj03,ventral,1,0.24413021678046035,0.30281228205302924,0.2360970821528537
subj03,ventral,2,0.29993607401899947,0.3921004523264238,0.27980707736035154
subj03,ventral,3,0.24412205395640232,0.2554311225670531,0.24645710195861062
subj03,ventral,4,0.2551133227215352,0.28472819218423345,0.25354152249476597
subj03,ventral,5,0.24683266722290187,0.25731296918737484,0.24728920348794906
subj04,ventral,0,0.25382427389747575,0.3414069179514019,0.2403916430393224
subj04,ventral,1,0.2803002067340293,0.3433463059415323,0.27192032321393184
subj04,ventral,2,0.2891883188872468,0.3865766310869409,0.2722868804660168
subj04,ventral,3,0.265563566998748,0.32918172100589566,0.2582475072683498
subj04,ventral,4,0.26535105931180364,0.35444586418702806,0.2541954992884105
subj04,ventral,5,0.29310320651008787,0.3366555321031419,0.2904670081099985
subj05,ventral,0,0.30571650076384776,0.3043882398352929,0.3126355690795919
subj05,ventral,1,0.28212761606966247,0.24922449736999494,0.29654127882162423
subj05,ventral,2,0.3041822588286174,0.26750696416640185,0.32522821037910354
subj05,ventral,3,0.338019676724138,0.3505588027797498,0.3404872318583713
subj05,ventral,4,0.3512957352809319,0.3599859865157438,0.3554498771716525
subj05,ventral,5,0.2891220585794644,0.21902061812116422,0.31138267257439
subj06,ventral,0,0.21752588333853412,0.22089756854318693,0.2232701882601868
subj06,ventral,1,0.21906223678500705,0.24302064930815748,0.216632317161624
subj06,ventral,2,0.19935189031429992,0.19136464152779994,0.21035185851557725
subj06,ventral,3,0.2081822037664123,0.23168923389771756,0.2075836153384431
subj06,ventral,4,0.2302832545064486,0.2560772878580769,0.22800170548652757
subj06,ventral,5,0.21052509931845123,0.23813266724955603,0.20746433266206046
subj07,ventral,0,0.31616825063865306,0.30497621772021855,0.33059933534655805
subj07,ventral,1,0.36509835094260845,0.36756913907784117,0.3715627933136939
subj07,ventral,2,0.330799226830441,0.3102422343629008,0.3484466578749817
subj07,ventral,3,0.3182582866185113,0.30974599791279656,0.32992823941705873
subj07,ventral,4,0.29723493457725,0.28489594197430285,0.31405324141800217
subj07,ventral,5,0.28114978453976425,0.2747251136354786,0.29337395995063614
subj08,ventral,0,0.11236671574470075,0.1678348904204874,0.11298054783576786
subj08,ventral,1,0.14714682683431163,0.22648819371854148,0.14148341584989818
subj08,ventral,2,0.1428986047545492,0.22978052089460244,0.13428437680163813
subj08,ventral,3,0.14862909527383336,0.2278536483963285,0.1429987901845765
subj08,ventral,4,0.15984098175353317,0.24072957686269714,0.1540042871461596
subj08,ventral,5,0.12159325002902029,0.2009435930260372,0.11489439718245857
subj01,lateral,0,0.30328691442720995,0.520118906763399,0.27828062838382284
subj01,lateral,1,0.3175803811375814,0.4816923790477722,0.3050087936003949
subj01,lateral,2,0.3091856169844279,0.4680907864069201,0.29307162372796286
subj01,lateral,3,0.2817392335198231,0.4447191449135881,0.26948212540438427
subj01,lateral,4,0.29784110608629333,0.5250075274939623,0.2722722426502898
subj01,lateral,5,0.3119445923670732,0.48588507253175994,0.2945702963969457
subj02,lateral,0,0.27827668475524964,0.41566599753944244,0.26555172429195484
subj02,lateral,1,0.2770487073703874,0.3905455507073583,0.2661522606324899
subj02,lateral,2,0.307984473078948,0.4249689172977902,0.2968463174945448
subj02,lateral,3,0.3122147223133263,0.4190974996742954,0.3046299103556875
subj02,lateral,4,0.31705556844168886,0.46040480488393404,0.3032422100765774
