subject,roi,repeat_position,cos2_native,cos2_within,cos2_outside
subj01,ventral,0,0.14849617317662134,0.2958431572784634,0.13288094790409194
subj01,ventral,1,0.1356451411326357,0.2545906665202679,0.13462103228366132
subj01,ventral,2,0.23577901250649108,0.35518984520691643,0.21838710471488243
subj01,ventral,3,0.20953975445779283,0.28337729786410265,0.1980086487813419
subj01,ventral,4,0.17868752841098678,0.27762132187088506,0.16591563390469294
subj01,ventral,5,0.2660476642786508,0.3758180703370315,0.2480786735091975
subj01,ventral,6,0.25614580024975536,0.3613951278671811,0.24420096074643363
subj01,ventral,7,0.17814103020261515,0.18356182509112623,0.19342302028843616
subj02,ventral,0,0.13318398554601582,0.28190115977986013,0.11009102176628446
subj02,ventral,1,0.17436985523509083,0.25830662653411773,0.17387126119575066
subj02,ventral,2,0.1859343925427564,0.3928950901931664,0.14402204265808186
subj02,ventral,3,0.21246528809105975,0.35950400811383865,0.1762377219520587
subj02,ventral,4,0.27075215830886623,0.47267736344315275,0.22024852617286045
subj02,ventral,5,0.25268371003406703,0.4586848046869072,0.2087254947859222
subj02,ventral,6,0.19587192084764693,0.37190266153411816,0.16072073450292906
subj02,ventral,7,0.1752943184954785,0.41030708023968154,0.12059073668389772
subj03,ventral,0,0.11357487550991403,0.21834510169855728,0.10339184875862546
subj03,ventral,1,0.14102358119968353,0.13019346876450077,0.1453400784333129
subj03,ventral,2,0.1680518894034392,0.11619202905199115,0.18298507476086623
subj03,ventral,3,0.1979611048144616,0.23350011348744926,0.19635525416114114
subj03,ventral,4,0.17508532942875882,0.23739798268737858,0.17062928222043727
subj03,ventral,5,0.15907264519170938,0.2103597331874564,0.15755315773660522
subj03,ventral,6,0.20034594367833786,0.20506541856467875,0.2050178087615928
subj03,ventral,7,0.11445968226935163,0.0935114409986519,0.12128642995043244
subj04,ventral,0,0.06811044811404356,0.10730135315647427,0.07034415063216794
subj04,ventral,1,0.1977760969200673,0.2904004333051578,0.1953077923819851
subj04,ventral,2,0.17765429197302546,0.24499537539583738,0.17733311044274622
subj04,ventral,3,0.3040559881164725,0.41886041852152633,0.2775637673282059
subj04,ventral,4,0.22299706497627123,0.27686506649194353,0.21191110390691636
subj04,ventral,5,0.1527067260259804,0.20958340861352237,0.14625964362130273
subj04,ventral,6,0.15232197764100142,0.34198435626400425,0.12161381463884269
subj04,ventral,7,0.11299797144759946,0.18555322711865158,0.09934019445011041
subj05,ventral,0,0.13061080764854743,0.15723321461773662,0.1305603620588248
subj05,ventral,1,0.17249992583539767,0.23994562526374325,0.16621906224857624
subj05,ventral,2,0.2622650588527953,0.3337276705574684,0.24997105906518752
subj05,ventral,3,0.22053641044446443,0.25195056880576994,0.2205341197817765
subj05,ventral,4,0.29521581063594426,0.3104920359815488,0.3024648449338728
subj05,ventral,5,0.22912588164834377,0.2695761228984092,0.2271531428600591
subj05,ventral,6,0.2281503873935306,0.19541481032257582,0.24839777662805346
subj05,ventral,7,0.1510535957195171,0.07448926287294153,0.18339289665190847
subj06,ventral,0,0.10871522259440267,0.12030186925649053,0.10906612348349223
subj06,ventral,1,0.1708883465843272,0.17052388277627814,0.1810104363949225
subj06,ventral,2,0.1866267893272989,0.16419337713939283,0.20260876573083486
subj06,ventral,3,0.18603730556376902,0.20239184595618234,0.18868443017491004
subj06,ventral,4,0.1667041836454113,0.17840554959384847,0.17178153361579224
subj06,ventral,5,0.10473739281262025,0.10820455081577915,0.10975470957115827
subj06,ventral,6,0.11658914971898345,0.15474620690888163,0.11288473742161272
subj06,ventral,7,0.09605866520566504,0.15939283010936459,0.09093379279199716
subj07,ventral,0,0.20166254756054752,0.28995031265616455,0.1786912643501763
subj07,ventral,1,0.22233296237509365,0.23832504820962885,0.21741617261042978
subj07,ventral,2,0.21499875803171017,0.24128872241611093,0.20860088022836165
subj07,ventral,3,0.25270132175739807,0.26792274307472186,0.26288037759458993
subj07,ventral,4,0.23005391650896798,0.20345997680945982,0.252117203807252
subj07,ventral,5,0.2706342031483025,0.25785447225637,0.2927968013544809
subj07,ventral,6,0.23431920012691654,0.22395107648532764,0.254985764414769
subj07,ventral,7,0.23081397098199216,0.23434702749735878,0.24740241921611741
subj08,ventral,0,0.06171576828608527,0.14771943643791183,0.05575459797162139
subj08,ventral,1,0.07785189940464923,0.16285512693371257,0.07411559817720578
subj08,ventral,2,0.08327920287756921,0.14497329599531747,0.08421782471920736
subj08,ventral,3,0.17183055243305295,0.23375293616802825,0.16529063741533614
subj08,ventral,4,0.12174572303514827,0.16426173428437027,0.11741314609052814
subj08,ventral,5,0.10877042639891821,0.1560875638134021,0.1076154744308279
subj08,ventral,6,0.08016769457313995,0.1405351239298825,0.07575723960783705
subj08,ventral,7,0.08247738782682164,0.16720359539177293,0.07234000145478849
subj01,lateral,0,0.21839974873221166,0.5519186891614544,0.17322003537169123
subj01,lateral,1,0.15873439353239918,0.3463766404909365,0.1375917917258476
subj01,lateral,2,0.23593177954472325,0.48031511853517017,0.21099035932361257
subj01,lateral,3,0.2318722859262777,0.43802700689072366,0.21580471266960471
subj01,lateral,4,0.19419089416367757,0.3635102140943707,0.17963927493621662
subj01,lateral,5,0.2128879026101016,0.40504039592946645,0.20916900192980478
subj01,lateral,6,0.2268679735712121,0.443726285992543,0.21467777606803481
subj01,lateral,7,0.19584485945989982,0.42030914542583264,0.1639162531286101
subj02,lateral,0,0.1473157495955832,0.2587977799924524,0.14610799472327793
subj02,lateral,1,0.19106907858860836,0.432883172932756,0.17813367240115086
