subject,roi,fold,component,median_Q_success,median_Q_fail
subj01,ventral,0,IN,0.48643961203337327,0.45959850382242506
subj01,ventral,0,OUT,0.438757986734867,0.38935977020452883
subj01,ventral,1,IN,0.44521130794845076,0.43633639693877385
subj01,ventral,1,OUT,0.4197561143272588,0.3234133656085276
subj01,ventral,2,IN,0.4303458694012171,0.41541547359109277
subj01,ventral,2,OUT,0.41847546155067095,0.33581858484541816
subj01,ventral,3,IN,0.40287587600818087,0.3994353045503607
subj01,ventral,3,OUT,0.42486122229662043,0.31574472737426934
subj01,ventral,4,IN,0.4350242275302475,0.4168226273404305
subj01,ventral,4,OUT,0.4248504820213965,0.31931900439295857
subj01,ventral,5,IN,0.44420885498131657,0.4420466620966158
subj01,ventral,5,OUT,0.4302974636996716,0.32426921662292385
subj02,ventral,0,IN,0.47874866339410105,0.4565728091432595
subj02,ventral,0,OUT,0.35842805312282455,0.29972164840757926
subj02,ventral,1,IN,0.44588726418051644,0.4401983173249865
subj02,ventral,1,OUT,0.3787966386968939,0.33372537820567943
subj02,ventral,2,IN,0.4581514293627509,0.43519820003865894
subj02,ventral,2,OUT,0.3795510446438233,0.3328606779477959
subj02,ventral,3,IN,0.4595904396091842,0.45584838797846694
subj02,ventral,3,OUT,0.3926908559706789,0.35959846681370117
subj02,ventral,4,IN,0.4359829523247096,0.4069092257900656
subj02,ventral,4,OUT,0.3828207154381019,0.3019183248280466
subj02,ventral,5,IN,0.47150388980572955,0.4558628605826709
subj02,ventral,5,OUT,0.3991950798626468,0.3560860561137365
subj03,ventral,0,IN,0.38204102999676953,0.3619305951969474
subj03,ventral,0,OUT,0.34485071274848583,0.28858527262119127
subj03,ventral,1,IN,0.4018904535102923,0.37297921230850384
subj03,ventral,1,OUT,0.34015641037435906,0.30210645098265976
subj03,ventral,2,IN,0.41460287961310627,0.38820687572006474
subj03,ventral,2,OUT,0.3669688895344211,0.3175300785894666
subj03,ventral,3,IN,0.3812943115324767,0.36515510292288933
subj03,ventral,3,OUT,0.3517751476116216,0.2825250580738464
subj03,ventral,4,IN,0.399569208806942,0.38193259417393743
