anchor_index,provenance
0,sealed_O2.3A-RD_512_anchor_set(bind IDs+SHA256 at acquisition)
1,sealed_O2.3A-RD_512_anchor_set(bind IDs+SHA256 at acquisition)
2,sealed_O2.3A-RD_512_anchor_set(bind IDs+SHA256 at acquisition)
3,sealed_O2.3A-RD_512_anchor_set(bind IDs+SHA256 at acquisition)
4,sealed_O2.3A-RD_512_anchor_set(bind IDs+SHA256 at acquisition)
5,sealed_O2.3A-RD_512_anchor_set(bind IDs+SHA256 at acquisition)
6,sealed_O2.3A-RD_512_anchor_set(bind IDs+SHA256 at acquisition)
7,sealed_O2.3A-RD_512_anchor_set(bind IDs+SHA256 at acquisition)
8,sealed_O2.3A-RD_512_anchor_set(bind IDs+SHA256 at acquisition)
9,sealed_O2.3A-RD_512_anchor_set(bind IDs+SHA256 at acquisition)
10,sealed_O2.3A-RD_512_anchor_set(bind IDs+SHA256 at acquisition)
11,sealed_O2.3A-RD_512_anchor_set(bind IDs+SHA256 at acquisition)
12,sealed_O2.3A-RD_512_anchor_set(bind IDs+SHA256 at acquisition)
13,sealed_O2.3A-RD_512_anchor_set(bind IDs+SHA256 at acquisition)
14,sealed_O2.3A-RD_512_anchor_set(bind IDs+SHA256 at acquisition)
15,sealed_O2.3A-RD_512_anchor_set(bind IDs+SHA256 at acquisition)
16,sealed_O2.3A-RD_512_anchor_set(bind IDs+SHA256 at acquisition)
17,sealed_O2.3A-RD_512_anchor_set(bind IDs+SHA256 at acquisition)
18,sealed_O2.3A-RD_512_anchor_set(bind IDs+SHA256 at acquisition)
19,sealed_O2.3A-RD_512_anchor_set(bind IDs+SHA256 at acquisition)
20,sealed_O2.3A-RD_512_anchor_set(bind IDs+SHA256 at acquisition)
21,sealed_O2.3A-RD_512_anchor_set(bind IDs+SHA256 at acquisition)
22,sealed_O2.3A-RD_512_anchor_set(bind IDs+SHA256 at acquisition)
23,sealed_O2.3A-RD_512_anchor_set(bind IDs+SHA256 at acquisition)
24,sealed_O2.3A-RD_512_anchor_set(bind IDs+SHA256 at acquisition)
25,sealed_O2.3A-RD_512_anchor_set(bind IDs+SHA256 at acquisition)
26,sealed_O2.3A-RD_512_anchor_set(bind IDs+SHA256 at acquisition)
