trial_index,anchor_index_placeholder,repeat_index,note
0,169,2,bind real anchor ID/SHA at acquisition
1,41,0,bind real anchor ID/SHA at acquisition
2,13,2,bind real anchor ID/SHA at acquisition
3,321,0,bind real anchor ID/SHA at acquisition
4,402,1,bind real anchor ID/SHA at acquisition
5,472,2,bind real anchor ID/SHA at acquisition
6,278,1,bind real anchor ID/SHA at acquisition
7,224,2,bind real anchor ID/SHA at acquisition
8,346,0,bind real anchor ID/SHA at acquisition
9,416,1,bind real anchor ID/SHA at acquisition
10,180,1,bind real anchor ID/SHA at acquisition
11,392,2,bind real anchor ID/SHA at acquisition
12,301,2,bind real anchor ID/SHA at acquisition
13,77,1,bind real anchor ID/SHA at acquisition
14,58,0,bind real anchor ID/SHA at acquisition
15,72,2,bind real anchor ID/SHA at acquisition
16,52,2,bind real anchor ID/SHA at acquisition
17,225,1,bind real anchor ID/SHA at acquisition
18,511,0,bind real anchor ID/SHA at acquisition
19,488,1,bind real anchor ID/SHA at acquisition
...,...,...,1536 total (schema; first 20 shown)
