onset	duration	trial_type	stimulus_identity	family	repeat_index	response	volume_index
0.0	4.0	imagery	s5	simple	0	2	0
4.0	4.0	imagery	s3	simple	0	2	2
8.0	4.0	imagery	s4	simple	0	2	5
12.0	4.0	imagery	s4	simple	1	2	8
16.0	4.0	imagery	s2	simple	0	1	10
20.0	4.0	imagery	s5	simple	1	1	12
24.0	4.0	imagery	s5	simple	2	2	15
28.0	4.0	imagery	s2	simple	1	1	18
32.0	4.0	imagery	s3	simple	1	1	20
36.0	4.0	imagery	s0	simple	0	1	22
40.0	4.0	imagery	s2	simple	2	2	25
44.0	4.0	imagery	s4	simple	2	2	28
48.0	4.0	imagery	s2	simple	3	2	30
52.0	4.0	imagery	s1	simple	0	2	32
56.0	4.0	imagery	s3	simple	2	2	35
60.0	4.0	imagery	s4	simple	3	1	38
64.0	4.0	imagery	s5	simple	3	1	40
68.0	4.0	imagery	s1	simple	1	1	42
72.0	4.0	imagery	s5	simple	4	1	45
76.0	4.0	imagery	s2	simple	4	1	48
80.0	4.0	imagery	s2	simple	5	1	50
84.0	4.0	imagery	s5	simple	5	1	52
88.0	4.0	imagery	s3	simple	3	1	55
92.0	4.0	imagery	s5	simple	6	2	58
96.0	4.0	imagery	s3	simple	4	2	60
100.0	4.0	imagery	s0	simple	1	2	62
104.0	4.0	imagery	s0	simple	2	2	65
108.0	4.0	imagery	s3	simple	5	2	68
112.0	4.0	imagery	s0	simple	3	2	70
116.0	4.0	imagery	s1	simple	2	1	72
120.0	4.0	imagery	s2	simple	6	1	75
124.0	4.0	imagery	s3	simple	6	2	78
128.0	4.0	imagery	s2	simple	7	2	80
132.0	4.0	imagery	s3	simple	7	2	82
136.0	4.0	imagery	s1	simple	3	2	85
140.0	4.0	imagery	s0	simple	4	2	88
144.0	4.0	imagery	s5	simple	7	1	90
148.0	4.0	imagery	s1	simple	4	1	92
152.0	4.0	imagery	s4	simple	4	2	95
156.0	4.0	imagery	s1	simple	5	1	98
160.0	4.0	imagery	s1	simple	6	2	100
164.0	4.0	imagery	s0	simple	5	2	102
168.0	4.0	imagery	s4	simple	5	1	105
172.0	4.0	imagery	s0	simple	6	2	108
176.0	4.0	imagery	s0	simple	7	1	110
180.0	4.0	imagery	s1	simple	7	1	112
184.0	4.0	imagery	s4	simple	6	2	115
188.0	4.0	imagery	s4	simple	7	1	118
