ROI,subject,reliability_FULL,reliability_INSIDE_VISUAL_SPAN,reliability_OUTSIDE_VISUAL_SPAN,reliability_INSIDE_SRM
ventral,subj01,0.6282882119218508,0.6626134365797043,0.6715208508049367,0.9143558045228324
ventral,subj02,0.6471570283174515,0.7853075414896011,0.6164329190259559,0.9016168663899105
ventral,subj03,0.6297513494888941,0.7301761507987976,0.6218612489994522,0.8766741504271826
ventral,subj04,0.6976913015047709,0.7858803520600001,0.67805557502501,0.93010942141215
ventral,subj05,0.6239855537811915,0.7360156327486038,0.5798457529066187,0.7449683298667272
ventral,subj06,0.573702889184157,0.6377323592702547,0.516860445794342,0.6017994632323583
ventral,subj07,0.55943996210893,0.6587857194244862,0.6414368338176689,0.8749769727389017
ventral,subj08,0.3886913855870564,0.3685946849485238,0.3905228151194819,0.0446308727065722
lateral,subj01,0.5402438392241796,0.6497296877205372,0.622347827056933,0.9586046487092972
lateral,subj02,0.6969361305236816,0.7638695240020752,0.6783692055639685,0.5347517058253288
lateral,subj03,0.5830886426071326,0.7540521311263243,0.5443666716990428,0.7286094476779302
lateral,subj04,0.6935345903038979,0.7917237331469854,0.650658529209054,0.8770217498143514
lateral,subj05,0.534082385400931,0.5900296624749899,0.51501136868565,0.3940762455264727
lateral,subj06,0.5386237502098083,0.5310981335739294,0.5353650953143824,0.1644692383706569
lateral,subj07,0.5894913300871849,0.6298798968394598,0.603114402053293,0.7725662005444368
lateral,subj08,0.5191240285833677,0.3544951582249875,0.5188911646806864,0.1138128452003002
parietal,subj01,0.6409976954261462,0.6258353280524412,0.628949451670972,0.7260500527918339
parietal,subj02,0.7653986265261968,0.7610330060124397,0.7738265677309286,0.7751909047365189
parietal,subj03,0.5942258760333061,0.762295144299666,0.4593841133910958,0.8093887058397135
parietal,subj04,0.5974537755052248,0.6307321985562643,0.5879850535010948,0.7502433508634567
parietal,subj05,0.715181457499663,0.8243815700213114,0.56387346191084,0.6218616881718239
parietal,subj06,0.5899578481912613,0.4829843053594231,0.6262497264117414,0.1075781074663003
parietal,subj07,0.686803380648295,0.7811989560723305,0.5563717445420636,0.6731492752830187
parietal,subj08,0.5584635424117247,0.5924091208726168,0.4445213904461226,0.4670624701927106
V1,subj01,0.7028334413965543,0.7361542085806528,0.6178554189939799,0.67491023025165
V1,subj02,0.7028412769238154,0.6719511585930983,0.6990229075711302,0.9493653823932012
V1,subj03,0.7136015271147093,0.8136624147494634,0.4077705308647597,0.9881221950054168
V1,subj04,0.6486484197278818,0.6848527522136768,0.5706302623636096,0.8099320307374
V1,subj05,0.7163016820947329,0.7193956325451533,0.7633371666293023,0.4484937414526939
V1,subj06,0.7249018301566442,0.7550009042024612,0.7005903305204649,0.9766092946132024
V1,subj07,0.655555526415507,0.7089584457377592,0.632191968728666,0.3158613716562589
V1,subj08,0.5869326499911646,0.6212040397028128,0.5374162516418564,0.9414893786112468
V3,subj01,0.7966592386364937,0.8355889469385147,0.6744035882360291,0.895873079697291
V3,subj02,0.6982739840944608,0.7243364627162615,0.5815548907238847,0.6038028832214574
V3,subj03,0.6578807098170122,0.6912381537258625,0.6162929253902464,0.7421849258244038
V3,subj04,0.766122947136561,0.7940614695350329,0.5425138849615515,0.8623555302619934
V3,subj05,0.5581396023432413,0.4913455570737521,0.7261373875899926,0.2271600672975182
V3,subj06,0.719024601082007,0.7240822563568751,0.770904734128497,0.8498027961080273
V3,subj07,0.4271057672643413,0.4036814486607909,0.5068550568115187,0.0679966332390904
V3,subj08,0.7725665171941122,0.8170151536663374,0.4813935244150427,0.9852717767159144
