ROI,target_subject,identity_fold,outside_visual_fraction,R_Y_VISFULL
ventral,subj01,0,0.769085630774498,0.230914369225502
ventral,subj01,1,0.8407552689313889,0.1592447310686111
ventral,subj01,2,0.8375328630208969,0.1624671369791031
ventral,subj01,3,0.7234094440937042,0.2765905559062958
ventral,subj01,4,0.7744734734296799,0.2255265265703201
ventral,subj01,5,0.5218172371387482,0.4781827628612518
ventral,subj02,0,0.6954354345798492,0.3045645654201507
ventral,subj02,1,0.5314533710479736,0.4685466289520263
ventral,subj02,2,0.8396409898996353,0.1603590101003646
ventral,subj02,3,0.7152233719825745,0.2847766280174255
ventral,subj02,4,0.7522891908884048,0.2477108091115951
ventral,subj02,5,0.6787528693675995,0.3212471306324005
ventral,subj03,0,0.7410261034965515,0.2589738965034485
ventral,subj03,1,0.5225369334220886,0.4774630665779114
ventral,subj03,2,0.7625387459993362,0.2374612540006637
ventral,subj03,3,0.7175369262695312,0.2824630737304687
ventral,subj03,4,0.7526396363973618,0.2473603636026382
ventral,subj03,5,0.9243248477578164,0.0756751522421836
ventral,subj04,0,0.7816030532121658,0.2183969467878341
ventral,subj04,1,0.7537217736244202,0.2462782263755798
ventral,subj04,2,0.7518409639596939,0.2481590360403061
ventral,subj04,3,0.8592904061079025,0.1407095938920974
ventral,subj04,4,0.6803908050060272,0.3196091949939728
ventral,subj04,5,0.8187186270952225,0.1812813729047775
ventral,subj05,0,0.8737862557172775,0.1262137442827224
ventral,subj05,1,0.417583703994751,0.582416296005249
ventral,subj05,2,0.8468216806650162,0.1531783193349838
ventral,subj05,3,0.7855388969182968,0.2144611030817031
ventral,subj05,4,0.8523362725973129,0.147663727402687
ventral,subj05,5,0.8726738393306732,0.1273261606693267
ventral,subj06,0,0.5131596326828003,0.4868403673171997
ventral,subj06,1,0.7001993358135223,0.2998006641864776
ventral,subj06,2,0.5303539335727692,0.4696460664272308
ventral,subj06,3,0.7730221450328827,0.2269778549671173
ventral,subj06,4,0.6110523343086243,0.3889476656913757
ventral,subj06,5,0.5848968923091888,0.4151031076908111
ventral,subj07,0,0.8469653576612473,0.1530346423387527
ventral,subj07,1,0.6833751201629639,0.3166248798370361
ventral,subj07,2,0.7207923233509064,0.2792076766490936
ventral,subj07,3,0.7422308325767517,0.2577691674232483
ventral,subj07,4,0.7878832668066025,0.2121167331933975
ventral,subj07,5,0.8479808270931244,0.1520191729068756
ventral,subj08,0,0.6522073745727539,0.3477926254272461
ventral,subj08,1,0.7760915905237198,0.2239084094762802
ventral,subj08,2,0.5885935723781586,0.4114064276218414
ventral,subj08,3,0.5865514874458313,0.4134485125541687
ventral,subj08,4,0.737814337015152,0.262185662984848
ventral,subj08,5,0.7750428467988968,0.2249571532011032
lateral,subj01,0,0.866737499833107,0.133262500166893
lateral,subj01,1,0.7857311367988586,0.2142688632011413
lateral,subj01,2,0.7620604485273361,0.2379395514726638
lateral,subj01,3,0.5109704732894897,0.4890295267105102
lateral,subj01,4,0.6723335683345795,0.3276664316654205
lateral,subj01,5,0.573420524597168,0.426579475402832
lateral,subj02,0,0.5278070867061615,0.4721929132938385
lateral,subj02,1,0.2701191902160644,0.7298808097839355
lateral,subj02,2,0.6468167901039124,0.3531832098960876
lateral,subj02,3,0.425119400024414,0.5748805999755859
lateral,subj02,4,0.744505912065506,0.255494087934494
lateral,subj02,5,0.7454814910888672,0.2545185089111328
lateral,subj03,0,0.4232199192047119,0.5767800807952881
lateral,subj03,1,0.6903382837772369,0.309661716222763
lateral,subj03,2,0.6949779093265533,0.3050220906734466
lateral,subj03,3,0.4391801953315735,0.5608198046684265
lateral,subj03,4,0.445218026638031,0.554781973361969
lateral,subj03,5,0.573432981967926,0.426567018032074
lateral,subj04,0,0.8610420674085617,0.1389579325914383
lateral,subj04,1,0.7858531028032303,0.2141468971967697
lateral,subj04,2,0.7378117144107819,0.2621882855892181
lateral,subj04,3,0.7435646057128906,0.2564353942871094
lateral,subj04,4,0.2997611761093139,0.700238823890686
lateral,subj04,5,0.7269620895385742,0.2730379104614258
lateral,subj05,0,0.6471118032932281,0.3528881967067718
lateral,subj05,1,0.5817270576953888,0.4182729423046112
lateral,subj05,2,0.8012071400880814,0.1987928599119186
lateral,subj05,3,0.8431928008794785,0.1568071991205215
lateral,subj05,4,0.8751790672540665,0.1248209327459335
lateral,subj05,5,0.8774442821741104,0.1225557178258895
lateral,subj06,0,0.3511954545974731,0.6488045454025269
lateral,subj06,1,0.5056180953979492,0.4943819046020508
lateral,subj06,2,0.2671136260032654,0.7328863739967346
lateral,subj06,3,0.7497487962245941,0.2502512037754059
lateral,subj06,4,0.6572394669055939,0.3427605330944061
lateral,subj06,5,0.4257545471191406,0.5742454528808594
lateral,subj07,0,0.8855136260390282,0.1144863739609718
lateral,subj07,1,0.797160416841507,0.202839583158493
lateral,subj07,2,0.8209904730319977,0.1790095269680023
lateral,subj07,3,0.7147828936576843,0.2852171063423157
lateral,subj07,4,0.6976878941059113,0.3023121058940887
lateral,subj07,5,0.6897030770778656,0.3102969229221344
lateral,subj08,0,0.6641737520694733,0.3358262479305267
lateral,subj08,1,0.867920309305191,0.1320796906948089
lateral,subj08,2,0.6485656499862671,0.3514343500137329
lateral,subj08,3,0.8089185953140259,0.1910814046859741
lateral,subj08,4,0.76279017329216,0.2372098267078399
lateral,subj08,5,0.5340978503227234,0.4659021496772766
parietal,subj01,0,0.340788185596466,0.6592118144035339
parietal,subj01,1,0.3249508142471313,0.6750491857528687
parietal,subj01,2,0.4677209854125976,0.5322790145874023
parietal,subj01,3,0.4789403676986694,0.5210596323013306
parietal,subj01,4,0.6521519124507904,0.3478480875492096
parietal,subj01,5,0.7023725807666779,0.2976274192333221
parietal,subj02,0,0.3880115151405334,0.6119884848594666
parietal,subj02,1,0.4820230603218078,0.5179769396781921
parietal,subj02,2,0.5588762760162354,0.4411237239837646
parietal,subj02,3,0.2468647360801696,0.7531352639198303
parietal,subj02,4,0.5712600946426392,0.4287399053573608
parietal,subj02,5,0.467840313911438,0.532159686088562
parietal,subj03,0,0.1272790431976318,0.8727209568023682
parietal,subj03,1,0.5530785918235779,0.4469214081764221
parietal,subj03,2,0.3738393187522888,0.6261606812477112
parietal,subj03,3,0.17376309633255,0.82623690366745
parietal,subj03,4,0.2075243592262268,0.7924756407737732
parietal,subj03,5,0.1390913128852844,0.8609086871147156
parietal,subj04,0,0.480664849281311,0.519335150718689
parietal,subj04,1,0.5411442816257477,0.4588557183742523
parietal,subj04,2,0.3452112078666687,0.6547887921333313
parietal,subj04,3,0.4392765760421753,0.5607234239578247
parietal,subj04,4,0.3996167778968811,0.6003832221031189
parietal,subj04,5,0.7093336880207062,0.2906663119792938
parietal,subj05,0,0.5285488665103912,0.4714511334896087
parietal,subj05,1,0.1584094762802124,0.8415905237197876
parietal,subj05,2,0.6496373414993286,0.3503626585006714
parietal,subj05,3,0.8532409965991974,0.1467590034008026
parietal,subj05,4,0.6668820083141327,0.3331179916858673
parietal,subj05,5,0.7542031705379486,0.2457968294620514
parietal,subj06,0,0.3644323945045471,0.6355676054954529
parietal,subj06,1,0.5322007536888123,0.4677992463111877
parietal,subj06,2,0.3343858122825622,0.6656141877174377
parietal,subj06,3,0.2761045098304748,0.7238954901695251
parietal,subj06,4,0.4223670363426208,0.5776329636573792
parietal,subj06,5,0.4677374362945556,0.5322625637054443
parietal,subj07,0,0.5126646161079407,0.4873353838920593
parietal,subj07,1,0.600294679403305,0.3997053205966949
parietal,subj07,2,0.3988215327262878,0.6011784672737122
parietal,subj07,3,0.5787219405174255,0.4212780594825744
parietal,subj07,4,0.227853775024414,0.7721462249755859
parietal,subj07,5,0.3843582272529602,0.6156417727470398
parietal,subj08,0,0.4032820463180542,0.5967179536819458
parietal,subj08,1,0.2560020089149475,0.7439979910850525
parietal,subj08,2,0.2153668403625488,0.7846331596374512
parietal,subj08,3,0.2777729034423828,0.7222270965576172
parietal,subj08,4,0.5400580763816833,0.4599419236183166
parietal,subj08,5,0.3602414131164551,0.6397585868835449
V1,subj01,0,0.3008726239204407,0.6991273760795593
V1,subj01,1,0.0859913229942321,0.9140086770057678
V1,subj01,2,0.2404438853263855,0.7595561146736145
V1,subj01,3,0.4798012375831604,0.5201987624168396
V1,subj01,4,0.1687133312225341,0.8312866687774658
V1,subj01,5,0.3417497277259826,0.6582502722740173
V1,subj02,0,0.2299429178237915,0.7700570821762085
V1,subj02,1,0.1097253561019897,0.8902746438980103
V1,subj02,2,0.1751200556755066,0.8248799443244934
V1,subj02,3,0.0698225498199462,0.9301774501800536
V1,subj02,4,0.3687961101531982,0.6312038898468018
V1,subj02,5,0.0532588362693786,0.9467411637306212
V1,subj03,0,0.0828104615211486,0.9171895384788512
V1,subj03,1,0.0416984558105468,0.9583015441894532
